date,general_label,traffic_rate,total_traffic
2016-11-28,Entertainment,0.0,0.0
2016-11-29,Entertainment,0.1,7000.0
2016-11-30,Entertainment,0.1,4000.0
2016-12-01,Entertainment,0.1,4000.0
2016-12-02,Entertainment,0.1,5000.0
2016-12-03,Entertainment,0.25,32000.0
2016-12-04,Entertainment,0.1,2000.0
2016-12-05,Entertainment,0.1,5000.0
2016-12-06,Entertainment,0.1,10000.0
2016-12-07,Entertainment,0.0,0.0
2016-12-08,Entertainment,0.1,4000.0
2016-12-09,Entertainment,0.0,0.0
2016-12-10,Entertainment,0.1,2000.0
2016-12-11,Entertainment,0.1,8000.0
2016-12-12,Entertainment,0.3,72000.0
2016-12-13,Entertainment,0.0,0.0
2016-12-14,Entertainment,0.1,17000.0
2016-12-15,Entertainment,0.1,2000.0
2016-12-16,Entertainment,0.0,0.0
2016-12-17,Entertainment,0.1,7000.0
2016-12-18,Entertainment,0.1,12000.0
2016-12-19,Entertainment,0.1,9000.0
2016-12-20,Entertainment,0.0,0.0
2016-12-21,Entertainment,0.0,0.0
2016-12-22,Entertainment,0.1,22000.0
2016-12-23,Entertainment,0.1,15000.0
2016-12-24,Entertainment,0.1,2000.0
2016-12-25,Entertainment,0.1,7000.0
2016-12-26,Entertainment,1.0,79000.0
2016-12-27,Entertainment,0.1,8000.0
2016-12-28,Entertainment,0.1,2000.0
2016-12-29,Entertainment,0.1,2000.0
2016-12-30,Entertainment,0.0,0.0
2016-12-31,Entertainment,1.0,92000.0
2017-01-01,Entertainment,0.1,2000.0
2017-01-02,Entertainment,0.0,0.0
2017-01-03,Entertainment,0.0,0.0
2017-01-04,Entertainment,0.1,14000.0
2017-01-05,Entertainment,0.0,0.0
2017-01-06,Entertainment,0.1,13000.0
2017-01-07,Entertainment,0.1,4000.0
2017-01-08,Entertainment,0.1,4000.0
2017-01-09,Entertainment,0.1,8000.0
2017-01-10,Entertainment,0.1,2000.0
2017-01-11,Entertainment,0.1,2000.0
