date,general_label,traffic_rate,total_traffic
2016-11-28,Accident,0.5,3600000.0
2016-11-29,Accident,0.25,1400000.0
2016-11-30,Accident,0.1,200000.0
2016-12-01,Accident,0.1,700000.0
2016-12-02,Accident,0.1,120000.0
2016-12-03,Accident,0.1,670000.0
2016-12-04,Accident,0.1,500000.0
2016-12-05,Accident,0.1,200000.0
2016-12-06,Accident,0.1,520000.0
2016-12-07,Accident,0.0,0.0
2016-12-08,Accident,0.1,600000.0
2016-12-09,Accident,0.1,300000.0
2016-12-10,Accident,0.0,0.0
2016-12-11,Accident,0.1,50000.0
2016-12-12,Accident,0.1,200000.0
2016-12-13,Accident,0.1,120000.0
2016-12-14,Accident,0.1,250000.0
2016-12-15,Accident,0.1,170000.0
2016-12-16,Accident,0.1,120000.0
2016-12-17,Accident,0.1,550000.0
2016-12-18,Accident,0.1,100000.0
2016-12-19,Accident,0.25,1500000.0
2016-12-20,Accident,0.1,350000.0
2016-12-21,Accident,0.1,170000.0
2016-12-22,Accident,0.1,620000.0
2016-12-23,Accident,0.1,70000.0
2016-12-24,Accident,0.25,1600000.0
2016-12-25,Accident,0.1,50000.0
2016-12-26,Accident,0.1,660000.0
2016-12-27,Accident,0.1,350000.0
2016-12-28,Accident,0.1,100000.0
2016-12-29,Accident,0.1,100000.0
2016-12-30,Accident,0.1,1120000.0
2016-12-31,Accident,0.1,300000.0
2017-01-01,Accident,0.1,700000.0
2017-01-02,Accident,0.1,150000.0
2017-01-03,Accident,0.1,220000.0
2017-01-04,Accident,0.1,170000.0
2017-01-05,Accident,0.1,250000.0
2017-01-06,Accident,0.1,240000.0
2017-01-07,Accident,0.1,200000.0
2017-01-08,Accident,0.1,200000.0
2017-01-09,Accident,0.1,300000.0
2017-01-10,Accident,0.1,750000.0
2017-01-11,Accident,0.1,50000.0
2017-01-12,Accident,0.1,550000.0
2017-01-13,Accident,0.1,170000.0
2017-01-14,Accident,0.1,50000.0
2017-01-15,Accident,0.1,1100000.0
2017-01-16,Accident,0.1,190000.0
2017-01-17,Accident,0.1,1200000.0
2017-01-18,Accident,0.1,50000.0
2017-01-19,Accident,0.1,200000.0
2017-01-20,Accident,0.1,300000.0
2017-01-21,Accident,0.1,250000.0
2017-01-22,Accident,0.25,1300000.0
2017-01-23,Accident,0.1,250000.0
2017-01-24,Accident,0.1,50000.0
2017-01-25,Accident,0.1,150000.0
2017-01-26,Accident,0.1,400000.0
2017-01-27,Accident,0.1,300000.0
2017-01-28,Accident,0.1,20000.0
2017-01-29,Accident,0.1,200000.0
2017-01-30,Accident,0.1,320000.0
2017-01-31,Accident,0.1,70000.0
2017-02-01,Accident,0.1,150000.0
2017-02-02,Accident,0.1,220000.0
2017-02-03,Accident,0.1,140000.0
2017-02-04,Accident,0.1,70000.0
2017-02-05,Accident,0.1,200000.0
2017-02-06,Accident,0.1,120000.0
2017-02-07,Accident,0.1,670000.0
2017-02-08,Accident,0.1,120000.0
2017-02-09,Accident,0.1,170000.0
2017-02-10,Accident,0.1,140000.0
2017-02-11,Accident,0.1,300000.0
2017-02-12,Accident,0.1,500000.0
2017-02-13,Accident,0.1,650000.0
2017-02-14,Accident,0.1,450000.0
2017-02-15,Accident,0.1,150000.0
2017-02-16,Accident,0.1,270000.0
2017-02-17,Accident,0.1,300000.0
2017-02-18,Accident,0.1,50000.0
2017-02-19,Accident,0.1,350000.0
2017-02-20,Accident,0.1,640000.0
2017-02-21,Accident,0.1,120000.0
2017-02-22,Accident,0.1,100000.0
2017-02-23,Accident,0.1,1200000.0
2017-02-24,Accident,0.1,110000.0
2017-02-25,Accident,0.1,200000.0
2017-02-26,Accident,0.1,800000.0
2017-02-27,Accident,0.1,150000.0
2017-02-28,Accident,0.1,550000.0
2017-03-01,Accident,0.1,400000.0
2017-03-02,Accident,0.1,1050000.0
2017-03-03,Accident,0.1,150000.0
2017-03-04,Accident,0.0,0.0
2017-03-05,Accident,0.1,120000.0
2017-03-06,Accident,0.1,20000.0
2017-03-07,Accident,0.1,440000.0
2017-03-08,Accident,0.1,50000.0
2017-03-09,Accident,0.1,300000.0
2017-03-10,Accident,0.1,100000.0
2017-03-11,Accident,0.1,70000.0
2017-03-12,Accident,0.0,0.0
2017-03-13,Accident,0.1,120000.0
2017-03-14,Accident,0.1,100000.0
2017-03-15,Accident,0.1,450000.0
2017-03-16,Accident,0.1,20000.0
2017-03-17,Accident,0.1,100000.0
2017-03-18,Accident,0.1,250000.0
2017-03-19,Accident,0.1,70000.0
2017-03-20,Accident,0.1,150000.0
2017-03-21,Accident,0.1,200000.0
2017-03-22,Accident,0.1,100000.0
2017-03-23,Accident,0.25,2140000.0
2017-03-24,Accident,0.1,100000.0
2017-03-25,Accident,0.1,200000.0
2017-03-26,Accident,0.1,220000.0
2017-03-27,Accident,0.1,700000.0
2017-03-28,Accident,0.1,20000.0
2017-03-29,Accident,0.1,190000.0
2017-03-30,Accident,0.1,70000.0
2017-03-31,Accident,0.1,470000.0
