date,traffic,newsTitle,predicted_label,score
2016-11-29,"2,000+",A plane carrying Brazilian football club Chapecoense and an accompanying delegation of trainers and journalists crashed in Colombia on Tuesday on its way to Medellin A first division football club in Brazil the Chapecoense team was travelling to,tragedy,0.9636480212211609
2016-11-29,"2,000+",Final Fantasy XVs world is a fantastical place filled with magicpowered robots flying cars towering monsters and powerful weapons locked away in ancient tombs But its also a game where you can sit by a campfire and slurp some instant ramen with,media and entertainment,0.8014405965805054
2016-11-29,"500,000+",Louisa May Alcott whose 184th birthday is the subject of todays Google Doodle by all accounts did not enjoy writing Little Women Its her most famous  and least favorite  work I plod away though I dont enjoy this kind of thing Alcott,celebrity,0.6307762861251831
2016-11-29,"2,000+",Reading Alan Moore and David Lloyds 1988 comic V for Vendetta  or watching James McTeigues adaptation on screen for the laziest  has perhaps never been more appropriate than today V for Vendetta tells the story of the fight by a mysterious,media and entertainment,0.9045225977897644
2016-11-30,"2,000+",By now youve probably seen the incredible transformation Aamir Khan underwent for his upcoming sports drama Dangal The 51yearold actor who plays the younger and older versions of wrestler Mahavir Singh Phogat first put on and then dropped nearly,celebrity,0.8456715941429138
2016-11-30,"10,000+",MANILA Philippines  Labor and Employment Secretary Silvestre Bello III advised employers to observe pay rules for the observance of Andres Bonifacio Day a regular holiday on November 30 I urge our private sector employers to observe the pay rules,history,0.5414999127388
2016-11-30,"10,000+",Cheryls open display of her bump comes after weeks of disguising her figure on various TV shows and personal appearances In promotional pictures for her upcoming appearance on the genealogy show Who Do You Think You Are the star covered up in a,celebrity,0.83995521068573
2016-11-30,"2,000+",Lux can change into a total of ten elements in the game Keep in mind that players should pay attention to the small icon on top of the champions face during battle Depending on which branch of element starts and chooses the combination of previous,technology,0.3236594796180725
2016-11-30,"2,000+",Google has often used its homepage Doodle to celebrate famous but perhaps lesser known figures from science and world history and Wednesday it stayed true to form by honoring scientist and pioneer Jagdish Chandra Bose on his 158th birthday Bose,history,0.8016888499259949
2016-11-30,"10,000+",Following news of Jung Il Woo starting his mandatory national service in December it has been revealed that the actor has a cerebral aneurysm which is a weakened blood vessel wall that results in an enlarged artery Though only some people with,tragedy,0.892857551574707
