date,general_label,traffic_rate,total_traffic
2016-11-28,Technology and Science,0.0,0.0
2016-11-29,Technology and Science,0.0,0.0
2016-11-30,Technology and Science,0.1,2000.0
2016-12-01,Technology and Science,0.1,5000.0
2016-12-02,Technology and Science,0.0,0.0
2016-12-03,Technology and Science,0.0,0.0
2016-12-04,Technology and Science,0.0,0.0
2016-12-05,Technology and Science,0.1,50000.0
2016-12-06,Technology and Science,0.1,2000.0
2016-12-07,Technology and Science,0.0,0.0
2016-12-08,Technology and Science,0.0,0.0
2016-12-09,Technology and Science,0.0,0.0
2016-12-10,Technology and Science,0.0,0.0
2016-12-11,Technology and Science,0.0,0.0
2016-12-12,Technology and Science,0.0,0.0
2016-12-13,Technology and Science,0.0,0.0
2016-12-14,Technology and Science,0.0,0.0
2016-12-15,Technology and Science,0.0,0.0
2016-12-16,Technology and Science,0.1,2000.0
2016-12-17,Technology and Science,0.0,0.0
2016-12-18,Technology and Science,0.0,0.0
2016-12-19,Technology and Science,0.1,2000.0
2016-12-20,Technology and Science,0.1,4000.0
2016-12-21,Technology and Science,0.0,0.0
2016-12-22,Technology and Science,0.1,2000.0
2016-12-23,Technology and Science,0.0,0.0
2016-12-24,Technology and Science,0.1,12000.0
2016-12-25,Technology and Science,0.0,0.0
2016-12-26,Technology and Science,0.0,0.0
2016-12-27,Technology and Science,0.1,2000.0
2016-12-28,Technology and Science,0.0,0.0
2016-12-29,Technology and Science,0.0,0.0
2016-12-30,Technology and Science,0.0,0.0
2016-12-31,Technology and Science,0.1,5000.0
2017-01-01,Technology and Science,0.0,0.0
2017-01-02,Technology and Science,0.0,0.0
2017-01-03,Technology and Science,0.0,0.0
2017-01-04,Technology and Science,0.0,0.0
2017-01-05,Technology and Science,0.1,5000.0
2017-01-06,Technology and Science,0.0,0.0
2017-01-07,Technology and Science,0.0,0.0
2017-01-08,Technology and Science,0.1,5000.0
2017-01-09,Technology and Science,0.1,7000.0
2017-01-10,Technology and Science,0.0,0.0
2017-01-11,Technology and Science,0.0,0.0
2017-01-12,Technology and Science,0.0,0.0
2017-01-13,Technology and Science,0.1,10000.0
2017-01-14,Technology and Science,0.0,0.0
2017-01-15,Technology and Science,0.0,0.0
2017-01-16,Technology and Science,0.1,5000.0
2017-01-17,Technology and Science,0.0,0.0
2017-01-18,Technology and Science,0.1,10000.0
2017-01-19,Technology and Science,0.0,0.0
2017-01-20,Technology and Science,0.1,2000.0
2017-01-21,Technology and Science,0.0,0.0
2017-01-22,Technology and Science,0.0,0.0
2017-01-23,Technology and Science,0.1,2000.0
2017-01-24,Technology and Science,0.0,0.0
2017-01-25,Technology and Science,0.0,0.0
2017-01-26,Technology and Science,0.1,5000.0
2017-01-27,Technology and Science,0.0,0.0
2017-01-28,Technology and Science,0.0,0.0
2017-01-29,Technology and Science,0.0,0.0
2017-01-30,Technology and Science,0.0,0.0
2017-01-31,Technology and Science,0.0,0.0
2017-02-01,Technology and Science,0.0,0.0
2017-02-02,Technology and Science,0.0,0.0
2017-02-03,Technology and Science,0.0,0.0
2017-02-04,Technology and Science,0.0,0.0
2017-02-05,Technology and Science,0.1,20000.0
2017-02-06,Technology and Science,0.25,142000.0
2017-02-07,Technology and Science,0.0,0.0
2017-02-08,Technology and Science,0.0,0.0
2017-02-09,Technology and Science,0.1,5000.0
2017-02-10,Technology and Science,0.0,0.0
2017-02-11,Technology and Science,0.0,0.0
2017-02-12,Technology and Science,0.0,0.0
2017-02-13,Technology and Science,0.1,2000.0
2017-02-14,Technology and Science,0.0,0.0
2017-02-15,Technology and Science,0.0,0.0
2017-02-16,Technology and Science,0.0,0.0
2017-02-17,Technology and Science,0.0,0.0
2017-02-18,Technology and Science,0.0,0.0
2017-02-19,Technology and Science,0.0,0.0
2017-02-20,Technology and Science,0.0,0.0
2017-02-21,Technology and Science,0.0,0.0
2017-02-22,Technology and Science,0.0,0.0
2017-02-23,Technology and Science,0.175,202000.0
2017-02-24,Technology and Science,0.1,2000.0
2017-02-25,Technology and Science,0.1,2000.0
2017-02-26,Technology and Science,0.0,0.0
2017-02-27,Technology and Science,0.1,25000.0
2017-02-28,Technology and Science,0.1,7000.0
2017-03-01,Technology and Science,0.0,0.0
2017-03-02,Technology and Science,0.0,0.0
2017-03-03,Technology and Science,0.1,2000.0
2017-03-04,Technology and Science,0.0,0.0
2017-03-05,Technology and Science,0.0,0.0
2017-03-06,Technology and Science,0.0,0.0
2017-03-07,Technology and Science,0.0,0.0
2017-03-08,Technology and Science,0.1,20000.0
2017-03-09,Technology and Science,0.1,2000.0
2017-03-10,Technology and Science,0.0,0.0
2017-03-11,Technology and Science,0.0,0.0
2017-03-12,Technology and Science,0.0,0.0
2017-03-13,Technology and Science,0.0,0.0
2017-03-14,Technology and Science,0.0,0.0
2017-03-15,Technology and Science,0.0,0.0
2017-03-16,Technology and Science,0.0,0.0
2017-03-17,Technology and Science,0.0,0.0
2017-03-18,Technology and Science,0.0,0.0
2017-03-19,Technology and Science,0.0,0.0
2017-03-20,Technology and Science,0.0,0.0
2017-03-21,Technology and Science,0.0,0.0
