Category: Economics

Day,Geo: Kenya
2016-11-28,85
2016-11-29,98
2016-11-30,100
2016-12-01,80
2016-12-02,78
2016-12-03,62
2016-12-04,82
2016-12-05,94
2016-12-06,80
2016-12-07,97
2016-12-08,80
2016-12-09,63
2016-12-10,40
2016-12-11,39
2016-12-12,55
2016-12-13,69
2016-12-14,64
2016-12-15,59
2016-12-16,39
2016-12-17,39
2016-12-18,38
2016-12-19,52
2016-12-20,37
2016-12-21,29
2016-12-22,22
2016-12-23,12
2016-12-24,0
2016-12-25,0
2016-12-26,0
2016-12-27,0
2016-12-28,12
2016-12-29,14
2016-12-30,0
2016-12-31,0
2017-01-01,0
2017-01-02,17
2017-01-03,20
2017-01-04,16
2017-01-05,0
2017-01-06,12
2017-01-07,12
2017-01-08,12
2017-01-09,17
2017-01-10,26
2017-01-11,23
2017-01-12,23
2017-01-13,17
2017-01-14,18
2017-01-15,20
2017-01-16,25
2017-01-17,33
2017-01-18,32
2017-01-19,24
2017-01-20,24
2017-01-21,18
2017-01-22,19
2017-01-23,37
2017-01-24,33
2017-01-25,38
2017-01-26,32
2017-01-27,30
2017-01-28,23
2017-01-29,23
2017-01-30,37
2017-01-31,40
2017-02-01,36
2017-02-02,29
2017-02-03,25
2017-02-04,19
2017-02-05,12
2017-02-06,28
2017-02-07,34
2017-02-08,38
2017-02-09,18
2017-02-10,38
2017-02-11,32
2017-02-12,29
2017-02-13,56
2017-02-14,41
2017-02-15,35
2017-02-16,43
2017-02-17,39
2017-02-18,24
2017-02-19,25
2017-02-20,39
2017-02-21,41
2017-02-22,41
2017-02-23,48
2017-02-24,35
2017-02-25,17
2017-02-26,24
2017-02-27,22
2017-02-28,48
2017-03-01,46
2017-03-02,36
2017-03-03,29
2017-03-04,16
2017-03-05,22
2017-03-06,40
2017-03-07,34
2017-03-08,39
2017-03-09,42
2017-03-10,44
2017-03-11,24
2017-03-12,27
2017-03-13,43
2017-03-14,44
2017-03-15,49
2017-03-16,37
2017-03-17,28
2017-03-18,27
2017-03-19,13
2017-03-20,32
2017-03-21,39
2017-03-22,44
2017-03-23,55
2017-03-24,46
2017-03-25,22
2017-03-26,39
2017-03-27,55
2017-03-28,56
2017-03-29,50
2017-03-30,53
2017-03-31,39
2017-04-01,41
2017-04-02,36
2017-04-03,50
2017-04-04,70
2017-04-05,48
