Day,Geo: Kenya
2016-11-28,70
2016-11-29,72
2016-11-30,74
2016-12-01,77
2016-12-02,79
2016-12-03,80
2016-12-04,72
2016-12-05,68
2016-12-06,71
2016-12-07,73
2016-12-08,74
2016-12-09,77
2016-12-10,79
2016-12-11,75
2016-12-12,67
2016-12-13,72
2016-12-14,74
2016-12-15,84
2016-12-16,80
2016-12-17,87
2016-12-18,81
2016-12-19,75
2016-12-20,80
2016-12-21,77
2016-12-22,76
2016-12-23,74
2016-12-24,75
2016-12-25,71
2016-12-26,77
2016-12-27,70
2016-12-28,73
2016-12-29,73
2016-12-30,76
2016-12-31,81
2017-01-01,72
2017-01-02,70
2017-01-03,68
2017-01-04,69
2017-01-05,67
2017-01-06,74
2017-01-07,81
2017-01-08,78
2017-01-09,65
2017-01-10,67
2017-01-11,69
2017-01-12,71
2017-01-13,74
2017-01-14,82
2017-01-15,73
2017-01-16,66
2017-01-17,69
2017-01-18,70
2017-01-19,69
2017-01-20,76
2017-01-21,85
2017-01-22,75
2017-01-23,69
2017-01-24,71
2017-01-25,75
2017-01-26,70
2017-01-27,75
2017-01-28,82
2017-01-29,72
2017-01-30,63
2017-01-31,69
2017-02-01,67
2017-02-02,68
2017-02-03,71
2017-02-04,81
2017-02-05,70
2017-02-06,65
2017-02-07,68
2017-02-08,70
2017-02-09,70
2017-02-10,68
2017-02-11,77
2017-02-12,71
2017-02-13,68
2017-02-14,64
2017-02-15,69
2017-02-16,73
2017-02-17,72
2017-02-18,80
2017-02-19,72
2017-02-20,67
2017-02-21,69
2017-02-22,70
2017-02-23,68
2017-02-24,73
2017-02-25,80
2017-02-26,78
2017-02-27,78
2017-02-28,73
2017-03-01,76
2017-03-02,76
2017-03-03,79
2017-03-04,83
2017-03-05,72
2017-03-06,68
2017-03-07,68
2017-03-08,69
2017-03-09,71
2017-03-10,70
2017-03-11,74
2017-03-12,71
2017-03-13,65
2017-03-14,63
2017-03-15,69
2017-03-16,67
2017-03-17,66
2017-03-18,72
2017-03-19,67
2017-03-20,64
2017-03-21,66
2017-03-22,67
2017-03-23,67
2017-03-24,72
2017-03-25,80
2017-03-26,68
2017-03-27,64
2017-03-28,68
2017-03-29,68
2017-03-30,66
2017-03-31,72
2017-04-01,89
2017-04-02,74
2017-04-03,67
2017-04-04,71
2017-04-05,73
2017-04-06,77
2017-04-07,85
2017-04-08,100
2017-04-09,83
2017-04-10,84
2017-04-11,80
2017-04-12,84
2017-04-13,87
2017-04-14,89
2017-04-15,95
2017-04-16,90
2017-04-17,78
2017-04-18,79
2017-04-19,75
2017-04-20,77
2017-04-21,82
2017-04-22,87
2017-04-23,77
2017-04-24,66
2017-04-25,76
2017-04-26,78
2017-04-27,82
2017-04-28,83
2017-04-29,92
2017-04-30,85
2017-05-01,86
2017-05-02,73
2017-05-03,67
2017-05-04,71
