Category: Politics

Day,Geo: Kenya
2016-11-28,38
2016-11-29,43
2016-11-30,33
2016-12-01,35
2016-12-02,40
2016-12-03,37
2016-12-04,38
2016-12-05,43
2016-12-06,37
2016-12-07,43
2016-12-08,64
2016-12-09,68
2016-12-10,41
2016-12-11,33
2016-12-12,34
2016-12-13,42
2016-12-14,43
2016-12-15,51
2016-12-16,43
2016-12-17,33
2016-12-18,27
2016-12-19,41
2016-12-20,43
2016-12-21,37
2016-12-22,38
2016-12-23,37
2016-12-24,29
2016-12-25,27
2016-12-26,24
2016-12-27,34
2016-12-28,35
2016-12-29,39
2016-12-30,31
2016-12-31,35
2017-01-01,26
2017-01-02,27
2017-01-03,37
2017-01-04,31
2017-01-05,34
2017-01-06,36
2017-01-07,33
2017-01-08,38
2017-01-09,34
2017-01-10,31
2017-01-11,47
2017-01-12,46
2017-01-13,40
2017-01-14,34
2017-01-15,34
2017-01-16,48
2017-01-17,50
2017-01-18,48
2017-01-19,55
2017-01-20,100
2017-01-21,78
2017-01-22,54
2017-01-23,53
2017-01-24,58
2017-01-25,54
2017-01-26,43
2017-01-27,40
2017-01-28,41
2017-01-29,45
2017-01-30,93
2017-01-31,50
2017-02-01,38
2017-02-02,37
2017-02-03,37
2017-02-04,34
2017-02-05,35
2017-02-06,37
2017-02-07,43
2017-02-08,46
2017-02-09,36
2017-02-10,46
2017-02-11,46
2017-02-12,38
2017-02-13,46
2017-02-14,49
2017-02-15,41
2017-02-16,45
2017-02-17,43
2017-02-18,38
2017-02-19,43
2017-02-20,46
2017-02-21,55
2017-02-22,53
2017-02-23,46
2017-02-24,36
2017-02-25,34
2017-02-26,34
2017-02-27,36
2017-02-28,39
2017-03-01,36
2017-03-02,35
2017-03-03,41
2017-03-04,36
2017-03-05,44
2017-03-06,50
2017-03-07,40
2017-03-08,36
2017-03-09,40
2017-03-10,34
2017-03-11,38
2017-03-12,28
2017-03-13,35
2017-03-14,33
2017-03-15,39
2017-03-16,36
2017-03-17,30
2017-03-18,29
2017-03-19,22
2017-03-20,35
2017-03-21,42
2017-03-22,34
2017-03-23,34
2017-03-24,35
2017-03-25,37
2017-03-26,33
2017-03-27,38
2017-03-28,35
2017-03-29,40
2017-03-30,38
2017-03-31,30
2017-04-01,31
2017-04-02,29
2017-04-03,37
2017-04-04,44
2017-04-05,43
