Category: Economics

Day,Geo: Nigeria
2016-11-28,68
2016-11-29,54
2016-11-30,65
2016-12-01,59
2016-12-02,47
2016-12-03,43
2016-12-04,44
2016-12-05,66
2016-12-06,65
2016-12-07,63
2016-12-08,51
2016-12-09,47
2016-12-10,30
2016-12-11,30
2016-12-12,44
2016-12-13,51
2016-12-14,47
2016-12-15,44
2016-12-16,37
2016-12-17,40
2016-12-18,29
2016-12-19,39
2016-12-20,46
2016-12-21,29
2016-12-22,31
2016-12-23,22
2016-12-24,24
2016-12-25,25
2016-12-26,28
2016-12-27,17
2016-12-28,30
2016-12-29,27
2016-12-30,33
2016-12-31,26
2017-01-01,20
2017-01-02,31
2017-01-03,30
2017-01-04,33
2017-01-05,39
2017-01-06,45
2017-01-07,34
2017-01-08,42
2017-01-09,53
2017-01-10,44
2017-01-11,48
2017-01-12,52
2017-01-13,47
2017-01-14,45
2017-01-15,55
2017-01-16,64
2017-01-17,72
2017-01-18,68
2017-01-19,64
2017-01-20,57
2017-01-21,51
2017-01-22,59
2017-01-23,76
2017-01-24,77
2017-01-25,74
2017-01-26,64
2017-01-27,53
2017-01-28,53
2017-01-29,71
2017-01-30,65
2017-01-31,77
2017-02-01,76
2017-02-02,70
2017-02-03,55
2017-02-04,55
2017-02-05,59
2017-02-06,70
2017-02-07,67
2017-02-08,81
2017-02-09,73
2017-02-10,67
2017-02-11,67
2017-02-12,61
2017-02-13,74
2017-02-14,65
2017-02-15,76
2017-02-16,87
2017-02-17,63
2017-02-18,63
2017-02-19,70
2017-02-20,100
2017-02-21,92
2017-02-22,82
2017-02-23,78
2017-02-24,72
2017-02-25,72
2017-02-26,79
2017-02-27,78
2017-02-28,70
2017-03-01,70
2017-03-02,71
2017-03-03,70
2017-03-04,62
2017-03-05,64
2017-03-06,68
2017-03-07,78
2017-03-08,75
2017-03-09,62
2017-03-10,58
2017-03-11,59
2017-03-12,73
2017-03-13,64
2017-03-14,75
2017-03-15,77
2017-03-16,82
2017-03-17,62
2017-03-18,54
2017-03-19,70
2017-03-20,72
2017-03-21,73
2017-03-22,60
2017-03-23,66
2017-03-24,60
2017-03-25,63
2017-03-26,43
2017-03-27,64
2017-03-28,71
2017-03-29,63
2017-03-30,58
2017-03-31,51
2017-04-01,47
2017-04-02,51
2017-04-03,55
2017-04-04,63
2017-04-05,66
