Category: Politics

Day,Geo: Nigeria
2016-11-28,30
2016-11-29,22
2016-11-30,23
2016-12-01,17
2016-12-02,22
2016-12-03,20
2016-12-04,19
2016-12-05,20
2016-12-06,20
2016-12-07,24
2016-12-08,46
2016-12-09,52
2016-12-10,77
2016-12-11,100
2016-12-12,58
2016-12-13,33
2016-12-14,23
2016-12-15,20
2016-12-16,18
2016-12-17,16
2016-12-18,15
2016-12-19,25
2016-12-20,19
2016-12-21,16
2016-12-22,15
2016-12-23,12
2016-12-24,11
2016-12-25,10
2016-12-26,12
2016-12-27,11
2016-12-28,12
2016-12-29,12
2016-12-30,12
2016-12-31,13
2017-01-01,10
2017-01-02,9
2017-01-03,12
2017-01-04,15
2017-01-05,13
2017-01-06,14
2017-01-07,13
2017-01-08,14
2017-01-09,14
2017-01-10,17
2017-01-11,19
2017-01-12,18
2017-01-13,14
2017-01-14,16
2017-01-15,17
2017-01-16,17
2017-01-17,20
2017-01-18,19
2017-01-19,24
2017-01-20,39
2017-01-21,32
2017-01-22,27
2017-01-23,20
2017-01-24,23
2017-01-25,18
2017-01-26,21
2017-01-27,18
2017-01-28,19
2017-01-29,23
2017-01-30,21
2017-01-31,19
2017-02-01,19
2017-02-02,20
2017-02-03,16
2017-02-04,16
2017-02-05,17
2017-02-06,17
2017-02-07,20
2017-02-08,17
2017-02-09,17
2017-02-10,17
2017-02-11,16
2017-02-12,17
2017-02-13,17
2017-02-14,18
2017-02-15,17
2017-02-16,16
2017-02-17,16
2017-02-18,17
2017-02-19,21
2017-02-20,20
2017-02-21,20
2017-02-22,18
2017-02-23,18
2017-02-24,16
2017-02-25,21
2017-02-26,22
2017-02-27,19
2017-02-28,19
2017-03-01,18
2017-03-02,17
2017-03-03,14
2017-03-04,16
2017-03-05,18
2017-03-06,18
2017-03-07,16
2017-03-08,17
2017-03-09,19
2017-03-10,16
2017-03-11,20
2017-03-12,15
2017-03-13,17
2017-03-14,18
2017-03-15,22
2017-03-16,24
2017-03-17,19
2017-03-18,21
2017-03-19,18
2017-03-20,16
2017-03-21,19
2017-03-22,18
2017-03-23,17
2017-03-24,16
2017-03-25,17
2017-03-26,18
2017-03-27,16
2017-03-28,18
2017-03-29,18
2017-03-30,20
2017-03-31,19
2017-04-01,21
2017-04-02,18
2017-04-03,16
2017-04-04,19
2017-04-05,20
