Category: Economics

Day,Geo: South Africa
2016-11-28,31
2016-11-29,33
2016-11-30,30
2016-12-01,30
2016-12-02,31
2016-12-03,17
2016-12-04,16
2016-12-05,25
2016-12-06,32
2016-12-07,23
2016-12-08,21
2016-12-09,22
2016-12-10,11
2016-12-11,12
2016-12-12,20
2016-12-13,29
2016-12-14,22
2016-12-15,21
2016-12-16,8
2016-12-17,12
2016-12-18,12
2016-12-19,12
2016-12-20,19
2016-12-21,14
2016-12-22,12
2016-12-23,12
2016-12-24,9
2016-12-25,9
2016-12-26,8
2016-12-27,8
2016-12-28,11
2016-12-29,11
2016-12-30,15
2016-12-31,10
2017-01-01,0
2017-01-02,18
2017-01-03,26
2017-01-04,23
2017-01-05,21
2017-01-06,18
2017-01-07,14
2017-01-08,16
2017-01-09,28
2017-01-10,26
2017-01-11,40
2017-01-12,61
2017-01-13,37
2017-01-14,26
2017-01-15,35
2017-01-16,51
2017-01-17,55
2017-01-18,49
2017-01-19,43
2017-01-20,30
2017-01-21,23
2017-01-22,33
2017-01-23,39
2017-01-24,51
2017-01-25,42
2017-01-26,47
2017-01-27,33
2017-01-28,26
2017-01-29,28
2017-01-30,50
2017-01-31,45
2017-02-01,46
2017-02-02,57
2017-02-03,34
2017-02-04,27
2017-02-05,31
2017-02-06,51
2017-02-07,50
2017-02-08,63
2017-02-09,60
2017-02-10,51
2017-02-11,47
2017-02-12,52
2017-02-13,69
2017-02-14,56
2017-02-15,75
2017-02-16,78
2017-02-17,51
2017-02-18,41
2017-02-19,60
2017-02-20,74
2017-02-21,78
2017-02-22,88
2017-02-23,76
2017-02-24,55
2017-02-25,49
2017-02-26,74
2017-02-27,83
2017-02-28,88
2017-03-01,89
2017-03-02,93
2017-03-03,61
2017-03-04,46
2017-03-05,83
2017-03-06,78
2017-03-07,86
2017-03-08,92
2017-03-09,93
2017-03-10,56
2017-03-11,47
2017-03-12,72
2017-03-13,92
2017-03-14,100
2017-03-15,82
2017-03-16,90
2017-03-17,64
2017-03-18,34
2017-03-19,37
2017-03-20,58
2017-03-21,56
2017-03-22,69
2017-03-23,70
2017-03-24,51
2017-03-25,36
2017-03-26,58
2017-03-27,74
2017-03-28,72
2017-03-29,63
2017-03-30,70
2017-03-31,46
2017-04-01,36
2017-04-02,49
2017-04-03,59
2017-04-04,75
2017-04-05,68
