Category: Politics

Day,Geo: South Africa
2016-11-28,51
2016-11-29,61
2016-11-30,65
2016-12-01,55
2016-12-02,46
2016-12-03,74
2016-12-04,62
2016-12-05,50
2016-12-06,47
2016-12-07,45
2016-12-08,49
2016-12-09,42
2016-12-10,38
2016-12-11,32
2016-12-12,36
2016-12-13,43
2016-12-14,55
2016-12-15,41
2016-12-16,34
2016-12-17,45
2016-12-18,53
2016-12-19,47
2016-12-20,50
2016-12-21,63
2016-12-22,53
2016-12-23,32
2016-12-24,31
2016-12-25,27
2016-12-26,28
2016-12-27,27
2016-12-28,30
2016-12-29,28
2016-12-30,28
2016-12-31,24
2017-01-01,27
2017-01-02,26
2017-01-03,31
2017-01-04,31
2017-01-05,35
2017-01-06,33
2017-01-07,33
2017-01-08,36
2017-01-09,34
2017-01-10,37
2017-01-11,41
2017-01-12,41
2017-01-13,40
2017-01-14,32
2017-01-15,31
2017-01-16,42
2017-01-17,41
2017-01-18,42
2017-01-19,44
2017-01-20,84
2017-01-21,64
2017-01-22,57
2017-01-23,50
2017-01-24,42
2017-01-25,39
2017-01-26,36
2017-01-27,39
2017-01-28,39
2017-01-29,36
2017-01-30,44
2017-01-31,47
2017-02-01,42
2017-02-02,42
2017-02-03,38
2017-02-04,36
2017-02-05,42
2017-02-06,42
2017-02-07,55
2017-02-08,79
2017-02-09,83
2017-02-10,54
2017-02-11,74
2017-02-12,73
2017-02-13,53
2017-02-14,53
2017-02-15,75
2017-02-16,58
2017-02-17,42
2017-02-18,82
2017-02-19,64
2017-02-20,55
2017-02-21,56
2017-02-22,63
2017-02-23,56
2017-02-24,44
2017-02-25,100
2017-02-26,83
2017-02-27,56
2017-02-28,56
2017-03-01,72
2017-03-02,49
2017-03-03,59
2017-03-04,70
2017-03-05,59
2017-03-06,47
2017-03-07,59
2017-03-08,65
2017-03-09,51
2017-03-10,40
2017-03-11,47
2017-03-12,43
2017-03-13,48
2017-03-14,54
2017-03-15,70
2017-03-16,59
2017-03-17,45
2017-03-18,52
2017-03-19,50
2017-03-20,36
2017-03-21,35
2017-03-22,43
2017-03-23,44
2017-03-24,39
2017-03-25,36
2017-03-26,40
2017-03-27,41
2017-03-28,41
2017-03-29,42
2017-03-30,46
2017-03-31,47
2017-04-01,82
2017-04-02,83
2017-04-03,60
2017-04-04,61
2017-04-05,66
