Category: Economics

Day,Geo: Malaysia
2016-11-28,80
2016-11-29,100
2016-11-30,91
2016-12-01,70
2016-12-02,67
2016-12-03,55
2016-12-04,70
2016-12-05,72
2016-12-06,83
2016-12-07,83
2016-12-08,74
2016-12-09,56
2016-12-10,41
2016-12-11,41
2016-12-12,47
2016-12-13,71
2016-12-14,65
2016-12-15,58
2016-12-16,53
2016-12-17,63
2016-12-18,53
2016-12-19,63
2016-12-20,61
2016-12-21,61
2016-12-22,61
2016-12-23,43
2016-12-24,44
2016-12-25,45
2016-12-26,58
2016-12-27,66
2016-12-28,76
2016-12-29,55
2016-12-30,46
2016-12-31,57
2017-01-01,53
2017-01-02,57
2017-01-03,73
2017-01-04,85
2017-01-05,85
2017-01-06,72
2017-01-07,67
2017-01-08,72
2017-01-09,73
2017-01-10,75
2017-01-11,63
2017-01-12,62
2017-01-13,41
2017-01-14,48
2017-01-15,53
2017-01-16,65
2017-01-17,64
2017-01-18,58
2017-01-19,53
2017-01-20,55
2017-01-21,44
2017-01-22,54
2017-01-23,54
2017-01-24,57
2017-01-25,47
2017-01-26,35
2017-01-27,28
2017-01-28,21
2017-01-29,32
2017-01-30,38
2017-01-31,49
2017-02-01,47
2017-02-02,51
2017-02-03,45
2017-02-04,33
2017-02-05,52
2017-02-06,53
2017-02-07,64
2017-02-08,49
2017-02-09,38
2017-02-10,46
2017-02-11,43
2017-02-12,50
2017-02-13,62
2017-02-14,71
2017-02-15,75
2017-02-16,64
2017-02-17,51
2017-02-18,41
2017-02-19,55
2017-02-20,67
2017-02-21,68
2017-02-22,72
2017-02-23,68
2017-02-24,59
2017-02-25,54
2017-02-26,68
2017-02-27,75
2017-02-28,73
2017-03-01,84
2017-03-02,77
2017-03-03,59
2017-03-04,60
2017-03-05,78
2017-03-06,72
2017-03-07,93
2017-03-08,88
2017-03-09,82
2017-03-10,58
2017-03-11,66
2017-03-12,67
2017-03-13,83
2017-03-14,82
2017-03-15,85
2017-03-16,76
2017-03-17,64
2017-03-18,47
2017-03-19,52
2017-03-20,79
2017-03-21,71
2017-03-22,70
2017-03-23,70
2017-03-24,57
2017-03-25,55
2017-03-26,75
2017-03-27,89
2017-03-28,87
2017-03-29,73
2017-03-30,79
2017-03-31,49
2017-04-01,45
2017-04-02,70
2017-04-03,78
2017-04-04,56
2017-04-05,69
