Category: Economics

Day,Geo: Philippines
2016-11-28,91
2016-11-29,62
2016-11-30,81
2016-12-01,87
2016-12-02,68
2016-12-03,50
2016-12-04,80
2016-12-05,100
2016-12-06,85
2016-12-07,80
2016-12-08,83
2016-12-09,53
2016-12-10,47
2016-12-11,82
2016-12-12,89
2016-12-13,69
2016-12-14,62
2016-12-15,53
2016-12-16,32
2016-12-17,24
2016-12-18,26
2016-12-19,28
2016-12-20,23
2016-12-21,18
2016-12-22,15
2016-12-23,16
2016-12-24,14
2016-12-25,14
2016-12-26,16
2016-12-27,22
2016-12-28,16
2016-12-29,20
2016-12-30,19
2016-12-31,13
2017-01-01,16
2017-01-02,36
2017-01-03,52
2017-01-04,60
2017-01-05,64
2017-01-06,56
2017-01-07,38
2017-01-08,70
2017-01-09,77
2017-01-10,83
2017-01-11,84
2017-01-12,81
2017-01-13,57
2017-01-14,42
2017-01-15,63
2017-01-16,70
2017-01-17,81
2017-01-18,79
2017-01-19,70
2017-01-20,55
2017-01-21,50
2017-01-22,62
2017-01-23,91
2017-01-24,86
2017-01-25,89
2017-01-26,77
2017-01-27,51
2017-01-28,47
2017-01-29,75
2017-01-30,79
2017-01-31,82
2017-02-01,90
2017-02-02,84
2017-02-03,50
2017-02-04,55
2017-02-05,76
2017-02-06,88
2017-02-07,82
2017-02-08,82
2017-02-09,76
2017-02-10,54
2017-02-11,51
2017-02-12,59
2017-02-13,74
2017-02-14,57
2017-02-15,69
2017-02-16,69
2017-02-17,50
2017-02-18,50
2017-02-19,65
2017-02-20,72
2017-02-21,81
2017-02-22,72
2017-02-23,64
2017-02-24,48
2017-02-25,46
2017-02-26,66
2017-02-27,81
2017-02-28,71
2017-03-01,75
2017-03-02,73
2017-03-03,60
2017-03-04,51
2017-03-05,73
2017-03-06,73
2017-03-07,79
2017-03-08,84
2017-03-09,74
2017-03-10,64
2017-03-11,58
2017-03-12,78
2017-03-13,75
2017-03-14,85
2017-03-15,72
2017-03-16,74
2017-03-17,56
2017-03-18,47
2017-03-19,57
2017-03-20,71
2017-03-21,68
2017-03-22,59
2017-03-23,62
2017-03-24,40
2017-03-25,38
2017-03-26,42
2017-03-27,47
2017-03-28,46
2017-03-29,46
2017-03-30,46
2017-03-31,42
2017-04-01,35
2017-04-02,39
2017-04-03,41
2017-04-04,38
2017-04-05,44
