Category: Politics

Day,Geo: Philippines
2016-11-28,86
2016-11-29,79
2016-11-30,79
2016-12-01,77
2016-12-02,72
2016-12-03,75
2016-12-04,86
2016-12-05,82
2016-12-06,84
2016-12-07,72
2016-12-08,78
2016-12-09,77
2016-12-10,76
2016-12-11,80
2016-12-12,77
2016-12-13,69
2016-12-14,69
2016-12-15,66
2016-12-16,57
2016-12-17,54
2016-12-18,51
2016-12-19,60
2016-12-20,67
2016-12-21,55
2016-12-22,55
2016-12-23,46
2016-12-24,50
2016-12-25,47
2016-12-26,48
2016-12-27,56
2016-12-28,62
2016-12-29,55
2016-12-30,54
2016-12-31,53
2017-01-01,56
2017-01-02,67
2017-01-03,76
2017-01-04,80
2017-01-05,83
2017-01-06,77
2017-01-07,65
2017-01-08,70
2017-01-09,88
2017-01-10,88
2017-01-11,98
2017-01-12,87
2017-01-13,82
2017-01-14,73
2017-01-15,75
2017-01-16,87
2017-01-17,82
2017-01-18,85
2017-01-19,77
2017-01-20,91
2017-01-21,100
2017-01-22,90
2017-01-23,91
2017-01-24,93
2017-01-25,86
2017-01-26,80
2017-01-27,69
2017-01-28,67
2017-01-29,88
2017-01-30,86
2017-01-31,78
2017-02-01,76
2017-02-02,83
2017-02-03,73
2017-02-04,73
2017-02-05,77
2017-02-06,87
2017-02-07,80
2017-02-08,87
2017-02-09,76
2017-02-10,71
2017-02-11,70
2017-02-12,80
2017-02-13,73
2017-02-14,70
2017-02-15,81
2017-02-16,71
2017-02-17,69
2017-02-18,73
2017-02-19,81
2017-02-20,79
2017-02-21,85
2017-02-22,86
2017-02-23,83
2017-02-24,76
2017-02-25,71
2017-02-26,85
2017-02-27,91
2017-02-28,84
2017-03-01,83
2017-03-02,88
2017-03-03,78
2017-03-04,72
2017-03-05,84
2017-03-06,89
2017-03-07,84
2017-03-08,92
2017-03-09,88
2017-03-10,72
2017-03-11,84
2017-03-12,90
2017-03-13,89
2017-03-14,85
2017-03-15,82
2017-03-16,78
2017-03-17,73
2017-03-18,73
2017-03-19,73
2017-03-20,81
2017-03-21,75
2017-03-22,76
2017-03-23,73
2017-03-24,69
2017-03-25,69
2017-03-26,76
2017-03-27,75
2017-03-28,77
2017-03-29,73
2017-03-30,72
2017-03-31,74
2017-04-01,61
2017-04-02,64
2017-04-03,66
2017-04-04,66
2017-04-05,74
