Category: Economics

Day,Geo: Singapore
2016-11-28,69
2016-11-29,78
2016-11-30,78
2016-12-01,57
2016-12-02,49
2016-12-03,48
2016-12-04,44
2016-12-05,52
2016-12-06,69
2016-12-07,51
2016-12-08,55
2016-12-09,51
2016-12-10,35
2016-12-11,32
2016-12-12,56
2016-12-13,50
2016-12-14,54
2016-12-15,43
2016-12-16,57
2016-12-17,33
2016-12-18,33
2016-12-19,41
2016-12-20,38
2016-12-21,43
2016-12-22,50
2016-12-23,39
2016-12-24,29
2016-12-25,25
2016-12-26,33
2016-12-27,46
2016-12-28,47
2016-12-29,44
2016-12-30,35
2016-12-31,39
2017-01-01,31
2017-01-02,44
2017-01-03,60
2017-01-04,59
2017-01-05,52
2017-01-06,53
2017-01-07,48
2017-01-08,54
2017-01-09,60
2017-01-10,71
2017-01-11,71
2017-01-12,75
2017-01-13,70
2017-01-14,53
2017-01-15,54
2017-01-16,79
2017-01-17,83
2017-01-18,80
2017-01-19,87
2017-01-20,66
2017-01-21,50
2017-01-22,59
2017-01-23,74
2017-01-24,79
2017-01-25,79
2017-01-26,61
2017-01-27,35
2017-01-28,31
2017-01-29,38
2017-01-30,43
2017-01-31,65
2017-02-01,77
2017-02-02,83
2017-02-03,69
2017-02-04,49
2017-02-05,71
2017-02-06,84
2017-02-07,94
2017-02-08,86
2017-02-09,94
2017-02-10,82
2017-02-11,66
2017-02-12,76
2017-02-13,96
2017-02-14,92
2017-02-15,87
2017-02-16,82
2017-02-17,76
2017-02-18,60
2017-02-19,72
2017-02-20,92
2017-02-21,95
2017-02-22,98
2017-02-23,76
2017-02-24,72
2017-02-25,60
2017-02-26,67
2017-02-27,88
2017-02-28,88
2017-03-01,79
2017-03-02,73
2017-03-03,68
2017-03-04,56
2017-03-05,68
2017-03-06,73
2017-03-07,77
2017-03-08,69
2017-03-09,73
2017-03-10,68
2017-03-11,52
2017-03-12,45
2017-03-13,81
2017-03-14,77
2017-03-15,84
2017-03-16,83
2017-03-17,70
2017-03-18,69
2017-03-19,79
2017-03-20,100
2017-03-21,90
2017-03-22,85
2017-03-23,74
2017-03-24,69
2017-03-25,69
2017-03-26,85
2017-03-27,77
2017-03-28,80
2017-03-29,78
2017-03-30,76
2017-03-31,75
2017-04-01,65
2017-04-02,72
2017-04-03,71
2017-04-04,76
2017-04-05,79
