Category: Politics

Day,Geo: Singapore
2016-11-28,44
2016-11-29,39
2016-11-30,42
2016-12-01,40
2016-12-02,39
2016-12-03,30
2016-12-04,46
2016-12-05,54
2016-12-06,52
2016-12-07,43
2016-12-08,45
2016-12-09,44
2016-12-10,34
2016-12-11,33
2016-12-12,38
2016-12-13,39
2016-12-14,43
2016-12-15,40
2016-12-16,41
2016-12-17,35
2016-12-18,30
2016-12-19,44
2016-12-20,45
2016-12-21,41
2016-12-22,43
2016-12-23,35
2016-12-24,31
2016-12-25,29
2016-12-26,33
2016-12-27,38
2016-12-28,41
2016-12-29,39
2016-12-30,41
2016-12-31,31
2017-01-01,29
2017-01-02,32
2017-01-03,40
2017-01-04,44
2017-01-05,42
2017-01-06,41
2017-01-07,36
2017-01-08,35
2017-01-09,36
2017-01-10,40
2017-01-11,43
2017-01-12,41
2017-01-13,47
2017-01-14,37
2017-01-15,39
2017-01-16,38
2017-01-17,41
2017-01-18,42
2017-01-19,41
2017-01-20,66
2017-01-21,61
2017-01-22,49
2017-01-23,48
2017-01-24,44
2017-01-25,39
2017-01-26,34
2017-01-27,33
2017-01-28,29
2017-01-29,31
2017-01-30,32
2017-01-31,38
2017-02-01,39
2017-02-02,39
2017-02-03,40
2017-02-04,36
2017-02-05,42
2017-02-06,45
2017-02-07,43
2017-02-08,47
2017-02-09,40
2017-02-10,44
2017-02-11,41
2017-02-12,42
2017-02-13,42
2017-02-14,45
2017-02-15,100
2017-02-16,56
2017-02-17,43
2017-02-18,40
2017-02-19,39
2017-02-20,42
2017-02-21,41
2017-02-22,41
2017-02-23,60
2017-02-24,39
2017-02-25,35
2017-02-26,36
2017-02-27,38
2017-02-28,38
2017-03-01,36
2017-03-02,41
2017-03-03,39
2017-03-04,31
2017-03-05,33
2017-03-06,38
2017-03-07,41
2017-03-08,43
2017-03-09,42
2017-03-10,44
2017-03-11,89
2017-03-12,42
2017-03-13,39
2017-03-14,41
2017-03-15,41
2017-03-16,45
2017-03-17,40
2017-03-18,37
2017-03-19,46
2017-03-20,42
2017-03-21,43
2017-03-22,38
2017-03-23,39
2017-03-24,42
2017-03-25,35
2017-03-26,45
2017-03-27,44
2017-03-28,40
2017-03-29,38
2017-03-30,36
2017-03-31,33
2017-04-01,33
2017-04-02,37
2017-04-03,37
2017-04-04,38
2017-04-05,36
