Category: Economics

Day,Geo: Denmark
2016-11-28,75
2016-11-29,83
2016-11-30,93
2016-12-01,81
2016-12-02,61
2016-12-03,31
2016-12-04,51
2016-12-05,81
2016-12-06,82
2016-12-07,82
2016-12-08,88
2016-12-09,68
2016-12-10,24
2016-12-11,54
2016-12-12,92
2016-12-13,94
2016-12-14,92
2016-12-15,86
2016-12-16,75
2016-12-17,37
2016-12-18,54
2016-12-19,95
2016-12-20,70
2016-12-21,51
2016-12-22,46
2016-12-23,32
2016-12-24,17
2016-12-25,26
2016-12-26,19
2016-12-27,34
2016-12-28,45
2016-12-29,39
2016-12-30,36
2016-12-31,18
2017-01-01,29
2017-01-02,88
2017-01-03,83
2017-01-04,76
2017-01-05,75
2017-01-06,71
2017-01-07,49
2017-01-08,57
2017-01-09,72
2017-01-10,91
2017-01-11,93
2017-01-12,94
2017-01-13,65
2017-01-14,37
2017-01-15,48
2017-01-16,80
2017-01-17,76
2017-01-18,95
2017-01-19,76
2017-01-20,67
2017-01-21,33
2017-01-22,51
2017-01-23,80
2017-01-24,75
2017-01-25,83
2017-01-26,71
2017-01-27,53
2017-01-28,26
2017-01-29,40
2017-01-30,75
2017-01-31,88
2017-02-01,79
2017-02-02,84
2017-02-03,71
2017-02-04,40
2017-02-05,59
2017-02-06,90
2017-02-07,78
2017-02-08,74
2017-02-09,92
2017-02-10,58
2017-02-11,44
2017-02-12,38
2017-02-13,60
2017-02-14,57
2017-02-15,60
2017-02-16,68
2017-02-17,51
2017-02-18,34
2017-02-19,36
2017-02-20,84
2017-02-21,91
2017-02-22,74
2017-02-23,86
2017-02-24,68
2017-02-25,39
2017-02-26,52
2017-02-27,93
2017-02-28,92
2017-03-01,94
2017-03-02,79
2017-03-03,55
2017-03-04,30
2017-03-05,47
2017-03-06,97
2017-03-07,95
2017-03-08,95
2017-03-09,86
2017-03-10,56
2017-03-11,25
2017-03-12,46
2017-03-13,85
2017-03-14,75
2017-03-15,83
2017-03-16,79
2017-03-17,63
2017-03-18,23
2017-03-19,52
2017-03-20,83
2017-03-21,92
2017-03-22,78
2017-03-23,80
2017-03-24,67
2017-03-25,30
2017-03-26,55
2017-03-27,100
2017-03-28,92
2017-03-29,99
2017-03-30,88
2017-03-31,64
2017-04-01,41
2017-04-02,41
2017-04-03,94
2017-04-04,91
2017-04-05,83
