Category: Politics

Day,Geo: Denmark
2016-11-28,86
2016-11-29,66
2016-11-30,67
2016-12-01,68
2016-12-02,63
2016-12-03,44
2016-12-04,66
2016-12-05,68
2016-12-06,77
2016-12-07,66
2016-12-08,64
2016-12-09,58
2016-12-10,40
2016-12-11,51
2016-12-12,62
2016-12-13,64
2016-12-14,59
2016-12-15,63
2016-12-16,56
2016-12-17,44
2016-12-18,53
2016-12-19,64
2016-12-20,56
2016-12-21,45
2016-12-22,40
2016-12-23,37
2016-12-24,31
2016-12-25,36
2016-12-26,31
2016-12-27,33
2016-12-28,36
2016-12-29,37
2016-12-30,40
2016-12-31,37
2017-01-01,44
2017-01-02,46
2017-01-03,50
2017-01-04,50
2017-01-05,56
2017-01-06,58
2017-01-07,40
2017-01-08,44
2017-01-09,57
2017-01-10,60
2017-01-11,62
2017-01-12,63
2017-01-13,55
2017-01-14,52
2017-01-15,48
2017-01-16,68
2017-01-17,66
2017-01-18,63
2017-01-19,62
2017-01-20,100
2017-01-21,65
2017-01-22,62
2017-01-23,65
2017-01-24,64
2017-01-25,62
2017-01-26,63
2017-01-27,54
2017-01-28,45
2017-01-29,51
2017-01-30,73
2017-01-31,60
2017-02-01,66
2017-02-02,73
2017-02-03,60
2017-02-04,46
2017-02-05,49
2017-02-06,58
2017-02-07,61
2017-02-08,53
2017-02-09,57
2017-02-10,54
2017-02-11,39
2017-02-12,46
2017-02-13,44
2017-02-14,42
2017-02-15,44
2017-02-16,48
2017-02-17,42
2017-02-18,41
2017-02-19,61
2017-02-20,53
2017-02-21,58
2017-02-22,57
2017-02-23,59
2017-02-24,55
2017-02-25,45
2017-02-26,48
2017-02-27,55
2017-02-28,62
2017-03-01,61
2017-03-02,56
2017-03-03,56
2017-03-04,41
2017-03-05,52
2017-03-06,57
2017-03-07,53
2017-03-08,60
2017-03-09,57
2017-03-10,52
2017-03-11,41
2017-03-12,46
2017-03-13,64
2017-03-14,57
2017-03-15,68
2017-03-16,65
2017-03-17,55
2017-03-18,41
2017-03-19,45
2017-03-20,61
2017-03-21,62
2017-03-22,58
2017-03-23,56
2017-03-24,50
2017-03-25,47
2017-03-26,47
2017-03-27,60
2017-03-28,57
2017-03-29,63
2017-03-30,61
2017-03-31,46
2017-04-01,38
2017-04-02,40
2017-04-03,59
2017-04-04,52
2017-04-05,59
