Category: Economics

Day,Geo: Finland
2016-11-28,81
2016-11-29,54
2016-11-30,77
2016-12-01,69
2016-12-02,62
2016-12-03,26
2016-12-04,43
2016-12-05,58
2016-12-06,38
2016-12-07,70
2016-12-08,69
2016-12-09,55
2016-12-10,37
2016-12-11,37
2016-12-12,72
2016-12-13,75
2016-12-14,66
2016-12-15,61
2016-12-16,79
2016-12-17,37
2016-12-18,44
2016-12-19,66
2016-12-20,69
2016-12-21,49
2016-12-22,45
2016-12-23,34
2016-12-24,25
2016-12-25,28
2016-12-26,36
2016-12-27,55
2016-12-28,39
2016-12-29,58
2016-12-30,59
2016-12-31,38
2017-01-01,42
2017-01-02,87
2017-01-03,97
2017-01-04,51
2017-01-05,65
2017-01-06,40
2017-01-07,48
2017-01-08,51
2017-01-09,91
2017-01-10,98
2017-01-11,83
2017-01-12,85
2017-01-13,62
2017-01-14,55
2017-01-15,60
2017-01-16,96
2017-01-17,85
2017-01-18,78
2017-01-19,83
2017-01-20,58
2017-01-21,32
2017-01-22,56
2017-01-23,83
2017-01-24,100
2017-01-25,70
2017-01-26,78
2017-01-27,68
2017-01-28,28
2017-01-29,53
2017-01-30,87
2017-01-31,82
2017-02-01,88
2017-02-02,54
2017-02-03,63
2017-02-04,48
2017-02-05,52
2017-02-06,84
2017-02-07,73
2017-02-08,66
2017-02-09,81
2017-02-10,58
2017-02-11,29
2017-02-12,48
2017-02-13,67
2017-02-14,62
2017-02-15,67
2017-02-16,66
2017-02-17,65
2017-02-18,38
2017-02-19,59
2017-02-20,68
2017-02-21,63
2017-02-22,60
2017-02-23,67
2017-02-24,46
2017-02-25,43
2017-02-26,45
2017-02-27,71
2017-02-28,85
2017-03-01,100
2017-03-02,69
2017-03-03,58
2017-03-04,28
2017-03-05,33
2017-03-06,65
2017-03-07,71
2017-03-08,92
2017-03-09,63
2017-03-10,54
2017-03-11,47
2017-03-12,52
2017-03-13,83
2017-03-14,88
2017-03-15,69
2017-03-16,63
2017-03-17,53
2017-03-18,43
2017-03-19,51
2017-03-20,74
2017-03-21,66
2017-03-22,75
2017-03-23,67
2017-03-24,53
2017-03-25,42
2017-03-26,45
2017-03-27,71
2017-03-28,76
2017-03-29,71
2017-03-30,70
2017-03-31,54
2017-04-01,55
2017-04-02,53
2017-04-03,82
2017-04-04,80
2017-04-05,73
