Category: Accident & Personal Injury Law

Day,Geo: United Kingdom
2016-11-28,85
2016-11-29,86
2016-11-30,83
2016-12-01,97
2016-12-02,76
2016-12-03,49
2016-12-04,56
2016-12-05,74
2016-12-06,86
2016-12-07,74
2016-12-08,95
2016-12-09,72
2016-12-10,47
2016-12-11,48
2016-12-12,78
2016-12-13,75
2016-12-14,73
2016-12-15,73
2016-12-16,71
2016-12-17,48
2016-12-18,40
2016-12-19,72
2016-12-20,77
2016-12-21,74
2016-12-22,63
2016-12-23,60
2016-12-24,49
2016-12-25,29
2016-12-26,38
2016-12-27,42
2016-12-28,54
2016-12-29,69
2016-12-30,55
2016-12-31,36
2017-01-01,45
2017-01-02,51
2017-01-03,86
2017-01-04,85
2017-01-05,93
2017-01-06,80
2017-01-07,76
2017-01-08,54
2017-01-09,88
2017-01-10,85
2017-01-11,96
2017-01-12,88
2017-01-13,77
2017-01-14,53
2017-01-15,52
2017-01-16,90
2017-01-17,72
2017-01-18,90
2017-01-19,85
2017-01-20,81
2017-01-21,68
2017-01-22,54
2017-01-23,81
2017-01-24,87
2017-01-25,91
2017-01-26,97
2017-01-27,78
2017-01-28,54
2017-01-29,60
2017-01-30,88
2017-01-31,92
2017-02-01,91
2017-02-02,93
2017-02-03,82
2017-02-04,63
2017-02-05,56
2017-02-06,84
2017-02-07,86
2017-02-08,94
2017-02-09,85
2017-02-10,78
2017-02-11,51
2017-02-12,48
2017-02-13,77
2017-02-14,67
2017-02-15,89
2017-02-16,95
2017-02-17,75
2017-02-18,71
2017-02-19,61
2017-02-20,99
2017-02-21,78
2017-02-22,92
2017-02-23,90
2017-02-24,85
2017-02-25,67
2017-02-26,55
2017-02-27,91
2017-02-28,100
2017-03-01,80
2017-03-02,89
2017-03-03,85
2017-03-04,55
2017-03-05,65
2017-03-06,87
2017-03-07,86
2017-03-08,97
2017-03-09,90
2017-03-10,80
2017-03-11,47
2017-03-12,56
2017-03-13,95
2017-03-14,90
2017-03-15,85
2017-03-16,96
2017-03-17,84
2017-03-18,50
2017-03-19,60
2017-03-20,100
2017-03-21,85
2017-03-22,90
2017-03-23,90
2017-03-24,81
2017-03-25,49
2017-03-26,49
2017-03-27,79
2017-03-28,83
2017-03-29,84
2017-03-30,82
2017-03-31,86
2017-04-01,56
2017-04-02,47
2017-04-03,83
2017-04-04,80
2017-04-05,91
