Category: Economics

Day,Geo: United Kingdom
2016-11-28,98
2016-11-29,91
2016-11-30,90
2016-12-01,94
2016-12-02,76
2016-12-03,55
2016-12-04,72
2016-12-05,96
2016-12-06,88
2016-12-07,87
2016-12-08,87
2016-12-09,73
2016-12-10,48
2016-12-11,62
2016-12-12,83
2016-12-13,79
2016-12-14,71
2016-12-15,73
2016-12-16,56
2016-12-17,34
2016-12-18,39
2016-12-19,51
2016-12-20,47
2016-12-21,45
2016-12-22,43
2016-12-23,38
2016-12-24,32
2016-12-25,25
2016-12-26,33
2016-12-27,34
2016-12-28,44
2016-12-29,45
2016-12-30,45
2016-12-31,33
2017-01-01,41
2017-01-02,57
2017-01-03,67
2017-01-04,78
2017-01-05,78
2017-01-06,79
2017-01-07,59
2017-01-08,73
2017-01-09,98
2017-01-10,92
2017-01-11,88
2017-01-12,87
2017-01-13,83
2017-01-14,61
2017-01-15,71
2017-01-16,97
2017-01-17,100
2017-01-18,96
2017-01-19,87
2017-01-20,79
2017-01-21,59
2017-01-22,65
2017-01-23,88
2017-01-24,84
2017-01-25,81
2017-01-26,86
2017-01-27,67
2017-01-28,49
2017-01-29,61
2017-01-30,81
2017-01-31,81
2017-02-01,78
2017-02-02,85
2017-02-03,74
2017-02-04,47
2017-02-05,59
2017-02-06,82
2017-02-07,80
2017-02-08,75
2017-02-09,74
2017-02-10,63
2017-02-11,45
2017-02-12,57
2017-02-13,71
2017-02-14,74
2017-02-15,71
2017-02-16,76
2017-02-17,72
2017-02-18,49
2017-02-19,61
2017-02-20,75
2017-02-21,81
2017-02-22,79
2017-02-23,82
2017-02-24,64
2017-02-25,48
2017-02-26,63
2017-02-27,91
2017-02-28,84
2017-03-01,85
2017-03-02,82
2017-03-03,75
2017-03-04,57
2017-03-05,70
2017-03-06,88
2017-03-07,82
2017-03-08,86
2017-03-09,86
2017-03-10,73
2017-03-11,46
2017-03-12,68
2017-03-13,94
2017-03-14,90
2017-03-15,84
2017-03-16,95
2017-03-17,75
2017-03-18,55
2017-03-19,65
2017-03-20,86
2017-03-21,94
2017-03-22,82
2017-03-23,78
2017-03-24,66
2017-03-25,44
2017-03-26,58
2017-03-27,83
2017-03-28,81
2017-03-29,81
2017-03-30,78
2017-03-31,68
2017-04-01,47
2017-04-02,51
2017-04-03,70
2017-04-04,71
2017-04-05,70
