Category: Politics

Day,Geo: United Kingdom
2016-11-28,59
2016-11-29,54
2016-11-30,50
2016-12-01,55
2016-12-02,74
2016-12-03,56
2016-12-04,86
2016-12-05,63
2016-12-06,52
2016-12-07,49
2016-12-08,61
2016-12-09,55
2016-12-10,53
2016-12-11,45
2016-12-12,51
2016-12-13,42
2016-12-14,41
2016-12-15,39
2016-12-16,40
2016-12-17,54
2016-12-18,43
2016-12-19,45
2016-12-20,46
2016-12-21,42
2016-12-22,35
2016-12-23,34
2016-12-24,31
2016-12-25,32
2016-12-26,31
2016-12-27,33
2016-12-28,33
2016-12-29,36
2016-12-30,38
2016-12-31,32
2017-01-01,40
2017-01-02,35
2017-01-03,41
2017-01-04,44
2017-01-05,43
2017-01-06,42
2017-01-07,39
2017-01-08,45
2017-01-09,48
2017-01-10,48
2017-01-11,54
2017-01-12,49
2017-01-13,51
2017-01-14,39
2017-01-15,49
2017-01-16,53
2017-01-17,65
2017-01-18,58
2017-01-19,57
2017-01-20,100
2017-01-21,74
2017-01-22,69
2017-01-23,59
2017-01-24,55
2017-01-25,55
2017-01-26,57
2017-01-27,55
2017-01-28,44
2017-01-29,61
2017-01-30,59
2017-01-31,60
2017-02-01,65
2017-02-02,62
2017-02-03,59
2017-02-04,48
2017-02-05,56
2017-02-06,57
2017-02-07,53
2017-02-08,61
2017-02-09,58
2017-02-10,51
2017-02-11,44
2017-02-12,49
2017-02-13,50
2017-02-14,51
2017-02-15,51
2017-02-16,50
2017-02-17,58
2017-02-18,48
2017-02-19,53
2017-02-20,52
2017-02-21,52
2017-02-22,54
2017-02-23,71
2017-02-24,83
2017-02-25,47
2017-02-26,52
2017-02-27,52
2017-02-28,54
2017-03-01,53
2017-03-02,60
2017-03-03,81
2017-03-04,66
2017-03-05,53
2017-03-06,51
2017-03-07,51
2017-03-08,54
2017-03-09,53
2017-03-10,49
2017-03-11,57
2017-03-12,48
2017-03-13,57
2017-03-14,57
2017-03-15,68
2017-03-16,68
2017-03-17,57
2017-03-18,50
2017-03-19,50
2017-03-20,59
2017-03-21,66
2017-03-22,59
2017-03-23,57
2017-03-24,52
2017-03-25,42
2017-03-26,41
2017-03-27,48
2017-03-28,52
2017-03-29,59
2017-03-30,50
2017-03-31,47
2017-04-01,40
2017-04-02,40
2017-04-03,47
2017-04-04,49
2017-04-05,48
