Day,Geo: Australia
2016-11-28,85
2016-11-29,85
2016-11-30,86
2016-12-01,91
2016-12-02,81
2016-12-03,81
2016-12-04,86
2016-12-05,89
2016-12-06,94
2016-12-07,91
2016-12-08,91
2016-12-09,83
2016-12-10,83
2016-12-11,85
2016-12-12,88
2016-12-13,87
2016-12-14,88
2016-12-15,87
2016-12-16,86
2016-12-17,84
2016-12-18,87
2016-12-19,90
2016-12-20,86
2016-12-21,89
2016-12-22,89
2016-12-23,79
2016-12-24,70
2016-12-25,70
2016-12-26,80
2016-12-27,85
2016-12-28,86
2016-12-29,88
2016-12-30,87
2016-12-31,69
2017-01-01,87
2017-01-02,91
2017-01-03,96
2017-01-04,94
2017-01-05,96
2017-01-06,86
2017-01-07,85
2017-01-08,92
2017-01-09,95
2017-01-10,93
2017-01-11,90
2017-01-12,88
2017-01-13,88
2017-01-14,85
2017-01-15,88
2017-01-16,92
2017-01-17,88
2017-01-18,90
2017-01-19,88
2017-01-20,81
2017-01-21,85
2017-01-22,87
2017-01-23,85
2017-01-24,87
2017-01-25,82
2017-01-26,72
2017-01-27,84
2017-01-28,88
2017-01-29,95
2017-01-30,100
2017-01-31,90
2017-02-01,86
2017-02-02,87
2017-02-03,84
2017-02-04,86
2017-02-05,94
2017-02-06,88
2017-02-07,85
2017-02-08,84
2017-02-09,89
2017-02-10,83
2017-02-11,91
2017-02-12,93
2017-02-13,85
2017-02-14,78
2017-02-15,85
2017-02-16,84
2017-02-17,80
2017-02-18,90
2017-02-19,94
2017-02-20,89
2017-02-21,88
2017-02-22,86
2017-02-23,88
2017-02-24,88
2017-02-25,88
2017-02-26,92
2017-02-27,93
2017-02-28,90
2017-03-01,88
2017-03-02,92
2017-03-03,86
2017-03-04,87
2017-03-05,95
2017-03-06,84
2017-03-07,85
2017-03-08,89
2017-03-09,88
2017-03-10,88
2017-03-11,89
2017-03-12,86
2017-03-13,91
2017-03-14,91
2017-03-15,87
2017-03-16,97
2017-03-17,90
2017-03-18,91
2017-03-19,97
2017-03-20,94
2017-03-21,91
2017-03-22,91
2017-03-23,91
2017-03-24,89
2017-03-25,89
2017-03-26,89
2017-03-27,91
2017-03-28,87
2017-03-29,89
2017-03-30,85
2017-03-31,78
2017-04-01,81
2017-04-02,88
2017-04-03,86
2017-04-04,86
2017-04-05,93
2017-04-06,86
2017-04-07,85
2017-04-08,88
2017-04-09,93
2017-04-10,91
2017-04-11,88
2017-04-12,86
2017-04-13,80
2017-04-14,83
2017-04-15,78
2017-04-16,83
2017-04-17,87
2017-04-18,87
2017-04-19,88
2017-04-20,90
2017-04-21,89
2017-04-22,88
2017-04-23,87
2017-04-24,87
2017-04-25,87
2017-04-26,87
2017-04-27,85
2017-04-28,84
2017-04-29,90
2017-04-30,97
2017-05-01,99
2017-05-02,90
2017-05-03,91
2017-05-04,90
