Day,Geo: Australia
2016-11-28,74
2016-11-29,74
2016-11-30,66
2016-12-01,66
2016-12-02,48
2016-12-03,44
2016-12-04,53
2016-12-05,64
2016-12-06,57
2016-12-07,59
2016-12-08,58
2016-12-09,47
2016-12-10,41
2016-12-11,48
2016-12-12,52
2016-12-13,54
2016-12-14,53
2016-12-15,50
2016-12-16,43
2016-12-17,38
2016-12-18,46
2016-12-19,46
2016-12-20,46
2016-12-21,49
2016-12-22,48
2016-12-23,39
2016-12-24,41
2016-12-25,39
2016-12-26,34
2016-12-27,44
2016-12-28,43
2016-12-29,41
2016-12-30,44
2016-12-31,37
2017-01-01,46
2017-01-02,45
2017-01-03,47
2017-01-04,52
2017-01-05,52
2017-01-06,53
2017-01-07,50
2017-01-08,52
2017-01-09,51
2017-01-10,54
2017-01-11,52
2017-01-12,52
2017-01-13,46
2017-01-14,40
2017-01-15,46
2017-01-16,50
2017-01-17,54
2017-01-18,53
2017-01-19,52
2017-01-20,48
2017-01-21,41
2017-01-22,53
2017-01-23,56
2017-01-24,54
2017-01-25,50
2017-01-26,42
2017-01-27,50
2017-01-28,49
2017-01-29,55
2017-01-30,65
2017-01-31,66
2017-02-01,73
2017-02-02,71
2017-02-03,57
2017-02-04,51
2017-02-05,63
2017-02-06,78
2017-02-07,83
2017-02-08,78
2017-02-09,81
2017-02-10,62
2017-02-11,57
2017-02-12,66
2017-02-13,88
2017-02-14,77
2017-02-15,81
2017-02-16,77
2017-02-17,61
2017-02-18,52
2017-02-19,70
2017-02-20,84
2017-02-21,83
2017-02-22,79
2017-02-23,82
2017-02-24,63
2017-02-25,52
2017-02-26,69
2017-02-27,89
2017-02-28,91
2017-03-01,92
2017-03-02,86
2017-03-03,70
2017-03-04,53
2017-03-05,70
2017-03-06,87
2017-03-07,87
2017-03-08,93
2017-03-09,88
2017-03-10,65
2017-03-11,54
2017-03-12,68
2017-03-13,94
2017-03-14,88
2017-03-15,91
2017-03-16,100
2017-03-17,67
2017-03-18,59
2017-03-19,80
2017-03-20,99
2017-03-21,91
2017-03-22,96
2017-03-23,92
2017-03-24,75
2017-03-25,62
2017-03-26,85
2017-03-27,95
2017-03-28,88
2017-03-29,98
2017-03-30,90
2017-03-31,66
2017-04-01,57
2017-04-02,66
2017-04-03,83
2017-04-04,81
2017-04-05,76
2017-04-06,65
2017-04-07,62
2017-04-08,49
2017-04-09,61
2017-04-10,61
2017-04-11,55
2017-04-12,62
2017-04-13,53
2017-04-14,45
2017-04-15,47
2017-04-16,52
2017-04-17,53
2017-04-18,63
2017-04-19,73
2017-04-20,66
2017-04-21,66
2017-04-22,75
2017-04-23,70
2017-04-24,64
2017-04-25,60
2017-04-26,78
2017-04-27,85
2017-04-28,75
2017-04-29,57
2017-04-30,70
2017-05-01,91
2017-05-02,89
2017-05-03,88
2017-05-04,88
