Day,Geo: Australia
2016-11-28,82
2016-11-29,80
2016-11-30,81
2016-12-01,87
2016-12-02,79
2016-12-03,82
2016-12-04,82
2016-12-05,77
2016-12-06,80
2016-12-07,82
2016-12-08,90
2016-12-09,73
2016-12-10,76
2016-12-11,85
2016-12-12,76
2016-12-13,73
2016-12-14,73
2016-12-15,75
2016-12-16,77
2016-12-17,75
2016-12-18,79
2016-12-19,76
2016-12-20,75
2016-12-21,76
2016-12-22,74
2016-12-23,65
2016-12-24,65
2016-12-25,80
2016-12-26,99
2016-12-27,80
2016-12-28,73
2016-12-29,75
2016-12-30,74
2016-12-31,59
2017-01-01,73
2017-01-02,71
2017-01-03,68
2017-01-04,71
2017-01-05,70
2017-01-06,68
2017-01-07,67
2017-01-08,77
2017-01-09,90
2017-01-10,75
2017-01-11,71
2017-01-12,73
2017-01-13,83
2017-01-14,76
2017-01-15,77
2017-01-16,72
2017-01-17,69
2017-01-18,70
2017-01-19,71
2017-01-20,71
2017-01-21,72
2017-01-22,70
2017-01-23,69
2017-01-24,68
2017-01-25,67
2017-01-26,59
2017-01-27,62
2017-01-28,73
2017-01-29,82
2017-01-30,73
2017-01-31,71
2017-02-01,69
2017-02-02,74
2017-02-03,70
2017-02-04,74
2017-02-05,76
2017-02-06,76
2017-02-07,71
2017-02-08,70
2017-02-09,70
2017-02-10,71
2017-02-11,77
2017-02-12,77
2017-02-13,77
2017-02-14,68
2017-02-15,74
2017-02-16,76
2017-02-17,71
2017-02-18,78
2017-02-19,82
2017-02-20,72
2017-02-21,67
2017-02-22,70
2017-02-23,74
2017-02-24,73
2017-02-25,79
2017-02-26,84
2017-02-27,100
2017-02-28,72
2017-03-01,79
2017-03-02,78
2017-03-03,75
2017-03-04,79
2017-03-05,77
2017-03-06,69
2017-03-07,72
2017-03-08,80
2017-03-09,78
2017-03-10,73
2017-03-11,74
2017-03-12,75
2017-03-13,76
2017-03-14,73
2017-03-15,79
2017-03-16,79
2017-03-17,73
2017-03-18,79
2017-03-19,84
2017-03-20,79
2017-03-21,89
2017-03-22,73
2017-03-23,80
2017-03-24,71
2017-03-25,78
2017-03-26,79
2017-03-27,73
2017-03-28,82
2017-03-29,80
2017-03-30,85
2017-03-31,70
2017-04-01,77
2017-04-02,81
2017-04-03,82
2017-04-04,72
2017-04-05,72
2017-04-06,72
2017-04-07,69
2017-04-08,77
2017-04-09,85
2017-04-10,81
2017-04-11,72
2017-04-12,73
2017-04-13,69
2017-04-14,72
2017-04-15,69
2017-04-16,71
2017-04-17,71
2017-04-18,70
2017-04-19,83
2017-04-20,79
2017-04-21,76
2017-04-22,77
2017-04-23,80
2017-04-24,74
2017-04-25,74
2017-04-26,76
2017-04-27,74
2017-04-28,76
2017-04-29,82
2017-04-30,84
2017-05-01,82
2017-05-02,89
2017-05-03,90
2017-05-04,99
