Day,Geo: Australia
2016-11-28,50
2016-11-29,47
2016-11-30,49
2016-12-01,46
2016-12-02,52
2016-12-03,59
2016-12-04,56
2016-12-05,50
2016-12-06,50
2016-12-07,50
2016-12-08,50
2016-12-09,53
2016-12-10,62
2016-12-11,60
2016-12-12,52
2016-12-13,52
2016-12-14,55
2016-12-15,52
2016-12-16,59
2016-12-17,63
2016-12-18,64
2016-12-19,56
2016-12-20,62
2016-12-21,67
2016-12-22,68
2016-12-23,85
2016-12-24,100
2016-12-25,61
2016-12-26,53
2016-12-27,53
2016-12-28,54
2016-12-29,56
2016-12-30,61
2016-12-31,64
2017-01-01,67
2017-01-02,59
2017-01-03,55
2017-01-04,54
2017-01-05,51
2017-01-06,58
2017-01-07,60
2017-01-08,61
2017-01-09,51
2017-01-10,50
2017-01-11,49
2017-01-12,51
2017-01-13,55
2017-01-14,62
2017-01-15,59
2017-01-16,50
2017-01-17,50
2017-01-18,48
2017-01-19,49
2017-01-20,55
2017-01-21,60
2017-01-22,58
2017-01-23,49
2017-01-24,49
2017-01-25,53
2017-01-26,49
2017-01-27,54
2017-01-28,64
2017-01-29,58
2017-01-30,48
2017-01-31,49
2017-02-01,41
2017-02-02,47
2017-02-03,52
2017-02-04,62
2017-02-05,62
2017-02-06,48
2017-02-07,47
2017-02-08,46
2017-02-09,49
2017-02-10,54
2017-02-11,65
2017-02-12,62
2017-02-13,50
2017-02-14,53
2017-02-15,48
2017-02-16,47
2017-02-17,52
2017-02-18,66
2017-02-19,63
2017-02-20,49
2017-02-21,51
2017-02-22,51
2017-02-23,49
2017-02-24,57
2017-02-25,65
2017-02-26,64
2017-02-27,51
2017-02-28,49
2017-03-01,51
2017-03-02,50
2017-03-03,56
2017-03-04,63
2017-03-05,61
2017-03-06,49
2017-03-07,47
2017-03-08,50
2017-03-09,50
2017-03-10,53
2017-03-11,66
2017-03-12,63
2017-03-13,54
2017-03-14,52
2017-03-15,51
2017-03-16,52
2017-03-17,55
2017-03-18,66
2017-03-19,57
2017-03-20,52
2017-03-21,50
2017-03-22,52
2017-03-23,51
2017-03-24,55
2017-03-25,67
2017-03-26,62
2017-03-27,49
2017-03-28,50
2017-03-29,50
2017-03-30,52
2017-03-31,55
2017-04-01,66
2017-04-02,62
2017-04-03,52
2017-04-04,54
2017-04-05,53
2017-04-06,53
2017-04-07,57
2017-04-08,69
2017-04-09,69
2017-04-10,55
2017-04-11,54
2017-04-12,56
2017-04-13,62
2017-04-14,73
2017-04-15,71
2017-04-16,64
2017-04-17,59
2017-04-18,50
2017-04-19,52
2017-04-20,52
2017-04-21,57
2017-04-22,66
2017-04-23,63
2017-04-24,56
2017-04-25,59
2017-04-26,51
2017-04-27,51
2017-04-28,54
2017-04-29,65
2017-04-30,70
2017-05-01,61
2017-05-02,53
2017-05-03,54
2017-05-04,52
