Day,Geo: Australia
2016-11-28,82
2016-11-29,76
2016-11-30,83
2016-12-01,82
2016-12-02,55
2016-12-03,50
2016-12-04,59
2016-12-05,74
2016-12-06,72
2016-12-07,79
2016-12-08,77
2016-12-09,65
2016-12-10,53
2016-12-11,51
2016-12-12,62
2016-12-13,65
2016-12-14,75
2016-12-15,89
2016-12-16,66
2016-12-17,48
2016-12-18,62
2016-12-19,66
2016-12-20,65
2016-12-21,79
2016-12-22,73
2016-12-23,48
2016-12-24,42
2016-12-25,40
2016-12-26,49
2016-12-27,51
2016-12-28,63
2016-12-29,65
2016-12-30,50
2016-12-31,44
2017-01-01,37
2017-01-02,53
2017-01-03,54
2017-01-04,56
2017-01-05,69
2017-01-06,53
2017-01-07,47
2017-01-08,48
2017-01-09,79
2017-01-10,76
2017-01-11,78
2017-01-12,80
2017-01-13,52
2017-01-14,56
2017-01-15,58
2017-01-16,69
2017-01-17,64
2017-01-18,77
2017-01-19,66
2017-01-20,86
2017-01-21,65
2017-01-22,43
2017-01-23,58
2017-01-24,61
2017-01-25,72
2017-01-26,57
2017-01-27,57
2017-01-28,47
2017-01-29,38
2017-01-30,79
2017-01-31,67
2017-02-01,68
2017-02-02,75
2017-02-03,48
2017-02-04,36
2017-02-05,51
2017-02-06,58
2017-02-07,75
2017-02-08,76
2017-02-09,74
2017-02-10,72
2017-02-11,48
2017-02-12,44
2017-02-13,66
2017-02-14,69
2017-02-15,65
2017-02-16,78
2017-02-17,43
2017-02-18,54
2017-02-19,55
2017-02-20,67
2017-02-21,86
2017-02-22,78
2017-02-23,93
2017-02-24,61
2017-02-25,41
2017-02-26,66
2017-02-27,87
2017-02-28,82
2017-03-01,90
2017-03-02,67
2017-03-03,57
2017-03-04,50
2017-03-05,47
2017-03-06,75
2017-03-07,68
2017-03-08,84
2017-03-09,92
2017-03-10,65
2017-03-11,49
2017-03-12,51
2017-03-13,79
2017-03-14,90
2017-03-15,90
2017-03-16,83
2017-03-17,68
2017-03-18,41
2017-03-19,49
2017-03-20,75
2017-03-21,74
2017-03-22,100
2017-03-23,100
2017-03-24,71
2017-03-25,46
2017-03-26,48
2017-03-27,66
2017-03-28,70
2017-03-29,64
2017-03-30,94
2017-03-31,77
2017-04-01,49
2017-04-02,60
2017-04-03,69
2017-04-04,80
2017-04-05,86
