Day,Geo: Australia
2016-11-28,53
2016-11-29,49
2016-11-30,48
2016-12-01,48
2016-12-02,44
2016-12-03,38
2016-12-04,46
2016-12-05,47
2016-12-06,47
2016-12-07,56
2016-12-08,52
2016-12-09,37
2016-12-10,29
2016-12-11,33
2016-12-12,43
2016-12-13,43
2016-12-14,39
2016-12-15,40
2016-12-16,31
2016-12-17,28
2016-12-18,43
2016-12-19,51
2016-12-20,40
2016-12-21,35
2016-12-22,35
2016-12-23,33
2016-12-24,23
2016-12-25,17
2016-12-26,26
2016-12-27,29
2016-12-28,35
2016-12-29,28
2016-12-30,29
2016-12-31,21
2017-01-01,31
2017-01-02,32
2017-01-03,37
2017-01-04,32
2017-01-05,40
2017-01-06,36
2017-01-07,28
2017-01-08,35
2017-01-09,51
2017-01-10,44
2017-01-11,42
2017-01-12,41
2017-01-13,41
2017-01-14,32
2017-01-15,41
2017-01-16,46
2017-01-17,41
2017-01-18,40
2017-01-19,45
2017-01-20,39
2017-01-21,35
2017-01-22,39
2017-01-23,42
2017-01-24,56
2017-01-25,41
2017-01-26,35
2017-01-27,45
2017-01-28,36
2017-01-29,48
2017-01-30,49
2017-01-31,52
2017-02-01,55
2017-02-02,68
2017-02-03,52
2017-02-04,50
2017-02-05,53
2017-02-06,63
2017-02-07,67
2017-02-08,66
2017-02-09,65
2017-02-10,50
2017-02-11,43
2017-02-12,54
2017-02-13,66
2017-02-14,59
2017-02-15,63
2017-02-16,63
2017-02-17,51
2017-02-18,44
2017-02-19,57
2017-02-20,67
2017-02-21,68
2017-02-22,63
2017-02-23,74
2017-02-24,55
2017-02-25,44
2017-02-26,72
2017-02-27,65
2017-02-28,80
2017-03-01,77
2017-03-02,79
2017-03-03,59
2017-03-04,52
2017-03-05,77
2017-03-06,95
2017-03-07,92
2017-03-08,87
2017-03-09,88
2017-03-10,64
2017-03-11,58
2017-03-12,79
2017-03-13,97
2017-03-14,89
2017-03-15,94
2017-03-16,98
2017-03-17,72
2017-03-18,63
2017-03-19,94
2017-03-20,97
2017-03-21,95
2017-03-22,92
2017-03-23,90
2017-03-24,69
2017-03-25,66
2017-03-26,87
2017-03-27,100
2017-03-28,98
2017-03-29,98
2017-03-30,89
2017-03-31,72
2017-04-01,58
2017-04-02,84
2017-04-03,92
2017-04-04,97
2017-04-05,96
