Day,Geo: Canada
2016-11-28,83
2016-11-29,77
2016-11-30,80
2016-12-01,82
2016-12-02,83
2016-12-03,87
2016-12-04,81
2016-12-05,77
2016-12-06,85
2016-12-07,82
2016-12-08,78
2016-12-09,78
2016-12-10,84
2016-12-11,79
2016-12-12,78
2016-12-13,81
2016-12-14,82
2016-12-15,78
2016-12-16,85
2016-12-17,85
2016-12-18,76
2016-12-19,82
2016-12-20,88
2016-12-21,85
2016-12-22,80
2016-12-23,80
2016-12-24,76
2016-12-25,69
2016-12-26,77
2016-12-27,81
2016-12-28,84
2016-12-29,87
2016-12-30,91
2016-12-31,91
2017-01-01,75
2017-01-02,91
2017-01-03,90
2017-01-04,90
2017-01-05,91
2017-01-06,91
2017-01-07,88
2017-01-08,89
2017-01-09,88
2017-01-10,85
2017-01-11,87
2017-01-12,86
2017-01-13,87
2017-01-14,91
2017-01-15,89
2017-01-16,88
2017-01-17,87
2017-01-18,85
2017-01-19,82
2017-01-20,86
2017-01-21,92
2017-01-22,85
2017-01-23,86
2017-01-24,89
2017-01-25,84
2017-01-26,87
2017-01-27,89
2017-01-28,88
2017-01-29,88
2017-01-30,100
2017-01-31,92
2017-02-01,86
2017-02-02,84
2017-02-03,83
2017-02-04,90
2017-02-05,87
2017-02-06,86
2017-02-07,83
2017-02-08,86
2017-02-09,84
2017-02-10,88
2017-02-11,91
2017-02-12,88
2017-02-13,82
2017-02-14,78
2017-02-15,80
2017-02-16,84
2017-02-17,85
2017-02-18,94
2017-02-19,86
2017-02-20,88
2017-02-21,89
2017-02-22,84
2017-02-23,81
2017-02-24,88
2017-02-25,90
2017-02-26,91
2017-02-27,87
2017-02-28,82
2017-03-01,85
2017-03-02,88
2017-03-03,88
2017-03-04,90
2017-03-05,83
2017-03-06,86
2017-03-07,86
2017-03-08,84
2017-03-09,86
2017-03-10,89
2017-03-11,92
2017-03-12,88
2017-03-13,86
2017-03-14,86
2017-03-15,84
2017-03-16,86
2017-03-17,86
2017-03-18,87
2017-03-19,90
2017-03-20,83
2017-03-21,83
2017-03-22,86
2017-03-23,85
2017-03-24,87
2017-03-25,91
2017-03-26,87
2017-03-27,85
2017-03-28,87
2017-03-29,86
2017-03-30,86
2017-03-31,89
2017-04-01,90
2017-04-02,89
2017-04-03,84
2017-04-04,84
2017-04-05,83
2017-04-06,84
2017-04-07,88
2017-04-08,85
2017-04-09,84
2017-04-10,82
2017-04-11,86
2017-04-12,85
2017-04-13,81
2017-04-14,88
2017-04-15,90
2017-04-16,87
2017-04-17,89
2017-04-18,88
2017-04-19,90
2017-04-20,86
2017-04-21,85
2017-04-22,90
2017-04-23,84
2017-04-24,88
2017-04-25,86
2017-04-26,82
2017-04-27,80
2017-04-28,84
2017-04-29,85
2017-04-30,90
2017-05-01,93
2017-05-02,89
2017-05-03,81
2017-05-04,81
