Day,Geo: Canada
2016-11-28,99
2016-11-29,100
2016-11-30,99
2016-12-01,95
2016-12-02,89
2016-12-03,80
2016-12-04,87
2016-12-05,97
2016-12-06,95
2016-12-07,93
2016-12-08,89
2016-12-09,83
2016-12-10,78
2016-12-11,78
2016-12-12,87
2016-12-13,85
2016-12-14,82
2016-12-15,84
2016-12-16,83
2016-12-17,69
2016-12-18,75
2016-12-19,81
2016-12-20,83
2016-12-21,81
2016-12-22,73
2016-12-23,68
2016-12-24,66
2016-12-25,62
2016-12-26,61
2016-12-27,65
2016-12-28,66
2016-12-29,66
2016-12-30,71
2016-12-31,70
2017-01-01,69
2017-01-02,71
2017-01-03,73
2017-01-04,71
2017-01-05,75
2017-01-06,74
2017-01-07,74
2017-01-08,79
2017-01-09,83
2017-01-10,84
2017-01-11,84
2017-01-12,87
2017-01-13,85
2017-01-14,82
2017-01-15,90
2017-01-16,94
2017-01-17,88
2017-01-18,91
2017-01-19,86
2017-01-20,84
2017-01-21,76
2017-01-22,83
2017-01-23,90
2017-01-24,88
2017-01-25,88
2017-01-26,82
2017-01-27,80
2017-01-28,73
2017-01-29,78
2017-01-30,83
2017-01-31,84
2017-02-01,82
2017-02-02,84
2017-02-03,79
2017-02-04,74
2017-02-05,80
2017-02-06,81
2017-02-07,79
2017-02-08,81
2017-02-09,84
2017-02-10,80
2017-02-11,74
2017-02-12,78
2017-02-13,85
2017-02-14,91
2017-02-15,84
2017-02-16,81
2017-02-17,75
2017-02-18,74
2017-02-19,69
2017-02-20,76
2017-02-21,78
2017-02-22,78
2017-02-23,80
2017-02-24,77
2017-02-25,74
2017-02-26,80
2017-02-27,89
2017-02-28,87
2017-03-01,86
2017-03-02,83
2017-03-03,81
2017-03-04,69
2017-03-05,80
2017-03-06,90
2017-03-07,88
2017-03-08,89
2017-03-09,83
2017-03-10,84
2017-03-11,74
2017-03-12,77
2017-03-13,77
2017-03-14,75
2017-03-15,77
2017-03-16,78
2017-03-17,74
2017-03-18,67
2017-03-19,78
2017-03-20,88
2017-03-21,85
2017-03-22,87
2017-03-23,86
2017-03-24,82
2017-03-25,72
2017-03-26,84
2017-03-27,87
2017-03-28,92
2017-03-29,90
2017-03-30,84
2017-03-31,88
2017-04-01,73
2017-04-02,85
2017-04-03,90
2017-04-04,94
2017-04-05,92
2017-04-06,88
2017-04-07,88
2017-04-08,74
2017-04-09,81
2017-04-10,90
2017-04-11,90
2017-04-12,86
2017-04-13,83
2017-04-14,71
2017-04-15,70
2017-04-16,79
2017-04-17,80
2017-04-18,88
2017-04-19,86
2017-04-20,83
2017-04-21,80
2017-04-22,70
2017-04-23,77
2017-04-24,85
2017-04-25,88
2017-04-26,81
2017-04-27,81
2017-04-28,80
2017-04-29,68
2017-04-30,86
2017-05-01,98
2017-05-02,88
2017-05-03,79
2017-05-04,79
