Day,Geo: Canada
2016-11-28,60
2016-11-29,69
2016-11-30,67
2016-12-01,67
2016-12-02,61
2016-12-03,45
2016-12-04,53
2016-12-05,72
2016-12-06,73
2016-12-07,72
2016-12-08,77
2016-12-09,74
2016-12-10,60
2016-12-11,67
2016-12-12,87
2016-12-13,70
2016-12-14,74
2016-12-15,87
2016-12-16,81
2016-12-17,64
2016-12-18,58
2016-12-19,63
2016-12-20,59
2016-12-21,57
2016-12-22,52
2016-12-23,47
2016-12-24,45
2016-12-25,46
2016-12-26,50
2016-12-27,43
2016-12-28,44
2016-12-29,50
2016-12-30,56
2016-12-31,46
2017-01-01,46
2017-01-02,47
2017-01-03,61
2017-01-04,60
2017-01-05,61
2017-01-06,68
2017-01-07,61
2017-01-08,60
2017-01-09,72
2017-01-10,73
2017-01-11,70
2017-01-12,71
2017-01-13,62
2017-01-14,46
2017-01-15,51
2017-01-16,65
2017-01-17,68
2017-01-18,68
2017-01-19,66
2017-01-20,64
2017-01-21,51
2017-01-22,48
2017-01-23,65
2017-01-24,72
2017-01-25,68
2017-01-26,62
2017-01-27,54
2017-01-28,42
2017-01-29,42
2017-01-30,53
2017-01-31,54
2017-02-01,53
2017-02-02,51
2017-02-03,47
2017-02-04,40
2017-02-05,46
2017-02-06,58
2017-02-07,63
2017-02-08,63
2017-02-09,66
2017-02-10,49
2017-02-11,40
2017-02-12,49
2017-02-13,61
2017-02-14,57
2017-02-15,57
2017-02-16,54
2017-02-17,45
2017-02-18,36
2017-02-19,34
2017-02-20,40
2017-02-21,44
2017-02-22,49
2017-02-23,47
2017-02-24,47
2017-02-25,40
2017-02-26,42
2017-02-27,53
2017-02-28,56
2017-03-01,57
2017-03-02,57
2017-03-03,56
2017-03-04,45
2017-03-05,51
2017-03-06,65
2017-03-07,65
2017-03-08,61
2017-03-09,64
2017-03-10,60
2017-03-11,49
2017-03-12,49
2017-03-13,64
2017-03-14,71
2017-03-15,59
2017-03-16,49
2017-03-17,48
2017-03-18,40
2017-03-19,50
2017-03-20,65
2017-03-21,62
2017-03-22,67
2017-03-23,59
2017-03-24,58
2017-03-25,47
2017-03-26,52
2017-03-27,66
2017-03-28,69
2017-03-29,72
2017-03-30,73
2017-03-31,63
2017-04-01,45
2017-04-02,51
2017-04-03,65
2017-04-04,67
2017-04-05,59
2017-04-06,60
2017-04-07,58
2017-04-08,43
2017-04-09,47
2017-04-10,61
2017-04-11,59
2017-04-12,61
2017-04-13,59
2017-04-14,48
2017-04-15,44
2017-04-16,47
2017-04-17,51
2017-04-18,65
2017-04-19,67
2017-04-20,70
2017-04-21,80
2017-04-22,100
2017-04-23,65
2017-04-24,64
2017-04-25,58
2017-04-26,55
2017-04-27,62
2017-04-28,52
2017-04-29,42
2017-04-30,46
2017-05-01,62
2017-05-02,59
2017-05-03,57
2017-05-04,55
