Day,Geo: Canada
2016-11-28,74
2016-11-29,73
2016-11-30,75
2016-12-01,86
2016-12-02,82
2016-12-03,85
2016-12-04,79
2016-12-05,77
2016-12-06,95
2016-12-07,75
2016-12-08,74
2016-12-09,75
2016-12-10,86
2016-12-11,75
2016-12-12,69
2016-12-13,77
2016-12-14,69
2016-12-15,69
2016-12-16,68
2016-12-17,73
2016-12-18,71
2016-12-19,68
2016-12-20,78
2016-12-21,71
2016-12-22,72
2016-12-23,70
2016-12-24,69
2016-12-25,67
2016-12-26,76
2016-12-27,73
2016-12-28,73
2016-12-29,76
2016-12-30,75
2016-12-31,74
2017-01-01,66
2017-01-02,72
2017-01-03,67
2017-01-04,67
2017-01-05,65
2017-01-06,70
2017-01-07,68
2017-01-08,75
2017-01-09,100
2017-01-10,77
2017-01-11,75
2017-01-12,65
2017-01-13,68
2017-01-14,73
2017-01-15,71
2017-01-16,70
2017-01-17,67
2017-01-18,71
2017-01-19,68
2017-01-20,71
2017-01-21,88
2017-01-22,73
2017-01-23,70
2017-01-24,74
2017-01-25,65
2017-01-26,65
2017-01-27,66
2017-01-28,72
2017-01-29,68
2017-01-30,68
2017-01-31,69
2017-02-01,63
2017-02-02,64
2017-02-03,66
2017-02-04,70
2017-02-05,77
2017-02-06,92
2017-02-07,69
2017-02-08,67
2017-02-09,69
2017-02-10,68
2017-02-11,74
2017-02-12,70
2017-02-13,75
2017-02-14,62
2017-02-15,65
2017-02-16,65
2017-02-17,69
2017-02-18,72
2017-02-19,67
2017-02-20,64
2017-02-21,68
2017-02-22,74
2017-02-23,63
2017-02-24,70
2017-02-25,72
2017-02-26,83
2017-02-27,97
2017-02-28,77
2017-03-01,66
2017-03-02,66
2017-03-03,70
2017-03-04,73
2017-03-05,75
2017-03-06,72
2017-03-07,73
2017-03-08,68
2017-03-09,66
2017-03-10,66
2017-03-11,75
2017-03-12,77
2017-03-13,70
2017-03-14,67
2017-03-15,67
2017-03-16,67
2017-03-17,70
2017-03-18,72
2017-03-19,73
2017-03-20,69
2017-03-21,69
2017-03-22,68
2017-03-23,69
2017-03-24,73
2017-03-25,78
2017-03-26,76
2017-03-27,68
2017-03-28,68
2017-03-29,67
2017-03-30,67
2017-03-31,83
2017-04-01,75
2017-04-02,71
2017-04-03,67
2017-04-04,65
2017-04-05,65
2017-04-06,67
2017-04-07,69
2017-04-08,74
2017-04-09,69
2017-04-10,70
2017-04-11,67
2017-04-12,65
2017-04-13,66
2017-04-14,69
2017-04-15,70
2017-04-16,72
2017-04-17,73
2017-04-18,70
2017-04-19,62
2017-04-20,71
2017-04-21,71
2017-04-22,72
2017-04-23,71
2017-04-24,67
2017-04-25,68
2017-04-26,63
2017-04-27,61
2017-04-28,65
2017-04-29,70
2017-04-30,68
2017-05-01,72
2017-05-02,79
2017-05-03,65
2017-05-04,65
