Day,Geo: Canada
2016-11-28,70
2016-11-29,69
2016-11-30,67
2016-12-01,64
2016-12-02,59
2016-12-03,56
2016-12-04,57
2016-12-05,63
2016-12-06,67
2016-12-07,59
2016-12-08,60
2016-12-09,55
2016-12-10,54
2016-12-11,58
2016-12-12,59
2016-12-13,62
2016-12-14,62
2016-12-15,55
2016-12-16,46
2016-12-17,53
2016-12-18,52
2016-12-19,56
2016-12-20,63
2016-12-21,53
2016-12-22,52
2016-12-23,53
2016-12-24,62
2016-12-25,52
2016-12-26,67
2016-12-27,68
2016-12-28,77
2016-12-29,74
2016-12-30,72
2016-12-31,75
2017-01-01,70
2017-01-02,95
2017-01-03,99
2017-01-04,100
2017-01-05,93
2017-01-06,89
2017-01-07,88
2017-01-08,88
2017-01-09,95
2017-01-10,95
2017-01-11,88
2017-01-12,91
2017-01-13,84
2017-01-14,85
2017-01-15,89
2017-01-16,99
2017-01-17,91
2017-01-18,87
2017-01-19,84
2017-01-20,79
2017-01-21,77
2017-01-22,85
2017-01-23,88
2017-01-24,89
2017-01-25,83
2017-01-26,83
2017-01-27,77
2017-01-28,79
2017-01-29,76
2017-01-30,84
2017-01-31,81
2017-02-01,80
2017-02-02,81
2017-02-03,75
2017-02-04,73
2017-02-05,72
2017-02-06,78
2017-02-07,76
2017-02-08,87
2017-02-09,78
2017-02-10,75
2017-02-11,73
2017-02-12,71
2017-02-13,77
2017-02-14,71
2017-02-15,74
2017-02-16,76
2017-02-17,74
2017-02-18,67
2017-02-19,72
2017-02-20,90
2017-02-21,83
2017-02-22,81
2017-02-23,79
2017-02-24,80
2017-02-25,77
2017-02-26,81
2017-02-27,86
2017-02-28,94
2017-03-01,81
2017-03-02,79
2017-03-03,81
2017-03-04,83
2017-03-05,80
2017-03-06,83
2017-03-07,81
2017-03-08,82
2017-03-09,80
2017-03-10,80
2017-03-11,78
2017-03-12,84
2017-03-13,81
2017-03-14,80
2017-03-15,80
2017-03-16,76
2017-03-17,75
2017-03-18,70
2017-03-19,72
2017-03-20,84
2017-03-21,81
2017-03-22,82
2017-03-23,77
2017-03-24,79
2017-03-25,74
2017-03-26,78
2017-03-27,84
2017-03-28,84
2017-03-29,79
2017-03-30,79
2017-03-31,75
2017-04-01,76
2017-04-02,67
2017-04-03,77
2017-04-04,79
2017-04-05,78
2017-04-06,79
2017-04-07,68
2017-04-08,71
2017-04-09,69
2017-04-10,75
2017-04-11,75
2017-04-12,74
2017-04-13,70
2017-04-14,84
2017-04-15,68
2017-04-16,77
2017-04-17,80
2017-04-18,80
2017-04-19,75
2017-04-20,74
2017-04-21,70
2017-04-22,67
2017-04-23,65
2017-04-24,77
2017-04-25,77
2017-04-26,76
2017-04-27,66
2017-04-28,65
2017-04-29,60
2017-04-30,68
2017-05-01,84
2017-05-02,79
2017-05-03,72
2017-05-04,71
