Day,Geo: Canada
2016-11-28,81
2016-11-29,72
2016-11-30,88
2016-12-01,75
2016-12-02,73
2016-12-03,59
2016-12-04,44
2016-12-05,60
2016-12-06,74
2016-12-07,63
2016-12-08,84
2016-12-09,66
2016-12-10,62
2016-12-11,30
2016-12-12,69
2016-12-13,70
2016-12-14,79
2016-12-15,84
2016-12-16,74
2016-12-17,49
2016-12-18,48
2016-12-19,80
2016-12-20,79
2016-12-21,82
2016-12-22,72
2016-12-23,66
2016-12-24,46
2016-12-25,29
2016-12-26,38
2016-12-27,46
2016-12-28,59
2016-12-29,57
2016-12-30,52
2016-12-31,45
2017-01-01,38
2017-01-02,35
2017-01-03,72
2017-01-04,65
2017-01-05,75
2017-01-06,71
2017-01-07,43
2017-01-08,38
2017-01-09,78
2017-01-10,88
2017-01-11,85
2017-01-12,75
2017-01-13,88
2017-01-14,45
2017-01-15,50
2017-01-16,72
2017-01-17,67
2017-01-18,78
2017-01-19,86
2017-01-20,73
2017-01-21,48
2017-01-22,43
2017-01-23,82
2017-01-24,80
2017-01-25,75
2017-01-26,74
2017-01-27,69
2017-01-28,48
2017-01-29,44
2017-01-30,83
2017-01-31,68
2017-02-01,72
2017-02-02,67
2017-02-03,97
2017-02-04,57
2017-02-05,36
2017-02-06,77
2017-02-07,79
2017-02-08,80
2017-02-09,68
2017-02-10,68
2017-02-11,48
2017-02-12,55
2017-02-13,75
2017-02-14,78
2017-02-15,100
2017-02-16,84
2017-02-17,87
2017-02-18,55
2017-02-19,48
2017-02-20,62
2017-02-21,81
2017-02-22,84
2017-02-23,64
2017-02-24,77
2017-02-25,59
2017-02-26,54
2017-02-27,69
2017-02-28,84
2017-03-01,78
2017-03-02,80
2017-03-03,67
2017-03-04,55
2017-03-05,42
2017-03-06,76
2017-03-07,72
2017-03-08,76
2017-03-09,84
2017-03-10,84
2017-03-11,56
2017-03-12,61
2017-03-13,78
2017-03-14,73
2017-03-15,87
2017-03-16,77
2017-03-17,66
2017-03-18,53
2017-03-19,58
2017-03-20,75
2017-03-21,73
2017-03-22,79
2017-03-23,86
2017-03-24,81
2017-03-25,49
2017-03-26,53
2017-03-27,70
2017-03-28,84
2017-03-29,88
2017-03-30,81
2017-03-31,74
2017-04-01,63
2017-04-02,53
2017-04-03,76
2017-04-04,87
2017-04-05,84
