Day,Geo: Canada
2016-11-28,80
2016-11-29,85
2016-11-30,83
2016-12-01,84
2016-12-02,84
2016-12-03,59
2016-12-04,69
2016-12-05,85
2016-12-06,93
2016-12-07,100
2016-12-08,95
2016-12-09,85
2016-12-10,71
2016-12-11,75
2016-12-12,91
2016-12-13,97
2016-12-14,84
2016-12-15,88
2016-12-16,78
2016-12-17,49
2016-12-18,51
2016-12-19,67
2016-12-20,64
2016-12-21,54
2016-12-22,47
2016-12-23,36
2016-12-24,29
2016-12-25,23
2016-12-26,27
2016-12-27,28
2016-12-28,33
2016-12-29,36
2016-12-30,36
2016-12-31,30
2017-01-01,29
2017-01-02,31
2017-01-03,46
2017-01-04,47
2017-01-05,55
2017-01-06,47
2017-01-07,36
2017-01-08,43
2017-01-09,63
2017-01-10,67
2017-01-11,71
2017-01-12,74
2017-01-13,63
2017-01-14,43
2017-01-15,55
2017-01-16,76
2017-01-17,81
2017-01-18,79
2017-01-19,74
2017-01-20,75
2017-01-21,55
2017-01-22,64
2017-01-23,81
2017-01-24,88
2017-01-25,79
2017-01-26,86
2017-01-27,79
2017-01-28,62
2017-01-29,64
2017-01-30,76
2017-01-31,81
2017-02-01,80
2017-02-02,77
2017-02-03,73
2017-02-04,57
2017-02-05,57
2017-02-06,79
2017-02-07,76
2017-02-08,86
2017-02-09,86
2017-02-10,80
2017-02-11,55
2017-02-12,61
2017-02-13,79
2017-02-14,81
2017-02-15,83
2017-02-16,87
2017-02-17,68
2017-02-18,45
2017-02-19,43
2017-02-20,49
2017-02-21,71
2017-02-22,69
2017-02-23,69
2017-02-24,62
2017-02-25,51
2017-02-26,63
2017-02-27,82
2017-02-28,95
2017-03-01,79
2017-03-02,84
2017-03-03,77
2017-03-04,54
2017-03-05,61
2017-03-06,82
2017-03-07,81
2017-03-08,79
2017-03-09,80
2017-03-10,74
2017-03-11,57
2017-03-12,57
2017-03-13,76
2017-03-14,77
2017-03-15,79
2017-03-16,72
2017-03-17,65
2017-03-18,47
2017-03-19,56
2017-03-20,80
2017-03-21,76
2017-03-22,74
2017-03-23,79
2017-03-24,71
2017-03-25,53
2017-03-26,53
2017-03-27,74
2017-03-28,77
2017-03-29,74
2017-03-30,74
2017-03-31,72
2017-04-01,49
2017-04-02,62
2017-04-03,76
2017-04-04,88
2017-04-05,83
