Day,Geo: Canada
2016-11-28,36
2016-11-29,36
2016-11-30,35
2016-12-01,31
2016-12-02,35
2016-12-03,30
2016-12-04,34
2016-12-05,41
2016-12-06,42
2016-12-07,33
2016-12-08,34
2016-12-09,32
2016-12-10,32
2016-12-11,30
2016-12-12,32
2016-12-13,29
2016-12-14,30
2016-12-15,32
2016-12-16,33
2016-12-17,30
2016-12-18,29
2016-12-19,41
2016-12-20,37
2016-12-21,29
2016-12-22,28
2016-12-23,24
2016-12-24,23
2016-12-25,20
2016-12-26,21
2016-12-27,21
2016-12-28,25
2016-12-29,25
2016-12-30,26
2016-12-31,26
2017-01-01,26
2017-01-02,26
2017-01-03,28
2017-01-04,28
2017-01-05,27
2017-01-06,29
2017-01-07,26
2017-01-08,28
2017-01-09,30
2017-01-10,36
2017-01-11,40
2017-01-12,35
2017-01-13,34
2017-01-14,30
2017-01-15,31
2017-01-16,33
2017-01-17,35
2017-01-18,39
2017-01-19,45
2017-01-20,100
2017-01-21,75
2017-01-22,54
2017-01-23,44
2017-01-24,40
2017-01-25,34
2017-01-26,33
2017-01-27,35
2017-01-28,30
2017-01-29,38
2017-01-30,40
2017-01-31,39
2017-02-01,37
2017-02-02,35
2017-02-03,33
2017-02-04,32
2017-02-05,36
2017-02-06,31
2017-02-07,34
2017-02-08,35
2017-02-09,33
2017-02-10,34
2017-02-11,34
2017-02-12,33
2017-02-13,33
2017-02-14,31
2017-02-15,35
2017-02-16,31
2017-02-17,33
2017-02-18,31
2017-02-19,29
2017-02-20,30
2017-02-21,31
2017-02-22,30
2017-02-23,32
2017-02-24,33
2017-02-25,31
2017-02-26,30
2017-02-27,30
2017-02-28,30
2017-03-01,33
2017-03-02,34
2017-03-03,34
2017-03-04,29
2017-03-05,27
2017-03-06,31
2017-03-07,32
2017-03-08,29
2017-03-09,35
2017-03-10,33
2017-03-11,57
2017-03-12,32
2017-03-13,31
2017-03-14,32
2017-03-15,40
2017-03-16,37
2017-03-17,34
2017-03-18,31
2017-03-19,32
2017-03-20,33
2017-03-21,36
2017-03-22,33
2017-03-23,32
2017-03-24,35
2017-03-25,31
2017-03-26,32
2017-03-27,33
2017-03-28,32
2017-03-29,31
2017-03-30,31
2017-03-31,31
2017-04-01,27
2017-04-02,27
2017-04-03,30
2017-04-04,40
2017-04-05,32
