Day,Geo: United States
2016-11-28,74
2016-11-29,73
2016-11-30,73
2016-12-01,76
2016-12-02,77
2016-12-03,80
2016-12-04,84
2016-12-05,72
2016-12-06,75
2016-12-07,72
2016-12-08,78
2016-12-09,81
2016-12-10,80
2016-12-11,79
2016-12-12,73
2016-12-13,74
2016-12-14,77
2016-12-15,77
2016-12-16,75
2016-12-17,82
2016-12-18,77
2016-12-19,73
2016-12-20,77
2016-12-21,75
2016-12-22,74
2016-12-23,78
2016-12-24,85
2016-12-25,88
2016-12-26,89
2016-12-27,88
2016-12-28,80
2016-12-29,87
2016-12-30,86
2016-12-31,89
2017-01-01,100
2017-01-02,84
2017-01-03,78
2017-01-04,74
2017-01-05,73
2017-01-06,76
2017-01-07,81
2017-01-08,82
2017-01-09,81
2017-01-10,68
2017-01-11,73
2017-01-12,72
2017-01-13,78
2017-01-14,80
2017-01-15,81
2017-01-16,73
2017-01-17,73
2017-01-18,71
2017-01-19,72
2017-01-20,78
2017-01-21,83
2017-01-22,79
2017-01-23,73
2017-01-24,72
2017-01-25,75
2017-01-26,77
2017-01-27,77
2017-01-28,86
2017-01-29,83
2017-01-30,73
2017-01-31,73
2017-02-01,70
2017-02-02,75
2017-02-03,77
2017-02-04,82
2017-02-05,84
2017-02-06,77
2017-02-07,70
2017-02-08,76
2017-02-09,71
2017-02-10,79
2017-02-11,84
2017-02-12,82
2017-02-13,85
2017-02-14,74
2017-02-15,72
2017-02-16,72
2017-02-17,76
2017-02-18,81
2017-02-19,80
2017-02-20,74
2017-02-21,74
2017-02-22,70
2017-02-23,71
2017-02-24,76
2017-02-25,81
2017-02-26,90
2017-02-27,97
2017-02-28,79
2017-03-01,73
2017-03-02,74
2017-03-03,77
2017-03-04,83
2017-03-05,82
2017-03-06,75
2017-03-07,75
2017-03-08,72
2017-03-09,74
2017-03-10,75
2017-03-11,82
2017-03-12,83
2017-03-13,75
2017-03-14,76
2017-03-15,71
2017-03-16,71
2017-03-17,79
2017-03-18,85
2017-03-19,82
2017-03-20,73
2017-03-21,74
2017-03-22,74
2017-03-23,72
2017-03-24,79
2017-03-25,87
2017-03-26,86
2017-03-27,72
2017-03-28,71
2017-03-29,73
2017-03-30,70
2017-03-31,80
2017-04-01,78
2017-04-02,77
2017-04-03,71
2017-04-04,67
2017-04-05,72
2017-04-06,74
2017-04-07,73
2017-04-08,79
2017-04-09,79
2017-04-10,69
2017-04-11,69
2017-04-12,75
2017-04-13,73
2017-04-14,83
2017-04-15,79
2017-04-16,76
2017-04-17,73
2017-04-18,67
2017-04-19,70
2017-04-20,70
2017-04-21,76
2017-04-22,76
2017-04-23,79
2017-04-24,69
2017-04-25,74
2017-04-26,69
2017-04-27,70
2017-04-28,74
2017-04-29,76
2017-04-30,81
2017-05-01,74
2017-05-02,73
2017-05-03,70
2017-05-04,72
