Day,Geo: United States
2016-11-28,89
2016-11-29,77
2016-11-30,79
2016-12-01,82
2016-12-02,86
2016-12-03,89
2016-12-04,87
2016-12-05,81
2016-12-06,87
2016-12-07,82
2016-12-08,86
2016-12-09,83
2016-12-10,86
2016-12-11,81
2016-12-12,84
2016-12-13,82
2016-12-14,82
2016-12-15,82
2016-12-16,85
2016-12-17,87
2016-12-18,85
2016-12-19,85
2016-12-20,85
2016-12-21,88
2016-12-22,87
2016-12-23,90
2016-12-24,88
2016-12-25,73
2016-12-26,85
2016-12-27,89
2016-12-28,91
2016-12-29,91
2016-12-30,99
2016-12-31,100
2017-01-01,86
2017-01-02,96
2017-01-03,97
2017-01-04,91
2017-01-05,88
2017-01-06,88
2017-01-07,92
2017-01-08,93
2017-01-09,87
2017-01-10,88
2017-01-11,83
2017-01-12,87
2017-01-13,91
2017-01-14,92
2017-01-15,91
2017-01-16,90
2017-01-17,84
2017-01-18,83
2017-01-19,88
2017-01-20,84
2017-01-21,97
2017-01-22,90
2017-01-23,83
2017-01-24,86
2017-01-25,83
2017-01-26,83
2017-01-27,88
2017-01-28,93
2017-01-29,88
2017-01-30,95
2017-01-31,83
2017-02-01,83
2017-02-02,88
2017-02-03,87
2017-02-04,93
2017-02-05,86
2017-02-06,85
2017-02-07,85
2017-02-08,89
2017-02-09,88
2017-02-10,93
2017-02-11,95
2017-02-12,92
2017-02-13,86
2017-02-14,77
2017-02-15,79
2017-02-16,84
2017-02-17,84
2017-02-18,98
2017-02-19,88
2017-02-20,92
2017-02-21,86
2017-02-22,86
2017-02-23,87
2017-02-24,92
2017-02-25,96
2017-02-26,95
2017-02-27,91
2017-02-28,90
2017-03-01,87
2017-03-02,88
2017-03-03,89
2017-03-04,93
2017-03-05,92
2017-03-06,87
2017-03-07,82
2017-03-08,85
2017-03-09,88
2017-03-10,91
2017-03-11,98
2017-03-12,89
2017-03-13,85
2017-03-14,87
2017-03-15,87
2017-03-16,87
2017-03-17,89
2017-03-18,94
2017-03-19,91
2017-03-20,87
2017-03-21,87
2017-03-22,89
2017-03-23,83
2017-03-24,90
2017-03-25,93
2017-03-26,93
2017-03-27,82
2017-03-28,90
2017-03-29,85
2017-03-30,87
2017-03-31,91
2017-04-01,93
2017-04-02,91
2017-04-03,83
2017-04-04,85
2017-04-05,86
2017-04-06,87
2017-04-07,88
2017-04-08,94
2017-04-09,86
2017-04-10,87
2017-04-11,83
2017-04-12,87
2017-04-13,88
2017-04-14,95
2017-04-15,93
2017-04-16,82
2017-04-17,86
2017-04-18,85
2017-04-19,88
2017-04-20,85
2017-04-21,90
2017-04-22,89
2017-04-23,84
2017-04-24,89
2017-04-25,87
2017-04-26,87
2017-04-27,85
2017-04-28,90
2017-04-29,92
2017-04-30,92
2017-05-01,92
2017-05-02,87
2017-05-03,83
2017-05-04,86
