Day,Geo: United States
2016-11-28,92
2016-11-29,96
2016-11-30,95
2016-12-01,92
2016-12-02,94
2016-12-03,69
2016-12-04,75
2016-12-05,92
2016-12-06,96
2016-12-07,98
2016-12-08,100
2016-12-09,92
2016-12-10,68
2016-12-11,72
2016-12-12,92
2016-12-13,90
2016-12-14,90
2016-12-15,86
2016-12-16,77
2016-12-17,59
2016-12-18,59
2016-12-19,72
2016-12-20,71
2016-12-21,66
2016-12-22,64
2016-12-23,61
2016-12-24,55
2016-12-25,51
2016-12-26,52
2016-12-27,53
2016-12-28,57
2016-12-29,58
2016-12-30,60
2016-12-31,60
2017-01-01,61
2017-01-02,61
2017-01-03,72
2017-01-04,74
2017-01-05,71
2017-01-06,74
2017-01-07,57
2017-01-08,65
2017-01-09,79
2017-01-10,80
2017-01-11,79
2017-01-12,83
2017-01-13,84
2017-01-14,63
2017-01-15,67
2017-01-16,80
2017-01-17,89
2017-01-18,88
2017-01-19,85
2017-01-20,82
2017-01-21,63
2017-01-22,69
2017-01-23,86
2017-01-24,82
2017-01-25,87
2017-01-26,81
2017-01-27,82
2017-01-28,64
2017-01-29,68
2017-01-30,80
2017-01-31,84
2017-02-01,86
2017-02-02,90
2017-02-03,85
2017-02-04,63
2017-02-05,66
2017-02-06,80
2017-02-07,81
2017-02-08,88
2017-02-09,84
2017-02-10,81
2017-02-11,60
2017-02-12,67
2017-02-13,84
2017-02-14,95
2017-02-15,87
2017-02-16,84
2017-02-17,77
2017-02-18,60
2017-02-19,60
2017-02-20,71
2017-02-21,83
2017-02-22,83
2017-02-23,83
2017-02-24,83
2017-02-25,62
2017-02-26,71
2017-02-27,94
2017-02-28,96
2017-03-01,91
2017-03-02,96
2017-03-03,90
2017-03-04,62
2017-03-05,68
2017-03-06,86
2017-03-07,86
2017-03-08,85
2017-03-09,87
2017-03-10,82
2017-03-11,63
2017-03-12,66
2017-03-13,81
2017-03-14,76
2017-03-15,81
2017-03-16,77
2017-03-17,72
2017-03-18,58
2017-03-19,66
2017-03-20,82
2017-03-21,78
2017-03-22,80
2017-03-23,82
2017-03-24,82
2017-03-25,60
2017-03-26,66
2017-03-27,87
2017-03-28,81
2017-03-29,83
2017-03-30,84
2017-03-31,81
2017-04-01,61
2017-04-02,66
2017-04-03,82
2017-04-04,82
2017-04-05,78
2017-04-06,84
2017-04-07,77
2017-04-08,59
2017-04-09,61
2017-04-10,79
2017-04-11,77
2017-04-12,77
2017-04-13,80
2017-04-14,66
2017-04-15,56
2017-04-16,60
2017-04-17,79
2017-04-18,78
2017-04-19,79
2017-04-20,82
2017-04-21,79
2017-04-22,60
2017-04-23,63
2017-04-24,87
2017-04-25,86
2017-04-26,85
2017-04-27,90
2017-04-28,82
2017-04-29,60
2017-04-30,71
2017-05-01,93
2017-05-02,86
2017-05-03,85
2017-05-04,82
