Day,Geo: United States
2016-11-28,46
2016-11-29,56
2016-11-30,59
2016-12-01,54
2016-12-02,50
2016-12-03,29
2016-12-04,36
2016-12-05,52
2016-12-06,56
2016-12-07,55
2016-12-08,60
2016-12-09,52
2016-12-10,31
2016-12-11,33
2016-12-12,50
2016-12-13,53
2016-12-14,51
2016-12-15,49
2016-12-16,42
2016-12-17,26
2016-12-18,25
2016-12-19,37
2016-12-20,36
2016-12-21,35
2016-12-22,32
2016-12-23,26
2016-12-24,23
2016-12-25,22
2016-12-26,21
2016-12-27,25
2016-12-28,28
2016-12-29,27
2016-12-30,27
2016-12-31,26
2017-01-01,24
2017-01-02,27
2017-01-03,38
2017-01-04,41
2017-01-05,41
2017-01-06,42
2017-01-07,30
2017-01-08,30
2017-01-09,41
2017-01-10,44
2017-01-11,47
2017-01-12,48
2017-01-13,47
2017-01-14,25
2017-01-15,26
2017-01-16,32
2017-01-17,46
2017-01-18,53
2017-01-19,52
2017-01-20,52
2017-01-21,35
2017-01-22,34
2017-01-23,50
2017-01-24,57
2017-01-25,67
2017-01-26,58
2017-01-27,51
2017-01-28,32
2017-01-29,32
2017-01-30,49
2017-01-31,50
2017-02-01,50
2017-02-02,53
2017-02-03,49
2017-02-04,30
2017-02-05,32
2017-02-06,47
2017-02-07,53
2017-02-08,55
2017-02-09,52
2017-02-10,49
2017-02-11,31
2017-02-12,33
2017-02-13,63
2017-02-14,52
2017-02-15,54
2017-02-16,54
2017-02-17,49
2017-02-18,32
2017-02-19,33
2017-02-20,41
2017-02-21,51
2017-02-22,54
2017-02-23,52
2017-02-24,47
2017-02-25,31
2017-02-26,34
2017-02-27,52
2017-02-28,56
2017-03-01,54
2017-03-02,54
2017-03-03,48
2017-03-04,30
2017-03-05,32
2017-03-06,48
2017-03-07,54
2017-03-08,54
2017-03-09,55
2017-03-10,49
2017-03-11,30
2017-03-12,33
2017-03-13,49
2017-03-14,46
2017-03-15,49
2017-03-16,49
2017-03-17,44
2017-03-18,29
2017-03-19,33
2017-03-20,49
2017-03-21,50
2017-03-22,52
2017-03-23,53
2017-03-24,48
2017-03-25,30
2017-03-26,34
2017-03-27,50
2017-03-28,58
2017-03-29,60
2017-03-30,56
2017-03-31,50
2017-04-01,32
2017-04-02,34
2017-04-03,52
2017-04-04,56
2017-04-05,57
2017-04-06,56
2017-04-07,49
2017-04-08,29
2017-04-09,33
2017-04-10,53
2017-04-11,53
2017-04-12,56
2017-04-13,51
2017-04-14,42
2017-04-15,29
2017-04-16,32
2017-04-17,57
2017-04-18,64
2017-04-19,64
2017-04-20,70
2017-04-21,78
2017-04-22,100
2017-04-23,53
2017-04-24,65
2017-04-25,66
2017-04-26,61
2017-04-27,61
2017-04-28,55
2017-04-29,37
2017-04-30,41
2017-05-01,63
2017-05-02,62
2017-05-03,59
2017-05-04,56
