Day,Geo: United States
2016-11-28,66
2016-11-29,60
2016-11-30,59
2016-12-01,76
2016-12-02,72
2016-12-03,65
2016-12-04,63
2016-12-05,61
2016-12-06,84
2016-12-07,63
2016-12-08,66
2016-12-09,62
2016-12-10,62
2016-12-11,62
2016-12-12,60
2016-12-13,59
2016-12-14,58
2016-12-15,59
2016-12-16,59
2016-12-17,58
2016-12-18,58
2016-12-19,54
2016-12-20,61
2016-12-21,60
2016-12-22,58
2016-12-23,56
2016-12-24,57
2016-12-25,57
2016-12-26,58
2016-12-27,59
2016-12-28,58
2016-12-29,57
2016-12-30,58
2016-12-31,59
2017-01-01,55
2017-01-02,54
2017-01-03,52
2017-01-04,52
2017-01-05,54
2017-01-06,55
2017-01-07,55
2017-01-08,58
2017-01-09,79
2017-01-10,58
2017-01-11,51
2017-01-12,51
2017-01-13,52
2017-01-14,52
2017-01-15,57
2017-01-16,48
2017-01-17,47
2017-01-18,52
2017-01-19,55
2017-01-20,62
2017-01-21,100
2017-01-22,62
2017-01-23,57
2017-01-24,52
2017-01-25,52
2017-01-26,53
2017-01-27,50
2017-01-28,53
2017-01-29,54
2017-01-30,54
2017-01-31,54
2017-02-01,51
2017-02-02,53
2017-02-03,53
2017-02-04,54
2017-02-05,55
2017-02-06,80
2017-02-07,59
2017-02-08,53
2017-02-09,58
2017-02-10,56
2017-02-11,59
2017-02-12,57
2017-02-13,65
2017-02-14,52
2017-02-15,56
2017-02-16,55
2017-02-17,54
2017-02-18,54
2017-02-19,54
2017-02-20,54
2017-02-21,53
2017-02-22,57
2017-02-23,52
2017-02-24,56
2017-02-25,56
2017-02-26,64
2017-02-27,81
2017-02-28,56
2017-03-01,56
2017-03-02,53
2017-03-03,56
2017-03-04,53
2017-03-05,55
2017-03-06,58
2017-03-07,58
2017-03-08,55
2017-03-09,54
2017-03-10,53
2017-03-11,53
2017-03-12,55
2017-03-13,50
2017-03-14,52
2017-03-15,52
2017-03-16,51
2017-03-17,51
2017-03-18,57
2017-03-19,58
2017-03-20,57
2017-03-21,60
2017-03-22,55
2017-03-23,54
2017-03-24,58
2017-03-25,57
2017-03-26,54
2017-03-27,55
2017-03-28,55
2017-03-29,54
2017-03-30,52
2017-03-31,53
2017-04-01,55
2017-04-02,54
2017-04-03,52
2017-04-04,52
2017-04-05,50
2017-04-06,54
2017-04-07,56
2017-04-08,54
2017-04-09,55
2017-04-10,53
2017-04-11,52
2017-04-12,52
2017-04-13,50
2017-04-14,55
2017-04-15,50
2017-04-16,50
2017-04-17,52
2017-04-18,50
2017-04-19,51
2017-04-20,51
2017-04-21,53
2017-04-22,51
2017-04-23,53
2017-04-24,54
2017-04-25,55
2017-04-26,52
2017-04-27,51
2017-04-28,53
2017-04-29,57
2017-04-30,57
2017-05-01,58
2017-05-02,65
2017-05-03,58
2017-05-04,55
