Day,Geo: United States
2016-11-28,65
2016-11-29,66
2016-11-30,65
2016-12-01,62
2016-12-02,61
2016-12-03,58
2016-12-04,58
2016-12-05,62
2016-12-06,68
2016-12-07,61
2016-12-08,64
2016-12-09,59
2016-12-10,57
2016-12-11,55
2016-12-12,62
2016-12-13,63
2016-12-14,62
2016-12-15,58
2016-12-16,58
2016-12-17,57
2016-12-18,54
2016-12-19,63
2016-12-20,61
2016-12-21,63
2016-12-22,58
2016-12-23,56
2016-12-24,62
2016-12-25,47
2016-12-26,64
2016-12-27,71
2016-12-28,73
2016-12-29,72
2016-12-30,72
2016-12-31,76
2017-01-01,79
2017-01-02,99
2017-01-03,100
2017-01-04,88
2017-01-05,86
2017-01-06,82
2017-01-07,78
2017-01-08,87
2017-01-09,82
2017-01-10,84
2017-01-11,84
2017-01-12,87
2017-01-13,77
2017-01-14,74
2017-01-15,77
2017-01-16,82
2017-01-17,84
2017-01-18,84
2017-01-19,80
2017-01-20,70
2017-01-21,70
2017-01-22,72
2017-01-23,79
2017-01-24,81
2017-01-25,79
2017-01-26,76
2017-01-27,73
2017-01-28,72
2017-01-29,71
2017-01-30,80
2017-01-31,79
2017-02-01,77
2017-02-02,75
2017-02-03,71
2017-02-04,72
2017-02-05,67
2017-02-06,67
2017-02-07,77
2017-02-08,79
2017-02-09,75
2017-02-10,69
2017-02-11,67
2017-02-12,69
2017-02-13,72
2017-02-14,66
2017-02-15,69
2017-02-16,75
2017-02-17,70
2017-02-18,70
2017-02-19,64
2017-02-20,78
2017-02-21,76
2017-02-22,77
2017-02-23,73
2017-02-24,78
2017-02-25,76
2017-02-26,70
2017-02-27,77
2017-02-28,83
2017-03-01,79
2017-03-02,77
2017-03-03,76
2017-03-04,72
2017-03-05,73
2017-03-06,84
2017-03-07,82
2017-03-08,73
2017-03-09,77
2017-03-10,75
2017-03-11,70
2017-03-12,71
2017-03-13,75
2017-03-14,79
2017-03-15,73
2017-03-16,71
2017-03-17,70
2017-03-18,68
2017-03-19,66
2017-03-20,76
2017-03-21,77
2017-03-22,74
2017-03-23,73
2017-03-24,70
2017-03-25,68
2017-03-26,69
2017-03-27,76
2017-03-28,78
2017-03-29,78
2017-03-30,76
2017-03-31,68
2017-04-01,69
2017-04-02,68
2017-04-03,75
2017-04-04,81
2017-04-05,73
2017-04-06,73
2017-04-07,65
2017-04-08,64
2017-04-09,63
2017-04-10,71
2017-04-11,71
2017-04-12,72
2017-04-13,65
2017-04-14,68
2017-04-15,61
2017-04-16,64
2017-04-17,74
2017-04-18,73
2017-04-19,70
2017-04-20,66
2017-04-21,66
2017-04-22,62
2017-04-23,61
2017-04-24,68
2017-04-25,73
2017-04-26,70
2017-04-27,68
2017-04-28,65
2017-04-29,62
2017-04-30,67
2017-05-01,80
2017-05-02,69
2017-05-03,70
2017-05-04,70
