Day,Geo: United States
2016-11-28,48
2016-11-29,49
2016-11-30,49
2016-12-01,52
2016-12-02,57
2016-12-03,66
2016-12-04,69
2016-12-05,53
2016-12-06,54
2016-12-07,52
2016-12-08,52
2016-12-09,56
2016-12-10,67
2016-12-11,71
2016-12-12,51
2016-12-13,53
2016-12-14,55
2016-12-15,54
2016-12-16,61
2016-12-17,73
2016-12-18,72
2016-12-19,59
2016-12-20,62
2016-12-21,65
2016-12-22,73
2016-12-23,81
2016-12-24,100
2016-12-25,96
2016-12-26,59
2016-12-27,58
2016-12-28,59
2016-12-29,62
2016-12-30,72
2016-12-31,93
2017-01-01,85
2017-01-02,65
2017-01-03,50
2017-01-04,55
2017-01-05,52
2017-01-06,59
2017-01-07,69
2017-01-08,71
2017-01-09,51
2017-01-10,49
2017-01-11,50
2017-01-12,55
2017-01-13,55
2017-01-14,66
2017-01-15,72
2017-01-16,55
2017-01-17,54
2017-01-18,51
2017-01-19,50
2017-01-20,52
2017-01-21,65
2017-01-22,68
2017-01-23,52
2017-01-24,48
2017-01-25,50
2017-01-26,51
2017-01-27,53
2017-01-28,70
2017-01-29,69
2017-01-30,49
2017-01-31,50
2017-02-01,51
2017-02-02,54
2017-02-03,57
2017-02-04,71
2017-02-05,75
2017-02-06,48
2017-02-07,49
2017-02-08,52
2017-02-09,53
2017-02-10,55
2017-02-11,69
2017-02-12,70
2017-02-13,53
2017-02-14,58
2017-02-15,53
2017-02-16,50
2017-02-17,59
2017-02-18,69
2017-02-19,67
2017-02-20,55
2017-02-21,50
2017-02-22,50
2017-02-23,54
2017-02-24,55
2017-02-25,67
2017-02-26,70
2017-02-27,50
2017-02-28,51
2017-03-01,52
2017-03-02,54
2017-03-03,57
2017-03-04,69
2017-03-05,68
2017-03-06,53
2017-03-07,53
2017-03-08,55
2017-03-09,53
2017-03-10,56
2017-03-11,69
2017-03-12,71
2017-03-13,53
2017-03-14,55
2017-03-15,52
2017-03-16,53
2017-03-17,62
2017-03-18,72
2017-03-19,69
2017-03-20,53
2017-03-21,51
2017-03-22,49
2017-03-23,52
2017-03-24,56
2017-03-25,71
2017-03-26,71
2017-03-27,54
2017-03-28,49
2017-03-29,51
2017-03-30,53
2017-03-31,59
2017-04-01,66
2017-04-02,71
2017-04-03,50
2017-04-04,52
2017-04-05,55
2017-04-06,56
2017-04-07,58
2017-04-08,69
2017-04-09,69
2017-04-10,53
2017-04-11,53
2017-04-12,58
2017-04-13,58
2017-04-14,69
2017-04-15,76
2017-04-16,78
2017-04-17,48
2017-04-18,49
2017-04-19,49
2017-04-20,54
2017-04-21,57
2017-04-22,67
2017-04-23,64
2017-04-24,51
2017-04-25,52
2017-04-26,50
2017-04-27,52
2017-04-28,54
2017-04-29,66
2017-04-30,71
2017-05-01,55
2017-05-02,53
2017-05-03,53
2017-05-04,52
