Day,Geo: United States
2016-11-28,25
2016-11-29,23
2016-11-30,23
2016-12-01,22
2016-12-02,22
2016-12-03,17
2016-12-04,19
2016-12-05,21
2016-12-06,23
2016-12-07,20
2016-12-08,20
2016-12-09,20
2016-12-10,18
2016-12-11,18
2016-12-12,19
2016-12-13,20
2016-12-14,19
2016-12-15,19
2016-12-16,20
2016-12-17,16
2016-12-18,17
2016-12-19,39
2016-12-20,28
2016-12-21,16
2016-12-22,15
2016-12-23,13
2016-12-24,12
2016-12-25,11
2016-12-26,11
2016-12-27,12
2016-12-28,13
2016-12-29,13
2016-12-30,14
2016-12-31,13
2017-01-01,13
2017-01-02,12
2017-01-03,15
2017-01-04,16
2017-01-05,16
2017-01-06,17
2017-01-07,14
2017-01-08,14
2017-01-09,16
2017-01-10,19
2017-01-11,25
2017-01-12,21
2017-01-13,20
2017-01-14,15
2017-01-15,19
2017-01-16,19
2017-01-17,23
2017-01-18,26
2017-01-19,30
2017-01-20,100
2017-01-21,55
2017-01-22,35
2017-01-23,26
2017-01-24,23
2017-01-25,22
2017-01-26,21
2017-01-27,20
2017-01-28,17
2017-01-29,20
2017-01-30,21
2017-01-31,23
2017-02-01,21
2017-02-02,20
2017-02-03,19
2017-02-04,15
2017-02-05,17
2017-02-06,17
2017-02-07,17
2017-02-08,20
2017-02-09,19
2017-02-10,19
2017-02-11,14
2017-02-12,15
2017-02-13,17
2017-02-14,17
2017-02-15,18
2017-02-16,20
2017-02-17,18
2017-02-18,15
2017-02-19,14
2017-02-20,15
2017-02-21,17
2017-02-22,18
2017-02-23,19
2017-02-24,20
2017-02-25,17
2017-02-26,15
2017-02-27,15
2017-02-28,16
2017-03-01,19
2017-03-02,20
2017-03-03,17
2017-03-04,13
2017-03-05,13
2017-03-06,16
2017-03-07,19
2017-03-08,19
2017-03-09,18
2017-03-10,16
2017-03-11,16
2017-03-12,13
2017-03-13,15
2017-03-14,16
2017-03-15,16
2017-03-16,16
2017-03-17,15
2017-03-18,13
2017-03-19,12
2017-03-20,15
2017-03-21,15
2017-03-22,15
2017-03-23,17
2017-03-24,17
2017-03-25,13
2017-03-26,14
2017-03-27,15
2017-03-28,15
2017-03-29,15
2017-03-30,15
2017-03-31,15
2017-04-01,11
2017-04-02,13
2017-04-03,16
2017-04-04,18
2017-04-05,23
