Category: Military

Day,Geo: United States
2016-11-28,70
2016-11-29,73
2016-11-30,69
2016-12-01,75
2016-12-02,82
2016-12-03,68
2016-12-04,63
2016-12-05,73
2016-12-06,79
2016-12-07,81
2016-12-08,80
2016-12-09,72
2016-12-10,100
2016-12-11,69
2016-12-12,75
2016-12-13,72
2016-12-14,75
2016-12-15,70
2016-12-16,70
2016-12-17,59
2016-12-18,54
2016-12-19,65
2016-12-20,68
2016-12-21,66
2016-12-22,61
2016-12-23,60
2016-12-24,54
2016-12-25,49
2016-12-26,52
2016-12-27,62
2016-12-28,64
2016-12-29,63
2016-12-30,63
2016-12-31,56
2017-01-01,52
2017-01-02,59
2017-01-03,70
2017-01-04,74
2017-01-05,74
2017-01-06,75
2017-01-07,64
2017-01-08,60
2017-01-09,74
2017-01-10,77
2017-01-11,71
2017-01-12,75
2017-01-13,75
2017-01-14,58
2017-01-15,55
2017-01-16,57
2017-01-17,76
2017-01-18,77
2017-01-19,76
2017-01-20,77
2017-01-21,65
2017-01-22,62
2017-01-23,76
2017-01-24,75
2017-01-25,74
2017-01-26,73
2017-01-27,74
2017-01-28,63
2017-01-29,59
2017-01-30,74
2017-01-31,78
2017-02-01,75
2017-02-02,79
2017-02-03,75
2017-02-04,63
2017-02-05,56
2017-02-06,67
2017-02-07,70
2017-02-08,72
2017-02-09,78
2017-02-10,72
2017-02-11,64
2017-02-12,62
2017-02-13,72
2017-02-14,72
2017-02-15,73
2017-02-16,76
2017-02-17,72
2017-02-18,62
2017-02-19,59
2017-02-20,63
2017-02-21,79
2017-02-22,81
2017-02-23,77
2017-02-24,73
2017-02-25,60
2017-02-26,59
2017-02-27,75
2017-02-28,71
2017-03-01,79
2017-03-02,76
2017-03-03,73
2017-03-04,60
2017-03-05,60
2017-03-06,85
2017-03-07,78
2017-03-08,73
2017-03-09,80
2017-03-10,78
2017-03-11,64
2017-03-12,60
2017-03-13,72
2017-03-14,74
2017-03-15,77
2017-03-16,68
2017-03-17,69
2017-03-18,59
2017-03-19,56
2017-03-20,72
2017-03-21,71
2017-03-22,76
2017-03-23,72
2017-03-24,69
2017-03-25,56
2017-03-26,55
2017-03-27,69
2017-03-28,72
2017-03-29,72
2017-03-30,72
2017-03-31,71
2017-04-01,60
2017-04-02,57
2017-04-03,70
2017-04-04,72
2017-04-05,75
2017-04-06,74
2017-04-07,91
2017-04-08,67
2017-04-09,64
2017-04-10,77
2017-04-11,76
2017-04-12,80
2017-04-13,84
2017-04-14,78
2017-04-15,64
2017-04-16,58
2017-04-17,74
2017-04-18,74
2017-04-19,83
2017-04-20,77
2017-04-21,74
2017-04-22,60
2017-04-23,59
2017-04-24,75
2017-04-25,81
2017-04-26,76
2017-04-27,75
2017-04-28,73
2017-04-29,62
2017-04-30,59
2017-05-01,79
2017-05-02,78
2017-05-03,71
2017-05-04,75
