Category: Real Estate

Day,Geo: United States
2016-11-28,72
2016-11-29,75
2016-11-30,71
2016-12-01,71
2016-12-02,68
2016-12-03,65
2016-12-04,65
2016-12-05,72
2016-12-06,76
2016-12-07,70
2016-12-08,68
2016-12-09,66
2016-12-10,64
2016-12-11,59
2016-12-12,69
2016-12-13,67
2016-12-14,70
2016-12-15,68
2016-12-16,67
2016-12-17,62
2016-12-18,61
2016-12-19,65
2016-12-20,70
2016-12-21,66
2016-12-22,63
2016-12-23,64
2016-12-24,56
2016-12-25,51
2016-12-26,67
2016-12-27,76
2016-12-28,80
2016-12-29,78
2016-12-30,78
2016-12-31,75
2017-01-01,73
2017-01-02,81
2017-01-03,85
2017-01-04,88
2017-01-05,80
2017-01-06,89
2017-01-07,81
2017-01-08,82
2017-01-09,83
2017-01-10,79
2017-01-11,80
2017-01-12,80
2017-01-13,82
2017-01-14,76
2017-01-15,77
2017-01-16,81
2017-01-17,84
2017-01-18,83
2017-01-19,79
2017-01-20,76
2017-01-21,75
2017-01-22,75
2017-01-23,84
2017-01-24,82
2017-01-25,79
2017-01-26,78
2017-01-27,78
2017-01-28,80
2017-01-29,76
2017-01-30,79
2017-01-31,81
2017-02-01,80
2017-02-02,81
2017-02-03,83
2017-02-04,79
2017-02-05,74
2017-02-06,80
2017-02-07,82
2017-02-08,83
2017-02-09,81
2017-02-10,78
2017-02-11,76
2017-02-12,78
2017-02-13,79
2017-02-14,75
2017-02-15,78
2017-02-16,78
2017-02-17,79
2017-02-18,83
2017-02-19,80
2017-02-20,83
2017-02-21,87
2017-02-22,87
2017-02-23,83
2017-02-24,83
2017-02-25,80
2017-02-26,82
2017-02-27,89
2017-02-28,90
2017-03-01,88
2017-03-02,87
2017-03-03,83
2017-03-04,79
2017-03-05,84
2017-03-06,89
2017-03-07,87
2017-03-08,84
2017-03-09,84
2017-03-10,82
2017-03-11,81
2017-03-12,82
2017-03-13,87
2017-03-14,82
2017-03-15,82
2017-03-16,82
2017-03-17,82
2017-03-18,75
2017-03-19,84
2017-03-20,91
2017-03-21,85
2017-03-22,85
2017-03-23,82
2017-03-24,85
2017-03-25,83
2017-03-26,89
2017-03-27,88
2017-03-28,90
2017-03-29,89
2017-03-30,87
2017-03-31,87
2017-04-01,82
2017-04-02,88
2017-04-03,84
2017-04-04,83
2017-04-05,87
2017-04-06,85
2017-04-07,80
2017-04-08,80
2017-04-09,78
2017-04-10,88
2017-04-11,83
2017-04-12,82
2017-04-13,82
2017-04-14,85
2017-04-15,80
2017-04-16,72
2017-04-17,90
2017-04-18,90
2017-04-19,85
2017-04-20,85
2017-04-21,82
2017-04-22,81
2017-04-23,80
2017-04-24,84
2017-04-25,88
2017-04-26,84
2017-04-27,85
2017-04-28,87
2017-04-29,79
2017-04-30,85
2017-05-01,100
2017-05-02,89
2017-05-03,87
2017-05-04,82
