Category: Religion & Belief

Day,Geo: United States
2016-11-28,65
2016-11-29,66
2016-11-30,68
2016-12-01,66
2016-12-02,62
2016-12-03,61
2016-12-04,79
2016-12-05,64
2016-12-06,69
2016-12-07,67
2016-12-08,68
2016-12-09,65
2016-12-10,60
2016-12-11,73
2016-12-12,68
2016-12-13,68
2016-12-14,68
2016-12-15,63
2016-12-16,61
2016-12-17,62
2016-12-18,74
2016-12-19,62
2016-12-20,65
2016-12-21,63
2016-12-22,61
2016-12-23,63
2016-12-24,76
2016-12-25,75
2016-12-26,54
2016-12-27,58
2016-12-28,62
2016-12-29,58
2016-12-30,65
2016-12-31,69
2017-01-01,85
2017-01-02,68
2017-01-03,68
2017-01-04,67
2017-01-05,65
2017-01-06,65
2017-01-07,65
2017-01-08,82
2017-01-09,69
2017-01-10,64
2017-01-11,65
2017-01-12,67
2017-01-13,66
2017-01-14,63
2017-01-15,92
2017-01-16,65
2017-01-17,65
2017-01-18,67
2017-01-19,63
2017-01-20,69
2017-01-21,64
2017-01-22,81
2017-01-23,73
2017-01-24,68
2017-01-25,68
2017-01-26,70
2017-01-27,68
2017-01-28,72
2017-01-29,85
2017-01-30,76
2017-01-31,73
2017-02-01,70
2017-02-02,72
2017-02-03,68
2017-02-04,65
2017-02-05,81
2017-02-06,65
2017-02-07,66
2017-02-08,67
2017-02-09,67
2017-02-10,65
2017-02-11,64
2017-02-12,79
2017-02-13,67
2017-02-14,62
2017-02-15,64
2017-02-16,64
2017-02-17,63
2017-02-18,64
2017-02-19,75
2017-02-20,62
2017-02-21,68
2017-02-22,67
2017-02-23,66
2017-02-24,67
2017-02-25,65
2017-02-26,80
2017-02-27,72
2017-02-28,74
2017-03-01,86
2017-03-02,72
2017-03-03,67
2017-03-04,61
2017-03-05,78
2017-03-06,66
2017-03-07,68
2017-03-08,68
2017-03-09,67
2017-03-10,65
2017-03-11,62
2017-03-12,83
2017-03-13,66
2017-03-14,65
2017-03-15,63
2017-03-16,63
2017-03-17,66
2017-03-18,62
2017-03-19,74
2017-03-20,69
2017-03-21,68
2017-03-22,66
2017-03-23,65
2017-03-24,64
2017-03-25,65
2017-03-26,76
2017-03-27,67
2017-03-28,65
2017-03-29,60
2017-03-30,65
2017-03-31,63
2017-04-01,63
2017-04-02,81
2017-04-03,65
2017-04-04,67
2017-04-05,66
2017-04-06,69
2017-04-07,68
2017-04-08,63
2017-04-09,85
2017-04-10,72
2017-04-11,67
2017-04-12,71
2017-04-13,74
2017-04-14,85
2017-04-15,74
2017-04-16,100
2017-04-17,66
2017-04-18,66
2017-04-19,67
2017-04-20,67
2017-04-21,62
2017-04-22,61
2017-04-23,75
2017-04-24,68
2017-04-25,67
2017-04-26,65
2017-04-27,64
2017-04-28,63
2017-04-29,61
2017-04-30,83
2017-05-01,74
2017-05-02,66
2017-05-03,65
2017-05-04,62
