Category: Sports

Day,Geo: United States
2016-11-28,55
2016-11-29,48
2016-11-30,42
2016-12-01,42
2016-12-02,49
2016-12-03,58
2016-12-04,78
2016-12-05,52
2016-12-06,45
2016-12-07,39
2016-12-08,41
2016-12-09,46
2016-12-10,47
2016-12-11,68
2016-12-12,58
2016-12-13,47
2016-12-14,39
2016-12-15,39
2016-12-16,44
2016-12-17,46
2016-12-18,67
2016-12-19,52
2016-12-20,41
2016-12-21,42
2016-12-22,43
2016-12-23,50
2016-12-24,68
2016-12-25,75
2016-12-26,61
2016-12-27,64
2016-12-28,52
2016-12-29,54
2016-12-30,64
2016-12-31,91
2017-01-01,84
2017-01-02,68
2017-01-03,49
2017-01-04,44
2017-01-05,40
2017-01-06,41
2017-01-07,54
2017-01-08,76
2017-01-09,52
2017-01-10,59
2017-01-11,40
2017-01-12,39
2017-01-13,43
2017-01-14,60
2017-01-15,86
2017-01-16,67
2017-01-17,43
2017-01-18,41
2017-01-19,41
2017-01-20,39
2017-01-21,49
2017-01-22,76
2017-01-23,59
2017-01-24,39
2017-01-25,39
2017-01-26,39
2017-01-27,40
2017-01-28,48
2017-01-29,54
2017-01-30,42
2017-01-31,40
2017-02-01,42
2017-02-02,40
2017-02-03,40
2017-02-04,47
2017-02-05,77
2017-02-06,100
2017-02-07,42
2017-02-08,38
2017-02-09,38
2017-02-10,38
2017-02-11,45
2017-02-12,45
2017-02-13,35
2017-02-14,37
2017-02-15,38
2017-02-16,38
2017-02-17,37
2017-02-18,47
2017-02-19,46
2017-02-20,42
2017-02-21,40
2017-02-22,39
2017-02-23,40
2017-02-24,39
2017-02-25,45
2017-02-26,53
2017-02-27,39
2017-02-28,39
2017-03-01,39
2017-03-02,37
2017-03-03,39
2017-03-04,45
2017-03-05,51
2017-03-06,40
2017-03-07,40
2017-03-08,43
2017-03-09,48
2017-03-10,47
2017-03-11,54
2017-03-12,59
2017-03-13,48
2017-03-14,42
2017-03-15,43
2017-03-16,55
2017-03-17,55
2017-03-18,61
2017-03-19,63
2017-03-20,48
2017-03-21,41
2017-03-22,40
2017-03-23,42
2017-03-24,49
2017-03-25,56
2017-03-26,57
2017-03-27,43
2017-03-28,39
2017-03-29,41
2017-03-30,38
2017-03-31,40
2017-04-01,53
2017-04-02,61
2017-04-03,54
2017-04-04,53
2017-04-05,44
2017-04-06,45
2017-04-07,43
2017-04-08,50
2017-04-09,58
2017-04-10,42
2017-04-11,42
2017-04-12,42
2017-04-13,44
2017-04-14,44
2017-04-15,51
2017-04-16,53
2017-04-17,48
2017-04-18,48
2017-04-19,51
2017-04-20,46
2017-04-21,48
2017-04-22,54
2017-04-23,58
2017-04-24,44
2017-04-25,42
2017-04-26,47
2017-04-27,46
2017-04-28,62
2017-04-29,69
2017-04-30,59
2017-05-01,45
2017-05-02,44
2017-05-03,42
2017-05-04,41
