Day,Geo: United States
2016-11-28,81
2016-11-29,84
2016-11-30,89
2016-12-01,83
2016-12-02,82
2016-12-03,59
2016-12-04,61
2016-12-05,98
2016-12-06,92
2016-12-07,85
2016-12-08,96
2016-12-09,81
2016-12-10,61
2016-12-11,60
2016-12-12,88
2016-12-13,95
2016-12-14,91
2016-12-15,84
2016-12-16,85
2016-12-17,63
2016-12-18,49
2016-12-19,80
2016-12-20,83
2016-12-21,80
2016-12-22,80
2016-12-23,71
2016-12-24,51
2016-12-25,48
2016-12-26,52
2016-12-27,73
2016-12-28,77
2016-12-29,70
2016-12-30,78
2016-12-31,53
2017-01-01,55
2017-01-02,60
2017-01-03,80
2017-01-04,86
2017-01-05,84
2017-01-06,86
2017-01-07,62
2017-01-08,60
2017-01-09,87
2017-01-10,89
2017-01-11,87
2017-01-12,86
2017-01-13,82
2017-01-14,61
2017-01-15,61
2017-01-16,74
2017-01-17,88
2017-01-18,91
2017-01-19,94
2017-01-20,79
2017-01-21,62
2017-01-22,58
2017-01-23,91
2017-01-24,86
2017-01-25,88
2017-01-26,84
2017-01-27,86
2017-01-28,64
2017-01-29,58
2017-01-30,100
2017-01-31,88
2017-02-01,86
2017-02-02,88
2017-02-03,82
2017-02-04,66
2017-02-05,69
2017-02-06,84
2017-02-07,97
2017-02-08,91
2017-02-09,83
2017-02-10,84
2017-02-11,63
2017-02-12,57
2017-02-13,87
2017-02-14,81
2017-02-15,90
2017-02-16,90
2017-02-17,83
2017-02-18,65
2017-02-19,56
2017-02-20,75
2017-02-21,88
2017-02-22,90
2017-02-23,89
2017-02-24,83
2017-02-25,63
2017-02-26,60
2017-02-27,88
2017-02-28,97
2017-03-01,85
2017-03-02,88
2017-03-03,80
2017-03-04,62
2017-03-05,60
2017-03-06,85
2017-03-07,88
2017-03-08,88
2017-03-09,86
2017-03-10,79
2017-03-11,62
2017-03-12,65
2017-03-13,84
2017-03-14,89
2017-03-15,88
2017-03-16,86
2017-03-17,76
2017-03-18,64
2017-03-19,67
2017-03-20,85
2017-03-21,93
2017-03-22,92
2017-03-23,81
2017-03-24,78
2017-03-25,60
2017-03-26,62
2017-03-27,86
2017-03-28,93
2017-03-29,86
2017-03-30,81
2017-03-31,83
2017-04-01,70
2017-04-02,59
2017-04-03,86
2017-04-04,93
2017-04-05,89
