Day,Geo: United States
2016-11-28,72
2016-11-29,83
2016-11-30,89
2016-12-01,84
2016-12-02,77
2016-12-03,48
2016-12-04,51
2016-12-05,92
2016-12-06,93
2016-12-07,93
2016-12-08,94
2016-12-09,82
2016-12-10,46
2016-12-11,51
2016-12-12,92
2016-12-13,96
2016-12-14,94
2016-12-15,87
2016-12-16,65
2016-12-17,39
2016-12-18,34
2016-12-19,52
2016-12-20,45
2016-12-21,46
2016-12-22,43
2016-12-23,33
2016-12-24,26
2016-12-25,24
2016-12-26,24
2016-12-27,27
2016-12-28,31
2016-12-29,30
2016-12-30,29
2016-12-31,25
2017-01-01,25
2017-01-02,30
2017-01-03,38
2017-01-04,47
2017-01-05,49
2017-01-06,48
2017-01-07,32
2017-01-08,34
2017-01-09,53
2017-01-10,59
2017-01-11,65
2017-01-12,68
2017-01-13,62
2017-01-14,34
2017-01-15,36
2017-01-16,42
2017-01-17,73
2017-01-18,78
2017-01-19,79
2017-01-20,74
2017-01-21,49
2017-01-22,50
2017-01-23,82
2017-01-24,89
2017-01-25,90
2017-01-26,91
2017-01-27,82
2017-01-28,44
2017-01-29,50
2017-01-30,87
2017-01-31,93
2017-02-01,91
2017-02-02,93
2017-02-03,78
2017-02-04,42
2017-02-05,47
2017-02-06,84
2017-02-07,92
2017-02-08,96
2017-02-09,87
2017-02-10,74
2017-02-11,42
2017-02-12,46
2017-02-13,83
2017-02-14,91
2017-02-15,87
2017-02-16,92
2017-02-17,73
2017-02-18,41
2017-02-19,43
2017-02-20,62
2017-02-21,86
2017-02-22,90
2017-02-23,86
2017-02-24,81
2017-02-25,44
2017-02-26,52
2017-02-27,92
2017-02-28,100
2017-03-01,93
2017-03-02,94
2017-03-03,82
2017-03-04,38
2017-03-05,45
2017-03-06,80
2017-03-07,87
2017-03-08,88
2017-03-09,87
2017-03-10,70
2017-03-11,37
2017-03-12,42
2017-03-13,69
2017-03-14,76
2017-03-15,70
2017-03-16,77
2017-03-17,55
2017-03-18,35
2017-03-19,43
2017-03-20,81
2017-03-21,79
2017-03-22,80
2017-03-23,79
2017-03-24,64
2017-03-25,35
2017-03-26,41
2017-03-27,77
2017-03-28,79
2017-03-29,82
2017-03-30,78
2017-03-31,61
2017-04-01,33
2017-04-02,42
2017-04-03,74
2017-04-04,76
2017-04-05,79
