index,dayId,date,name,traffic,newsTitle,newsSnippet
0,20161128,2016-11-28,Agustin Pappa,"2,000+",Así le robaron a Agustín Pappa el ex participante de Gran Hermano,La víctima del robo fue Agustín Pappa 20 uno de los participantes de la última edición del reality emitido este año en el canal América y la investigación se inició en las últimas horas luego de que en diversos medios periodísticos se difundiera un
1,20161128,2016-11-28,Feriado 28 Noviembre,"20,000+",Por qué este lunes se celebra el Día de la Soberanía,La conmemoración fue propuesta por el historiador José María Rosa en 1974 y fue aprobada por el Congreso nacional ese mismo año El 3 de noviembre de 2010 la presidente Cristina Kirchner promovió la fecha a feriado nacional mediante un Decreto de
2,20161128,2016-11-28,Gisela Berger,"10,000+",Quién es Gisela Berger la sensual rubia que bailó reggaetón con,Daniel Scioli apareció en Punta Cana bailando reggaetón con una bella rubia de la que nada sabíamos Sin embargo rastreando un poco notamos que la mujer en cuestión tuvo un importante paso por los medios aunque nunca en un primer plano
3,20161128,2016-11-28,Guillermo Salatino,"2,000+",A los 71 años el periodista Guillermo Salatino cumplió su promesa,En sus 40 años como periodista de tenis Guillermo Salatino faltó sólo a cuatro ediciones de la Copa Davis Así lo contó ayer después de la consagración argentina frente a Croacia y antes de cumplir su promesa Sí se había prometido cruzar la cancha
4,20161128,2016-11-28,Leo Mayer,"2,000+",Del Potro Delbonis y Mayer podrían dar la vuelta en La Bombonera,Juan Martín Del Potro Federico Delbonis y Leo Mayer son tres de los artífices que ayer lograron la Copa Davis para el equipo argentino en suelo croata y son también los Xeneizes del equipo Los anáticos de Boca a diferencia el capitán Daniel
5,20161128,2016-11-28,Malena Guinzburg,"20,000+",Malena Guinzburg habló sobre su denuncia al ex de Carolina Aguirre,por violencia de género o creen que pasaron porque es muy amplio no es solo que te peguen una trompada o que te quieran matar sino que hay un montón de tipos de violencia continuó la hija del recordado periodista y humorista Jorge Guinzburg
6,20161128,2016-11-28,Pico Monaco,"2,000+",Pico Mónaco Charly Berlocq y Renzo Olivo los otros,El tandilense Juan Pico Mónaco el chascomusense Carlos Berlocq y el rosarino Renzo Olivo también se consagraron campeones de la Copa Davis 2016 pese a no haber estado en Zagreb ya que formaron parte de las convocatorias para las anteriores
7,20161128,2016-11-28,The Walking Dead 7x06,"2,000+",The Walking Dead 706 las promesas aún valen,En este capítulo la historia nos fue contada con saltos en el tiempo de esos muy interesantes que los creadores de The Walking Dead saben hacer Así lo primero que sabemos de Tara después de ponerse de acuerdo con Heath para revisar un camino que
8,20161128,2016-11-28,peso chileno,"2,000+",El peso chileno se aprecia un 069 frente al dólar estadounidense,Santiago de Chile 28 nov EFE El peso chileno se apreció hoy un 069  frente al dólar tras cerrar en 67510 pesos vendedor en el mercado financiero local 470 pesos menos que el pasado viernes Un alza del 194  en el precio del cobre el
9,20161129,2016-11-29,Accidente Aereo,"50,000+",Tragedia del Chapecoense una por una todas las víctimas del,Las historias de cada uno de los que perdieron la vida en el accidente aéreo del equipo brasileño que iba a disputar la final de la Copa Sudamericana La tragedia golpeó al Chapecoense en la previa al partido más importante de su historia
10,20161129,2016-11-29,Accidente Chapecoense,"100,000+",Tragedia del Chapecoense una por una todas las víctimas del,Las historias de cada uno de los que perdieron la vida en el accidente aéreo del equipo brasileño que iba a disputar la final de la Copa Sudamericana La tragedia golpeó al Chapecoense en la previa al partido más importante de su historia
11,20161129,2016-11-29,Alan Ruschel,"100,000+",La desesperante pregunta que hizo Alan Ruschel al momento de,Ésas fueron las desesperantes palabras que un aturdido Alan Ruschel le dijo a Santiago Campuzano una de las primeras cinco personas que se acercaron hasta el lugar del accidente áreo en La Unión Medellín donde gran parte del plantel del club
12,20161129,2016-11-29,Alejandro Martinuccio,"10,000+",Accidente del Chapecoense Alejandro Martinuccio el único,Alejandro Martinuccio podría decir que volvió a nacer El delantero argentino del Chapecoense se salvó de la tragedia aérea ocurrida cerca de la ciudad colombiana de Medellín que dejó como saldo al menos 75 muertos y 6 heridos ya que se recupera de
