index,dayId,date,name,traffic,newsTitle,newsSnippet
4423,20161129,2016-11-29,Alan Ruschel,"2,000+",Alan Ruschel,Bis heute kannte ausserhalb von Brasilien fast niemand den Namen Alan Ruschel Jetzt sind die sozialen Medien voll mit Bildern des Verteidigers des Fussballclubs Chapecoense Man sieht wie der 27Jährige schwerverletzt ins Spital gebracht wird
4424,20161129,2016-11-29,Avro RJ85,"1,000+",Gerüchte um Treibstoffknappheit der Avro,Die Avro RJ85 der bolivianischen Charterfluggesellschaft Lamia mit dem Kennzeichen CP2933 war am Montagabend 28 November mit 81 Menschen an Bord kurz vor der Landung in Rionegro bei Medellín abgestürzt Nach offiziellen Angaben aus
4425,20161129,2016-11-29,Calzedonia,"1,000+",Calzedonia USOffensive mit Männerslips,Der italienische Unterwäsche und Dessousriese Calzedonia will nun die USA erobern So sollen 50 Spezialgeschäfte für Männerunterwäsche eröffnet werden Gegen Feinripp und Co will man mit italienischem Design punkten Bei Damenunterwäsche will
4426,20161129,2016-11-29,Chapecoense,"20,000+",Chapecoense Der verunglückte Aufsteiger aus der Provinz,Im Halbfinale hatte Chapecoense den argentinischen Club San Lorenzo ausgeschaltet den Lieblingsverein von Papst Franziskus Am vergangenen Sonntag verlor der aktuelle Neunte der Serie A auswärts in Sao Paulo gegen Palmeiras 01 Palmeiras
4427,20161129,2016-11-29,Chapecoense Spieler,"2,000+",Fußballteam Chapecoense bei Flugzeugabsturz fast ausgelöscht,Gegründet wurde Chapecoense 1973 durch eine Fusion der Lokalvereine Atletico und Independente Bekannte Spieler oder Trainer konnte sich der Klub nie leisten Wenn dann wurden Spieler berühmt als sie längst nicht mehr für Chapecoense im Einsatz
4428,20161129,2016-11-29,Dancing Stars 2017,"1,000+",Dancing Stars 2017 Das sind die ersten Teilnehmer,2017 heißt es wieder Parkett frei für die Dancing Stars Am 31 März 2017 öffnet Österreichs größter Ballroom erneut seine Pforten In der elften Staffel des ORFEvents gehen auch diesmal wieder zehn Prominente mit ihren Profipartnern an den Start
4429,20161129,2016-11-29,Evan Rachel Wood,"1,000+",SchockEnthüllung von Evan Rachel Wood,Schauspielerin Evan Rachel Wood hat eine schockierende Enthüllung gemacht die für sie in der kommenden TrumpÄra Amerikas unverzichtbar ist Einen Tag nach der USPräsidentschaftswahl schrieb die Hauptdarstellerin der neuen HBOErfolgsserie
4430,20161129,2016-11-29,Jack the Ripper,"10,000+",Thriller auf Sat1 Jack the Ripper findet seine Meisterin,Der soll angeblich Jack the Ripper sein der grausame Frauenmörder der eine Reihe von Prostituierten auf dem Gewissen hat und ganz London insbesondere den Stadtteil Whitechapel in Angst und Schrecken versetzt Weil das letzte Opfer in Jakobs
4431,20161129,2016-11-29,Lapo Elkann,"2,000+",Lapo Elkann FiatErbe täuschte eigene Entführung vor,Im Sommer machte Lapo Elkann Schlagzeilen mit seiner Beziehung zu Shermine Shahrivar doch diese Geschichte könnte nun wirklich aus einem schlechten HollywoodStreifen stammen Der FiatErbe soll seine eigene Entführung vorgetäuscht haben
4432,20161129,2016-11-29,Tschernobyl,"2,000+",Tschernobyl Schutzhülle über Atomruine geschoben,April 1986 war ein Test in Tschernobyl außer Kontrolle geraten worauf Reaktor 4 explodierte Die radioaktive Wolke breitete sich von der damaligen Sowjetrepublik über Weißrussland und Teile Russlands auch bis nach Westeuropa aus Bis heute gelten
4433,20161130,2016-11-30,Amanda Seyfried,"1,000+",Amanda Seyfried ist schwanger,Erst Anfang 2015 haben sich Justin Long und Amanda Seyfried 30 nach zwei Jahren Beziehung getrennt  jetzt ist die Schauspielerin schwanger Und zwar von ihrem Verlobten Thomas Sadoski Die beiden lernten sich bei einem Theatersück kennen und
4434,20161130,2016-11-30,Austria Wien,"1,000+",Admira schlägt Sturm Salzburg die Austria,WienGraz Sturm Graz ist nach der 17 Runde nicht mehr Spitzenreiter der FußballBundesliga Die Steirer verloren am Mittwochabend zu Hause gegen Admira Wacker Mödling 02 00 GästeMatchwinner war wie schon zuletzt beim 10Sieg am Sonntag
4435,20161130,2016-11-30,Bundesliga,"2,000+",Bundesliga Salzburg schlägt die Austria,Runde nicht mehr Spitzenreiter der FußballBundesliga Die Steirer verloren am Mittwochabend zu Hause gegen Admira Wacker Mödling 02 00 GästeMatchwinner war wie schon zuletzt beim 10Sieg am Sonntag bei Meister Salzburg Christoph
4436,20161130,2016-11-30,Cheryl Cole,"2,000+",Cheryl Cole Sie erwartet ein Baby von Liam Payne,Dass Cheryl Cole 33 ein Baby erwartet ist nicht mehr zu übersehen An der Seite ihres Freundes Liam Payne 23 einem Mitglied der Boyband One Direction gewährte die Sängerin einen ersten Blick auf ihr wachsendes Bäuchlein Bilder die unter
4437,20161130,2016-11-30,Enzo Zidane,"1,000+",Real Madrid  Enzo Zidane schießt bei seinem Debüt ein Tor,Enzo Zidane der älteste Sohn des RealMadridTrainers Zinedine Zidane hat am Mittwoch im spanischen Cup sein Debüt für die Königlichen in einem Pflichtspiel absolviert Der 21jährige Mittelfeldspieler durfte sich auch gleich über einen Treffer freuen
4438,20161130,2016-11-30,Jackson Follmann,"1,000+",Chapecoenses Jackson Follmann überlebte den Flugzeugabsturz  nun verliert der,Dem Ersatztorhüter Jackson Follmann musste das rechte Bein amputiert werden auch das linke Bein ist schwer verletzt  es droht nach Medienberichten eine zweite Amputation Ist er querschnittsgelähmt Mittelfeldspieler Hélio Zampier Neto erlitt Brüche
4439,20161130,2016-11-30,Keo Woolford,"1,000+",Schock Hawaii Five0Star Keo Woolford stirbt mit nur 49 Jahren,Große Trauer um Keo Woolford  49 Der Star der CBSSerie HawaiiFive0 ist laut People am Montag 28 November überraschend verstorben Woolford arbeitete nicht nur als Schauspieler sondern auch als Filmproduzent  und Regisseur etwa für
4440,20161130,2016-11-30,Lugner Scheidung,"1,000+",LugnerScheidung ohne Rosenkrieg  mit Tränen,Richard Lugner war vorerst für kein Statement zu erreichen Einen Tag vor der einvermehmlichen Scheidung hatte der kürzlich an Prostatakrebs erkankte Baumeister in Wien heute noch erklärt dass er keinen Rosenkrieg wolle Ich hab mit meiner Frau
4441,20161130,2016-11-30,Marina Abramovic,"1,000+",Marina Abramovic Extreme Kunst für Millionen,Marina Abramovic die weltweit wohl berühmteste Performancekünstlerin feiert heute ihren 70 Geburtstag Aus diesem Anlass hat sie eine Autobiografie geschrieben in der sie offen auf ihre bewegte Vergangenheit zurückblickt ihre Kindheit im
4442,20161130,2016-11-30,OPEC,"2,000+",OPEC dreht den ÖlHahn zu,Der Druck der auf den Verhandlern der Ölfördersstaaten der OPEC bei ihrem Treffen am Mittwoch in Wien lastete war gewaltig Die 13 Mitgliedsländer mussten eine Einigung auf eine Deckelung ihrer Ölförderung zustande bringen Anderenfalls drohte die
4443,20161130,2016-11-30,Paul Walker,"1,000+",FastFurious Todestag von Paul Walker,Auch drei Jahre nach seinem Unfalltod ist Paul Walker unvergessen Ich vermisse dich schreiben manche seiner Fans auf Twitter unter dem Hashtag RIPPaulWalker Fast im Minutentakt werden an seinem Todestag neue Tweets gepostet auf englisch
4444,20161130,2016-11-30,RTL2,"1,000+",Berlyn RTL II startet SelfieSoap mit Jimi Blue Ochsenknecht,Berlyn Start der SelfieSoap mit Jimi Blue Ochsenknecht bei RTL2 News Schauspieler Jimi Blue Ochsenknecht zeigt sich in der neuen SelfieSoap Berlyn bei Vergrößern Schauspieler Jimi Blue Ochsenknecht zeigt sich in der neuen SelfieSoap Berlyn
4445,20161130,2016-11-30,Rapid Wien,"1,000+",Kyocera steigt ein Rapid hat schon wieder einen neuen Sponsor,Sportlich strauchelt Rapid im Video oben die Highlights vom 12 gegen Sturm  aber wirtschaftlich und finanziell läufts in Hütteldorf wie geschmiert Erst vergangene Woche wurde ein Rekordumsatz bekannt gegeben am Mittwoch schon wieder ein neuer
4446,20161130,2016-11-30,SK Rapid Wien,"1,000+",SV Mattersburg 1 SK Rapid Wien 1 Rapid hat das Siegen verlernt,FußballRekordmeister Rapid hat den angepeilten Befreiungsschlag auch in Mattersburg verpasst Die Wiener mussten sich am Mittwoch beim Schlusslicht im Pappelstadion mit einem 11 begnügen und rutschten nach der 17 BundesligaRunde bereits auf
4447,20161130,2016-11-30,Sarah Lombardi,"5,000+",Darum ging Sarah Lombardi fremd,Heute Mittwoch läuft auf RTL II das TrennungsSpeciale der Lombardis Sarah  Pietro  Die ganze Wahrheit Fast zwei Stunden lang erzählen die beiden in EinzelInterviews ihre Sicht der Dinge und zeigen wie sie ihr neues Leben als Single gestalten
4448,20161130,2016-11-30,Sturm Graz,"2,000+",Admira fährt nächste Überraschung ein,Drei Tage nach dem Sieg in Salzburg überrascht die Admira auch in Graz Die Südstädter gewinnen bei Sturm 20 00 Nach einer chancenarmen ersten Halbzeit in der Alar mit Verdacht auf Mittelfußknochenbruch ausscheidet vergibt Edomwonyi zwei
4449,20161130,2016-11-30,Victoria Secret,"2,000+",Victorias SecretShow 2016 Der Hype um die Engel,Es ist die heißeste RunwayShow des Jahres Victorias Secret lässt seine Engel am 30 November wieder über den Laufsteg schweben Und wie immer werden Millionen Zuschauer auf der ganzen Welt das DessousEvent bei der Ausstrahlung am 5
4450,20161130,2016-11-30,iPad mini 2,"1,000+",Hofer lockt mit iPhone 6s und iPad mini 2 zum Kampfpreis,Gleichzeitig wird das iPad mini 2 um 229 Euro ebenfalls 16GB angeboten Apple verkauft das gleiche Modell um 289 Euro das Preisvergleichsportal Geizhals listet 259 Euro als aktuell günstigsten Preis in Österreich Wie viele Geräte tatsächlich
4451,20161201,2016-12-01,APA,"1,000+",Temperaturen boten 2016 erneut Extreme,So extrem wie 2014 und 2015 die aktuellen Rekordjahre wird 2016 nicht ausfallen aber es zeichnet sich ein Platz unter den zehn wärmsten Jahren der Messgeschichte ab sagte Alexander Orlik Klimatologe der ZAMG auf Anfrage der APA
4452,20161201,2016-12-01,Adventkalender,"10,000+",Europol sucht flüchtige Schwerverbrecher per Adventkalender,Der wegen Mordes zu lebenslanger Haft verurteilte Tibor Foco ziert das erste Fenster des EuropolAdventskalender EU Most Wanted Bei der Aktion wird jeden Tag bis Weihnachten ein flüchtiger Schwerverbrecher aus einem anderen Mitgliedstaat gezeigt
4453,20161201,2016-12-01,Adventskalender,"10,000+",Linzer in erstem Fenster von Adventskalender EU Most Wanted,LINZBRÜSSEL Der wegen Mordes zu lebenslanger Haft verurteilte Tibor Foco ziert das erste Fenster des EuropolAdventskalender EU Most Wanted Bild screenshot Bei der Aktion wird jeden Tag bis Weihnachten ein flüchtiger Schwerverbrecher aus
4454,20161201,2016-12-01,Adventskalender,"5,000+",KiOAdventskalender,Frankfurt am Main pts023011220161205  Im OnlineAdventskalender der Kinderhilfe Organtransplantation eV KiO ist weihnachtliche Hilfe gefragt  und wird mit etwas Glück belohnt Unter  öffnen sich jeden Tag neue Türchen
4455,20161201,2016-12-01,Adventskalender Online,"2,000+",OnlineAdventskalender von HapagLloyd Cruises,Unter wwwhlcruisesdeadventskalender wird jeden Tag bis Heiligabend die Möglichkeit erschlossen sich die ReiseÜberraschungen des Adventskalenders wie Bordguthaben SuitenUpgrades An und AbreiseSpecials Landausflüge oder auch
4456,20161201,2016-12-01,Böheimkirchen,"2,000+",Sechs Tote in NÖ Der Mordplan zur Familientragödie,Am Donnerstag hat die Polizei in einem ehemaligen Gasthaus in Schildberg bei Böheimkirchen Bezirk St PöltenLand eine in dieser Dimension außergewöhnliche Bluttat entdeckt Im Haus lagen die Leichen von drei Erwachsenen und drei Kindern  alle
4457,20161201,2016-12-01,Darren Aronofsky,"1,000+",Jennifer Lawrence und Darren Aronofsky verlobt  Mit verdächtigem Ring erwischt,Noch ist die Beziehung von Jennifer Lawrence 26 und Darren Aronofsky 47 überhaupt nicht bestätigt mehr als Bilder die beide beim Turteln zeigen gibt es bislang nicht Dennoch machen bereits Gerüchte die Runde die Schauspielerin und der
4458,20161201,2016-12-01,Enissa Amani,"1,000+",Nissa Zweiter Versuch für Enissa Amani,Ihre Sendung Studio Amani floppte und verabschiedete sich damit rasant schnell wieder aus dem Programm von ProSieben Mit Geschichten aus ihrem Leben möchte Enissa Amani das Publikum im neuen Format mit schlichtem Titel nissa doch noch von
