index,dayId,date,name,traffic,newsTitle,newsSnippet
9316,20161128,2016-11-28,Anistia,"10,000+",Anistia ao caixa 2 inclui corrupção e lavagem de dinheiro diz,Esse jogo de palavras de acordo com Dallagnol está na redação da emenda que diz que a anistia é para os crimes relacionados ao caixa dois o que incluiria os crimes de lavagem de dinheiro e corrupção que tenham sido praticados com o objetivo de
9317,20161128,2016-11-28,CBF,"10,000+",Del Nero também faltará à final da SulAmericana,O presidente da CBF Marco Polo Del Nero estará ausente de mais um momento importante para o futebol brasileiro Ele não vai para a Colômbia a fim de acompanhar nesta quarta 30 a primeira partida da decisão da Copa SulAmericana entre
9318,20161128,2016-11-28,Curitiba,"10,000+",Mulher é morta durante assalto no bairro Sítio Cercado em Curitiba,Uma mulher de 50 anos foi morta a tiros na rua Eduardo Pinto da Rocha no Sítio Cercado em Curitiba no começo da tarde desta segundafeira 28 segundo a Polícia Militar PM O crime ocorreu por volta das 14h30 De acordo com a polícia dois homens
9319,20161128,2016-11-28,Daniel Alves,"10,000+",Após novos exames Daniel Alves tem retorno previsto para dois,O lateral Daniel Alves passou por nova avaliação nesta segundafeira em Turim e saiu com uma boa notícia Segundo a assessoria do jogador ele teve uma fratura parcial da fíbula da perna esquerda e seu tempo de recuperação será de 45 dias
9320,20161128,2016-11-28,Drone Beira Rio,"20,000+",Jornalista gaúcho recebe ameaças de morte por causa de drone no,Na noite de ontem após a vitória do Internacional sobre o Cruzeiro no Beira Rio o repórter foi acusado de promover a violência depois de tuitar uma foto da casa de onde supostamente o drone com o Fantasma da Série B teria saído para sobrevoar
9321,20161128,2016-11-28,Elize Matsunaga,"20,000+",Começa em São Paulo o julgamento de Elize Matsunaga,Começou nesta segundafeira 28 em São Paulo o julgamento de Elize Matsunaga Ela matou o marido Marcos que era um dos donos da indústria de alimentos Yoki O carro levando Elize Matsunaga chegou ao fórum pouco depois das nove da manhã
9322,20161128,2016-11-28,FIFA,"10,000+",Com saudações a Edmundo The Animal e Saint Marcos FIFA,Através de seu Instagram a FIFA prestou sua homenagem ao Palmeiras pela conquista do Campeonato Brasileiro de 2016 Na foto o atacante Gabriel Jesus levanta a taça mas o inusitado do post vem na descrição onde a entidade máxima do futebol usa
9323,20161128,2016-11-28,Final Fantasy XV,"10,000+",Final Fantasy XV é principal lançamento da semana,Final Fantasy XV é a conclusão de uma história que começou em 2006 quando ainda era chamado Final Fantasy Versus 13 e se passava no universo e na mitologia de FF 13 Ele também é o primeiro jogo da série em mundo aberto que abre mão do
9324,20161128,2016-11-28,Folha Vitoria,"10,000+",Box de vidro estoura em cima de criança e mãe faz relato chocante,Dani Chaseliov relatou os momentos de terror que vivenciou após ver o filho coberto por estilhaços de vidro e sangue Segundo a personal trainer carioca foi o estrondo mais aterrorizante que já escutou A criança estava tomando banho e o vidro do
9325,20161128,2016-11-28,Incendio Em Diadema,"200,000+",Incêndio em fábrica de Diadema deixa 13 feridos,Treze pessoas ficaram feridas em um incêndio ocorrido no final da manhã de hoje 28 no município de Diadema SP em uma fábrica que produz cosméticos e produtos em aerossol Segundo o Corpo de Bombeiros o fogo que começou às 11h já está
9326,20161128,2016-11-28,Lotofacil 1441,"10,000+",RESULTADO LOTOFÁCIL 1441 CONFIRA OS NÚMEROS,Resultado Lotofácil 1441 de 2811 segundafeira Confira os números sorteados que a Caixa Econômica Federal divulgou para o concurso O sorteio deste jogo pagará o montante de 17 milhão caso haja um ganhador e o prêmio não acumule O jogo em
9327,20161128,2016-11-28,Resumo da novela A Lei do Amor,"20,000+",Resumo de A Lei Do Amor da semana de 5 a 10 de dezembro,Letícia garante a Pedro que não se aproximará dele porque brigou com Tião Bruno incentiva Jéssica a dar queixa do cliente que a agrediu Letícia confessa a Helô que se sente perdida Mileide avisa a Augusto que Vitória atrapalhará sua candidatura
9328,20161128,2016-11-28,Romero Britto,"10,000+",Obama ganha retrato feito por Romero Britto antes de deixar a Casa,A lista de políticos retratados nos traços do pintor brasileiro Romero Britto ganhou um nome de peso Barack Obama Em seus momentos finais na Casa Branca o presidente dos Estados Unidos recebeu de presente um quadro em que aparece ao lado da
9329,20161128,2016-11-28,Secretaria da Fazenda,"10,000+",MP entra com ação para que Secretaria da Fazenda divulgue,O Ministério Público Estadual ajuizou ação civil pública contra o governo do Rio Grande do Sul pedindo que a Secretaria da Fazenda forneça informações sobre empresas que receberam benefícios fiscais e financeiros Atualmente nem o Ministério Público
9330,20161128,2016-11-28,Sedu,"10,000+",Provas do concurso da Sedu serão reaplicadas para 1124 candidatos,A Escola de Serviço Público do Espírito Santo Esesp responsável pelo processo seletivo da Secretaria de Estado da Educação Sedu decidiu reaplicar as provas para todos os 1124 candidatos que concorrem aos cargos de pedagogo e professor de
9331,20161128,2016-11-28,Uber Rj,"10,000+",Justiça mantém liminar que garante funcionamento do Uber no Rio,Em outros termos qualquer cidadão pode pegar um táxi na rua o que não acontece com o Uber que depende exclusivamente da plataforma tecnológica Cabe aqui um apontamento existem várias cooperativas e prestadores de serviços de táxi que se
9332,20161128,2016-11-28,Ultima Rodada Brasileirão 2016,"10,000+",Última rodada do Campeonato Brasileiro esquenta briga pela,Enquanto o Campeonato Brasileiro já está decidido com o Palmeiras campeão outra disputa promete agitar a última rodada Ao menos sete  Já o pontepretano que joga contra o Coritiba é um atacante de velocidade e uma das revelações do Brasileirão
9333,20161128,2016-11-28,Vitoria,"200,000+",Vitória bate Coritiba pressiona Sport e Inter e fica a um ponto de se,O Vitória conseguiu derrotar o Coritiba por 1 a 0 no estádio Couto Pereira nesta segundafeira em Curitiba e deu um passo importante para afastar o rebaixamento no Campeonato Brasileiro O gol de Marinho deixou o time com 45 pontos na 15ª
9334,20161128,2016-11-28,Voo De Emergencia Filme,"20,000+",Tela Quente exibe o filme Voo de Emergência,A Rede Globo exibe nesta segunda 28 em Tela Quente o filme Voo de Emergência Sinopse Após ser demitido da força aérea de seu país Leo consegue um emprego como copiloto Leia mais ReproduçãoGlobo A Rede Globo exibe nesta segunda
