index,dayId,date,name,traffic,newsTitle,newsSnippet
15135,20161128,2016-11-28,Ahora Noticias,"2,000+",El hallazgo arqueológico tras abrir la tumba de Jesús,Como parte de los trabajos de restauración en la iglesia del Santo Sepulcro de Jerusalén científicos de varias instituciones realizaron unos trabajos de investigación en la supuesta sepultura de Jesucristo Luego de retirar la placa de mármol los
15136,20161128,2016-11-28,Angie Jibaja,"2,000+",FOTO El método con el que Angie Jibaja logró bajar 10 kilos Se,Un cambio drástico en su vida dio Angie Jibaja a quien por estos días se le puede ver interpretando a Úrsula en la teleserie de TVN El Camionero Y es que la ex chica reality relató que subió bastante de peso en las grabaciones Yo odiaba los
15137,20161128,2016-11-28,PC Factory,"20,000+",PC Factory realiza nueva venta de bodega este martes revisa las,La cadena chilena de tiendas de artículos de electrónica PC Factory realizará una nueva venta de bodega este martes 29 de noviembre en la Cúpula Multiespacio ubicada en Parque OHiggins región Metropolitana El evento que incluirá productos con
15138,20161128,2016-11-28,Union Española,"2,000+",Palestino tumbó a una Unión Española que quedó lejos de la lucha,En el cierre de la fecha 13 del Torneo de Apertura Palestino venció por 20 como local a Unión Española y complicó las aspiraciones del elenco de Independencia de conseguir el título pues quedaron a cuatro puntos de los líderes del campeonato
15139,20161129,2016-11-29,Alan Ruschel,"20,000+",Las desgarradoras palabras de uno de los sobrevivientes de la,Alan Ruschel lateral izquierdo del Chapecoense es uno de los sobrevivientes de la tragedia que sufrió el club brasileño mientras se dirigía a Medellín a jugar la ida de la Copa Sudamericana 2016 ante Atlético Nacional Y según relató Santiago
15140,20161129,2016-11-29,Alejandro Martinuccio,"2,000+",Accidente del Chapecoense Alejandro Martinuccio el único,Alejandro Martinuccio podría decir que volvió a nacer El delantero argentino del Chapecoense se salvó de la tragedia aérea ocurrida cerca de la ciudad colombiana de Medellín que dejó como saldo al menos 75 muertos y 6 heridos ya que se recupera de
15141,20161129,2016-11-29,Bruno Rangel,"5,000+",Bruno Rangel el ídolo que cambió el dinero por volver a Chapecó,Hay pocos jugadores que se pueden ufanar de tener una historia realmente hermosa con un equipo Rogerio Ceni con Sao Paulo Pelé con el Santos Zico con el Flamengo Para el Chapecoense Bruno Rangel era su propio Ceni su Pelé y su Zico
15142,20161129,2016-11-29,Caio Junior,"5,000+",Tragedia del Chapecoense Jorge Valdivia recuerda a su ex técnico,Tragedia del Chapecoense Jorge Valdivia recuerda a su ex técnico Caio Júnior El futbolista chileno envió fuerzas a las familias de las víctimas del accidente que costó la vida a gran parte de la delegación que viajaba a la final de la Sudamericana
15143,20161129,2016-11-29,Chapeco,"2,000+",Chapecó se derrumba ante la tragedia que ha terminado con la vida,La ciudad de Chapecó al sur de Brasil está conmocionada ante el accidente aéreo ocurrido anoche en en Colombia que ha terminado para siempre con la gesta del equipo local de disputar su primera final en un torneo internacional un triste suceso que
15144,20161129,2016-11-29,Chapecoense,"200,000+",Tragedia aérea de plantel de Chapecoense enluta al fútbol,Tragedia aérea de plantel de Chapecoense enluta al fútbol sudamericano El equipo brasileño viajaba a Medellín a jugar la final del la Copa Sudamericana Sigue todos los detalles aquí Publicado Martes 29 de noviembre de 2016  1756  Autor
