index,dayId,date,name,traffic,newsTitle,newsSnippet
16555,20170201,2017-02-01,Barcelona,"50,000+",Barcelona ganó el primer round contra el Atlético en Copa 12,Barcelona fue poderoso en ataque en el Vicente Calderón Al contragolpe la destreza que manejó durante muchos tramos en el Calderón con desborde y determinación toda la que demostró Luis Suárez en el 01 y Lionel Messi en el 02 dos goles
16556,20170201,2017-02-01,Beyonce,"5,000+",Beyoncé está embarazada de mellizos,Beyoncé está embarazada de mellizos La cantante estadounidense y el cantante Jay Z serán padres por segunda vez Así lo manifestó la cantante a través de su cuenta de Instagram  Embarazo de Beyoncé Beyoncé tiene 35 años Foto Instagram
16557,20170201,2017-02-01,Dia Sin Carro 2017,"20,000+",Lo que usted debe saber sobre este día sin carro y sin moto en Bogotá,Tenga presente que este jueves se llevará a cabo el primer día sin carro y sin moto del año en Bogotá La administración distrital calcula que 2 millones y medio de biciusuarios circulen por la ciudad La restricción regirá desde las 530 am hasta
16558,20170201,2017-02-01,Dia Sin Carro Bogota 2017,"5,000+",En el día sin carro en Bogotá hay 540 kilómetros para las bicicletas,Si se moviliza en moto no olvide que también está prohibido circular con ella este jueves Se espera que dejen de circular en la ciudad aproximadamente 2900000 carros y motocicletas en una nueva jornada del día sin carro y sin moto que vivirá Bogotá
16559,20170201,2017-02-01,Edmonia Lewis,"5,000+",Edmonia Lewis Google recuerda con un doodle a la escultora,Edmonia Lewis no temía remodelar la convención refirió Google en su blog Lewis es conocida por incorporar los temas culturales del afroamericano y del nativo americano en su escultura del estilo neoclásico según explica el motor de búsqueda
16560,20170201,2017-02-01,Gente Valiente,"2,000+",Cancelan lanzamiento de Gente Valiente nuevo álbum de,A través de un comunicado la disquera Sony Music canceló el evento de lanzamiento en Barranquilla de Gente Valiente el nuevo álbum de Silvestre Dangond El estreno que iba a ser realizado este jueves en un famoso hotel de la ciudad consistía en
16561,20170201,2017-02-01,Manchester United,"2,000+",Antoine Griezmann se va al Manchester United informan en Francia,Noticia que cae como balde de agua fría Antoine Griezmann deja el Atlético de Madrid y se va al Manchester United Así lo informa al final de la noche de este miércoles el medio Yahoo Sport France y que ya están replicando los portales más
16562,20170201,2017-02-01,Millonarios,"20,000+",Lo bueno lo malo y lo feo del debut de Millonarios en Libertadores,Millonarios perdió 10 en su visita al Arena de Baixada contra Atlético Paranaense en el juego de ida de la fase 2 de la Copa Libertadores Grafite anotó el único gol de penalti y aunque el azul cayó aún tiene el partido de vuelta para cambiar historia
16563,20170201,2017-02-01,Pico Y Placa Medellin 2017,"10,000+",Rotación del pico y placa para taxis en Medellín,Las sanciones se aplicarán a partir del miércoles 8 de febrero El pico y placa que inició desde este miércoles para los taxis empezó a las 600 am a diferencia de los vehículos particulares y de las motos de dos tiempos La restricción para los
16564,20170201,2017-02-01,dia sin carro,"10,000+",Lo que usted debe saber sobre este día sin carro y sin moto en Bogotá,Tenga presente que este jueves se llevará a cabo el primer día sin carro y sin moto del año en Bogotá La administración distrital calcula que 2 millones y medio de biciusuarios circulen por la ciudad La restricción regirá desde las 530 am hasta
16565,20170202,2017-02-02,Colombia Vs Argentina Sub 20,"20,000+",Colombia pierde 21 ante Argentina en el Sudamericano Sub 20,Colombia dejó espacios entre la defensa y la mitad de la cancha aspecto que fue aprovechado por la agilidad de los futbolistas rivales Al minuto 34 por poco llega la segunda anotación del equipo argentino luego de un gran remate del delantero Brian
16566,20170202,2017-02-02,Jason Momoa,"2,000+",Guardaespaldas de Jason Momoa son motivo de burla,El actor Jason Momoa de padre nativo de Hawái y madre alemanairlandesa es un hombre que mide cerca de 193 Algo gigante para sus guadaespaldas y es por ello que son la burla en redes sociales
16567,20170202,2017-02-02,Odin Sanchez,"5,000+",Odín Sánchez el polémico político que terminó secuestrado por el Eln,Odín Sánchez Montes de Oca quien fue entregado en la mañana de este miércoles al Comité Internacional de la Cruz Roja CICR tiene 61 años de edad Es el mayor de 11 hijos del matrimonio entre sus padres Odín y Luisa María tiene además dos
16568,20170202,2017-02-02,Shakira,"20,000+",La sorpresa de Piqué para Shakira en su cumpleaños,Los seguidores de la Shakira esperan con ansiedad las fotos que muestren parte de la celebración de su cumpleaños pero HOLA Colombia conoció en exclusiva que para esta conmemoración el defensa central preparó una sorpresa en secreto
16569,20170203,2017-02-03,Angelica Cruz,"100,000+",La misteriosa esposa de Nicky Jam,Se sabe que su nombre es Angélica Cruz y que es una modelo paisa sin emabrgo son los únicos detalles que se conocen de la nueva señora Jam De acuerdo al programa Suelta la sopa de Telemundo donde el artista dio escuetas declaraciones
16570,20170203,2017-02-03,Daddy Yankee,"5,000+",Los mejores duetos de Daddy Yankee el Big Boss,El ritmo y talento de Daddy Yankee son un boom cuando se junta con el de otro increíble cantante Mira aquí sus mejores duetos y colaboraciones MIRA TAMBIÉN  Los cinco amores de Shakira  Qué tienen en común Julión Álvarez y Valentín Elizalde
16571,20170203,2017-02-03,Jared Leto,"2,000+",Ponen al descubierto secreto de Angelina Jolie y Jared Leto,La relación secreta de Angelina Jolie y Jared Leto fue puesta al descubierto por la revista Heat que señaló que los actores retomaron la aventura amorosa que los unió en 2004 cuando trabajaron en la película Alejandro Entonces la química de la
16572,20170203,2017-02-03,Liga Aguila,"10,000+",La Liga Águila inició pisando fuerte Pasto goleó de visitante 40 a,La Liga ÁguilaI inició con todo El debutante en el banco del Deportivo Pasto Flabio Torres inició con goleada su andar con el equipo del sur del país En su visita al Cortuluá que ejercía de local en el Pascual Guerrero de Cali terminó
16573,20170203,2017-02-03,Ronaldinho,"5,000+",Ronaldinho fue presentado en Barcelona como nuevo embajador,Horas antes en la sala de prensa de la Ciudad Deportiva el entrenador del Barcelona Luis Enrique Martínez ha valorado la elección del jugador brasileño Me parece muy bien que Ronaldinho sea el embajador del club Relacionar al Barça con alegría
16574,20170204,2017-02-04,America De Cali,"20,000+",América de Cali gloria sufrimiento y esperanza renovada,El 31 frente al Deportivo Independiente Medellín el 21 de diciembre de 2008 que derivó en la estrella 13 es la última gran conquista de los hinchas de América de Cali Después de aquel título los malos manejos dirigenciales reflejados en
16575,20170204,2017-02-04,Barcelona,"20,000+",Barcelona goleó al Athletic Club y se puso a un punto del Real Madrid,Barcelona venció 30 al Athletic Club en Camp Nou y se puso a un punto del Real Madrid Al conjunto Azulgrana le costó dominar la posesión del balón y ser el claro dominador del partido Sin embargo consiguió ponerse arriba en el marcador a los 18
16576,20170204,2017-02-04,Falcao,"20,000+",Falcao doblete y gran figura del Mónaco que goleó 30 al Niza,Radamel Falcao García tuvo un partido brillante este sábado con el Mónaco El Tigre fue la gran figura de su club al anotar doblete en la goleada 30 sobre el Niza El triunfo es valioso para el cuadro del Principado pues le permite al Mónaco ser
16577,20170204,2017-02-04,Junior,"2,000+",Equidad comenzó bien la Liga derrotó 10 a Junior en Techo,Equidad hizo respetar su condición de local y derrotó este sábado 10 al Junior en el partido correspondiente a la primera fecha de la Liga I2017 Los aseguradores se llevaron el protagonismo del juego desde los primeros minutos A los 5 Amaury
16578,20170204,2017-02-04,Ligue 1,"2,000+",Guingamp,92 Remate Oportunidad de Briand de cabeza A la salida de un córner lanzado por Marcal Para Vercoutre 92 Centro al área Centro al área de Marcal lanza un corner Remata a porteria sin problemas para el portero 91 Remate Oportunidad de Alexandre
16579,20170204,2017-02-04,Nairo Quintana,"5,000+",Nairo es la joya del ciclismo mundial Eusebio Unzué,Pero esta es la historia de un gran hombre que está detrás de los éxitos de nuestro gran Nairo Quintana Eusebio Unzué un español de 61 años simpático divertido buen conversador y con 38 años de experiencia en el ciclismo profesional el mismo que
16580,20170204,2017-02-04,Premier League,"5,000+",Chelsea le ganó a Arsenal y se afianza como único líder de la,LONDRES Fue un triunfo claro de Chelsea el equipo imparable de la Premier League Líder indiscutido el equipo del italiano Antonio Conte le sacó 12 puntos de ventaja a Arsenal rival al que hoy venció 31 Tottenham el equipo de Mauricio
16581,20170204,2017-02-04,Super Bowl 2017,"5,000+",Super Bowl 2017 Los 10 datos curiosos que debes saber,El mayor espectáculo deportivo del año en Estados Unidos el Super Bowl LI tiene ya listos a los Patriots de Nueva Inglaterra y a los Falcons de Atlanta para decidir al nuevo campeón de la Liga Nacional de Fútbol Americano NFL sin que haya un claro
16582,20170205,2017-02-05,Colombia Vs Uruguay,"10,000+",Colombia vs Uruguay Transmisión EN VIVO,Y es que la Selección Colombia ha conseguido tan solo 1 punto en este hexagonal final del Sudamericano Sub20 y lo hizo en un empate contra Venezuela El otro partido fecha 2 la tricolor perdió contra Argentina 12 Uruguay por su partelogró
16583,20170205,2017-02-05,Cristiano Ronaldo,"10,000+",Cristiano Ronaldo llega a los 32 años siendo The Best,Este fantástico ritmo goleador le permite ser el único futbolista de la historia con cuatro Botas de Oro tres de ellas como madridista y una en el Manchester United Esta temporada Cristiano Ronaldo lleva 20 tantos y ha visto puerta en Liga 13
16584,20170205,2017-02-05,Deportivo Cali,"5,000+",Decepcionante estreno del Deportivo Cali en Liga al caer 20 en,El onceno azucarero del que se esperaba mucho más ante Envigado por nómina refuerzos e historia cayó este domingo 20 frente a un equipo joven pero ambicioso que facturó la pasividad del Cali en todas sus líneas Apenas iban 8 minutos y los
16585,20170205,2017-02-05,Juventus,"20,000+",Con un golazo de Cuadrado Juventus le ganó 10 al Inter de Milán,Un tanto del colombiano Juan Cuadrado decidió el Derbi de Italia entre el líder Juventus y el Inter de Milán 5º este domingo en la 23ª jornada de la Serie A italiana Se esperaba un duelo por todo lo alto entre las estrellas argentinas Gonzalo
16586,20170205,2017-02-05,Lady Gaga,"10,000+",Lady Gaga se robó el show del Súper Bowl no solo el intermedio,La estrella de la noche del fútbol americano fue Lady Gaga En el NRG Stadium de Houston se vio un show espacial donde la artista pop exhibió sus dotes como artista integral La gente deliró tarareando Poker face Bad romance y otras canciones
16587,20170205,2017-02-05,Millonarios,"10,000+",Millonarios cayó en su debut en la Liga 12 contra Medellín,Si Millonarios había mostrado un nivel esperanzador el miércoles en Curitiba el partido de este domingo frente al Medellín volvió a despertar preocupaciones en todas las líneas Dos hechos puntuales desbarataron el rendimiento azul y permitieron la
16588,20170205,2017-02-05,Neymar,"5,000+",Bruna Marquezine le declara su amor a Neymar con cariñoso,Neymar está cumpliendo este domingo 25 años y son muchos mensajes de felicitación los que ha recibido a través de las redes sociales Pero una de ellas seguro que le ha hecho mucha ilusión Y es que la actriz y modelo brasileña Bruna Marquezine con
16589,20170205,2017-02-05,Sudamericano Sub 20,"10,000+",Colombia al borde de la eliminación en el Sudamericano sub20,Uruguay clasificó al próximo Mundial de fútbol Sub20 de Corea del Sur al vapulear por 30 a Colombia el domingo en Quito por la tercera fecha del hexagonal final de la categoría de Ecuador2017 El plantel charrúa el único invicto del certamen sumó
16590,20170205,2017-02-05,Tom Brady,"10,000+",Deporte total,El quarterback Tom Brady despertó de la pesadilla y vivió unos minutos de ensueño al ayudar a su equipo New England Patriots y contribuir con pases de touchdown y conversión de dos puntos en el duelo ante los Atlanta Falcons en el Super Bowl 2017
16591,20170206,2017-02-06,Caracol Noticias,"5,000+",Gracias RCN y Caracol por quitarme el vicio de ver televisión,Gracias RCN y Caracol por quitarme el vicio de ver televisión Su pésima programación hizo que me quedara más tiempo con mi familia Por Carlos MORENO  febrero 06 2017 Este es un espacio de expresión libre e independiente que refleja
16592,20170206,2017-02-06,Juan Fernando Quintero,"2,000+",El renacer de Juan Fernando Quintero,Y aunque Juan Fernando era una de las promesas del fútbol antioqueño y lo consentían los directivos del Envigado porque sabían la joya que era hubo muchos obstáculos en su proceso de consolidación como futbolista que fueron a su vez los que le
16593,20170206,2017-02-06,Lady Gaga Super Bowl 2017,"2,000+",El mensaje de diversidad de Lady Gaga en el medio tiempo del,Fotos Las imágenes más destacadas del Super Bowl 51 de la NFL La primera canción fue un clásico Pocker Face y le siguió The Edge of Glory y Born This Way que se convirtió en un himno de la comunidad LGBT que habla de aceptación sin
16594,20170206,2017-02-06,Noticias Caracol,"20,000+",Somalia ganadora del primer Miss Universo Gay en Colombia,Inicio Inicio Programas  Horarios  Señal en vivo  Noticias Más Gol Caracol  Caracol play  Click here  search  Noticias Caracol Lunes 6 de Febrero de 2017 Edición Nacional Antioquia  Valle  Bogotá Despliegue aquí para ver las noticias
16595,20170206,2017-02-06,Pico Y Placa Medellin 2017,"10,000+",Comienza rotación de la medida de pico y placa en Medellín,A partir de este lunes 6 de febrero cambian los dígitos del pico y placa para vehículos particulares y motos de dos tiempos en la capital antioqueña Durante la primera semana de rotación para particulares entre este lunes y el viernes 10 de febrero
