index,dayId,date,name,traffic,newsTitle,newsSnippet
17770,20170306,2017-03-06,Jeden svět,"2,000+",Hmyzí recepty lodní přeprava uprchlíci Začíná Jeden svět,V Praze v pondělí začíná festival dokumentárních filmů Jeden Svět jedna z nejlepších kulturněvzdělávacích akcí v naší zemi  Je obrovským úspěchem přehlídky že dokáže ze zájmu o vzdálené země a o globální problémy udělat cosi cool  téma které
17771,20170306,2017-03-06,Mene Tekel,"1,000+",Mene Tekel,Mene Tekel Přímý přenos ekumenické bohoslužby za oběti totalitních režimů z katedrály sv Víta Václava a Vojtěcha v Praze Režie J Rásocha 169 reklama EuroZprávycz doporučují Domov Jašek plánuje další africkou misi věznění v Súdánu ho
17772,20170306,2017-03-06,Peugeot 3008,"2,000+",Evropským autem roku 2017 je poprvé SUV zvítězil Peugeot 3008,Ve finálové sedmičce pro rok 2017 se proti sobě utkal MercedesBenz třídy E Alfa Romeo Giulia Citroën C3 Nissan Micra Peugeot 3008 Toyota CHR a Volvo S90V90 Škoda Kodiaq se do finále evropského Auta roku 2017 neprobojovala Peugeot 3008
17773,20170306,2017-03-06,Vinařství Horák,"1,000+",Vinařství Horák v Paříži ovládlo nejprestižnější kategorii bílých vín,Vinařství Horák vyhrálo se svým Hibernalem výběr z hroznů 2016 nejprestižnější kategorii bílých vín na soutěži Vinalies Internationales v Paříži Je to jeden z největších úspěchů moravských vinařství vůbec Vyplývá to z tiskové zprávy Vinařského fondu
17774,20170307,2017-03-07,Autosalon Ženeva 2017,"1,000+",Autosalon Ženeva 2017 Renault překvapil elektromobilem Zoe e,Hned během prvního dnu autosalonu Ženeva 2017 odhalil Renault elektrizující překvapení v podobě sportovní verze svého nejprodávanějšího evropského elektromobilu Renault Zoe eSport Concept zrychlí 0100 za 32 sekundy a nabízí výkon 343 kW 460
17775,20170307,2017-03-07,Eska,"1,000+",Michelin potvrdil nudu na pražské gastro scéně pomohla si jen Eska,Karlínská restaurace Eska dostala ocenění Bib Gourmand což značí že se zde podle průvodce servíruje výjimečné jídlo za dobrou cenu Zda je smaženka s cibulí za 135 Kč vepřový jazyk s křenem za 298 Kč či krupicová kaše za 165 Kč rozumnou cenou
17776,20170307,2017-03-07,Ghost Recon Wildlands,"1,000+",Na pulty obchodů se dostává akční Ghost Recon Wildlands,Proto přichází na řadu speciální jednotka Ghost Recon aby kartel postupně zlikvidovala Dostanete velký herní svět s celkem 21 provinciemi rozmanitým prostředím od džunglí až po zasněžené špičky hor a svobodu jak se s kartelem vypořádáte
17777,20170307,2017-03-07,Liga mistrů,"1,000+",Liga mistrů ONLINE Arsenal vede nad Bayernem Neapol nad,Cestu do čtvrtfinále Ligy mistrů má Bayern Mnichov po výhře 51 nad Arsenalem téměř umetenou anglický klub se ale nevzdává bez boje a německého mistra chce i přes čtyřbrankové manko překvapit Solidní výchozí pozici má po výhře 31 i Real Madrid
17778,20170307,2017-03-07,PSA,"1,000+",ANALÝZA Koupí Opelu spouští PSA obrovskou automobilovou rošádu,Ženeva Od zpravodaje AutoiDNEScz  Všechno je propojeno se vším říká se občas A aktuální akvizice německého Opelu francouzskou skupinou PSA toho může být jasným důkazem Francouzi totiž tímto krokem nastartovali vlnu změn která může mít za
17779,20170307,2017-03-07,Real Madrid,"1,000+",Chrabrá Neapol doma podlehla zkušenějšímu Realu Madrid,Real Madrid zopakoval výsledek z domácího klání také pod Vesuvem a odjíždí coby postupující V prvním poločase sice podal velmi špatný výkon ale díky zkušenosti i psychické síle se mu podařilo otočit vývoj zápasu Hrdinou postupujícího celku byl
