index,dayId,date,name,traffic,newsTitle,newsSnippet
20077,20161128,2016-11-28,الفيلم المسئ للجيش المصرى,"2,000+",الوحدة الاخباري  تفاصيل الرد على الفيلم المسئ للجيش المصري,الفيلم المسئ للجيش المصري  ذلك حيث علق الإعلامي المشهور عمرو أديب  على البيان الذى قامت قناة الجزيرة الفضائية بإصداره في برامج التوك شو حيث قالت أن دى من المرات القليلة أن الجزيرة تطلع بيان  هى عادة تذيع وما تتهزش و إليكم تفاصيل رد الإعلاميين على الفيلم المسئ للجيش المصري  الفيلم المسئ للجيش المصري و لقد أشار الإعلامي عمرو أديب أثناء تقديمه لبرنامجه اليومي  كل يوم   و الذي يتم إذاعته على القناة الفضائية O N TV  إلى أن فيلم قناة الجزيرة عن الجيش المصرى  فيلم  زبالة   و كذلك التمثيل
20078,20161128,2016-11-28,برشلونة,"5,000+",بيكيه ينتقد برشلونة بعد التعادل أمام سوسيداد,وجه المدافع جيرار بيكيه انتقادا لاذعا لأداء فريقه برشلونة بعد التعادل 11 مع ريال سوسيداد في دوري الدرجة الأولى الإسباني لكرة القدم الأحد 27 نوفمبرتشرين الثاني وسجل ليونيل ميسي نجم برشلونة هدف التعادل بتسديدة رائعة ليلغي تقدم سوسيداد عبر ويليان خوسيه في الشوط الثاني في ملعب أنويتا لكن بيكيه قال إن فريقه كان محظوظا بالخروج من هذا الملعب الذي لم يفز فيه برشلونة منذ 2007 بنقطة التعادل وأهدر برشلونة نقطتين في الأسبوع الماضي عندما تعادل مع ملقة بدون أهداف وبعد تعادل الأحد أصبح متأخرا عن غريمه
20079,20161128,2016-11-28,مباراة روما اليوم,"2,000+",نتيجة مباراة روما وبيسكارا امس الاحد في الدورة 14 من كالتشيو الدوري الإيطالي لكرة القدم,معرفة نتيجة مباراة روما اليوم ضد بيسكارا الأحد الموافق 28 صفر 1438 هـ حيث أعلن الفريق الطبي لهذا النادي عن عودة أحد من أهم الاعبين ضمن فريق نادي روما وذلك من خلال التحاق اليوناني كوستاس مانولاس مدافع الفريق بمباراة الفريق أمام لاتسيو في ديربي العاصمة الإيطالية والذي من المقرر عقده يوم الرابع من ديسمبر كانون الأول المقبل في الدوري وقد تعرض الاعب مانولاس للاصابة ضمن مباراة الفريق فيكتوريا بلزن التشيكي يوم الخميس خلال مباريات الدوري الأوروبي مباراة روما اليوم في الجولة 14 من الدوري الإيطالي
20080,20161128,2016-11-28,نادي برشلونة,"2,000+",اخبار نادي برشلونة اليوم الثلاثاء 29112016  انريكي يعلق على مباراة الكلاسيكو المنتظرة,الجدير بالذكر علي انة قد تعادل برشلونة 1  1 مع ريال سوسيداد أمس وذلك في المرحلة الثالثة عشرة من مسابقة الدوري الأسباني وهو ما دفع جيرارد بيكيه نجم دفاع برشلونة إلى الإعراب عن استيائه من أداء فريقه الذي أظهر المنافس تفوقا واضحا عليه حيث قال هكذا لن نفوز بالدوري حيث انة قد أوضح اليوم المدرب لويس انريكي في بيان رسمي وذلك خلال المؤتمر الصحفي الذي أعقب المباراة بعد أن ابتعد برشلونة بست نقاط كاملة عن منافسه التقليدي ريال مدريد الذي يلتقي معه في مباراة كلاسيكو الكرة الأسبانية يوم السبت المقبل
20081,20161128,2016-11-28,وليد سليمان,"2,000+",أرقام في الجول  ماذا قدم وليد سليمان في 45 دقيقة ضد التعدين,أرقام في الجول  ماذا قدم وليد سليمان في 45 دقيقة ضد التعدين الإثنين 28 نوفمبر 2016  1817 بقلم  عمرو عبد المنعم وليد سليمان سجل هدفين وصنع آخر في 45 دقيقة فقط خلال مباراة النصر للتعدين كما ظهر بمستوى مميز في الجانب الهجومي وليد سليمان الذي شارك في بداية الشوط الثاني لمباراة الأهلي والنصر للتعدين بدلا من عمرو جمال تألق ومنح الأهلي الفوز واستعادة الصدارة من مصر للمقاصة وحقق الأهلي الفوز بثلاثية دون رد على التعدين في الجولة الحادية عشر من الدوري المصري في المباراة التي أقيمت بملعب أسوان
20082,20161129,2016-11-29,Chapecoense,"2,000+",بالصور  حادثة تحطم طائرة نادي شابيكوينسي البرازيلي,كتب  محمود ماهر  أعلنت السلطات الكولومبية صباح اليوم الثلاثاء خبر سقوط طائرة الطرف الثاني لنهائي بطولة سودا أميركانا 2016 شابيكوينسي البرازيلي لأسباب جوية بعد ساعات من إقلاعها من دولة بوليفيا لاستكمال الرحلة التي انطلقت صباح أمس الاثنين من البرازيل وخلفت الحادثة 76 ضحية ونجا منها ثلاثة لاعبين فقط لتعيد للأذهان ما حدث لطائرة نادي تورينو في الاربعينيات وطائرة نادي مانشستر يونايتد نهاية الخمسينيات وفي سياق هذا التقرير يوثق جول هذه الفاجعة بالصورة والكلمة حقوق الصورة DivulgaçãoChapecoense
20083,20161129,2016-11-29,Dilwale,"2,000+",شاروخان و كاجول في أضخم الأفلام الجماهيرية Dilwale حصريا على MBC Bollywood,بعد نجاحه الساحق في الصالات السينمائية حول العالم وحضور بطليه شاروخان وكاجول عرضه الافتتاحي في دبي في نهاية العام 2015 وصل الفيلم الجماهيري الضخم والمنتظر Dilwale إلى الشاشة الصغيرة إذ تعرضه حصريا ولأول مرة قناة MBC Bollywood يحمل الفيلم مزيجا من الأكشن والحركة والكوميديا والدراما في قصة مليئة بالمفاجآت يحكي الفيلم عن قصص حب تنشأ من وسط العداوة الأولى بين كالي شاروخان وميرا كاجول حيث يجسد شاروخان شخصية كالي وهو الابن بالتبني لزعيم العصابة الهندية وبين ميرا وبعد مفارقات وأحداث
20084,20161129,2016-11-29,الطقس غدا,"2,000+",الأرصاد تحذر الطقس سيئ بدءا من غد وأمطار على معظم الأنحاء,جددت الهيئة العامة للأرصاد الجوية تحذيرها من سوء الأحوال الجوية والذي ستتعرض له البلاد بدءا من غد الثلاثاء و قال الدكتور أحمد عبد العال رئيس مجلس ادارة الهيئة انه وبعد الأطلاع على أخر التوزيعات الضغطية وصور الأقمار الصناعية و ضمانا للأستعداد المبكر ولأخذ الأحتياطات اللازمة من المحافظين للمحافظات المعنيه بتوقع حدوث سوء الأحوال الجوية فيهاتم التأكيد على عدم إستقرار الأحوال الجوية كالتالى حيث أنه من المنتظر أن تتعرض البلاد إعتبارا من مساء غدا الثلاثاء لطقس غير مستقر تبلغ ذروته يومي الخميس والجمعة
20085,20161129,2016-11-29,شابيكوينسي,"2,000+",تعرف على فريق شابيكوينسي البرازيلي بعد تحطم طائرته فى كولومبيا فيديو,تحطمت بوسط كولومبيا طائرة تقل 81 شخصا بينهم لاعبو نادي شابيكوينسي البرازيلي لكرة القدم  وسط تواتر أنباء عن وجود ناجين من بينهم 3 أعضاء من الفريق  وكان فريق شابيكوينسي لكرة القدم ضمن 72 راكبا على متن الطائرة فضلا عن طاقم من تسعة أفراد وشابيكوينسي هو ناد لكرة القدم مقره في مدينة شابيكو في ولاية سانتا كاتارينا التي تقع في نصف الجهة الجنوبية من البرازيل وهذا النادى لا يقتصر نشاطه على لعبة كرة القدم فقط بل لديه أيضا أنشطة في كرة القدم داخل الصالات حيث فاز فيها ببطولة الدولة مرتين وتأسس النادي
20086,20161130,2016-11-30,الزمالك ووادى دجلة,"5,000+",ميدو يشكر لاعبيه على أدائهم في مباراة الزمالك ووادي دجلة,وجه أحمد حسام ميدو المدير الفني لوادي دجلة الشكر للاعبيه على أدائهم في مباراة الزمالك ووادي دجلة مساء أمس في إطار مباريات الجولة الـ12 للدوري الممتاز  ونشر  ميدو تغريدة على حسابه الشخصي على موقع التواصل الاجتماعي تويتر قال فيها   أساس النجاح هو العمل كفريق والعمل على المحافظة على النظام وعدم الخروج عنهشكرا للاعيبتي الرجالة   ذكر أن دجلة كان قريبا من الخروج بنقاط المباراة الثلاث إلا أن الزمالك أدرك التعادل قبل دقيقتين من نهاية المباراة عن طريق مدافعه وادي دجلة لتنتهي المباراة بالتعادل 1
