index,dayId,date,name,traffic,newsTitle,newsSnippet
30606,20161129,2016-11-29,Final Fantasy Xv,"2,000+",Final Fantasy XV攻略專區王子復仇記故事攻略心得,Final Fantasy XVFF15太空戰士XV自2006年公布終於正式推出今次Final Fantasy XV大膽地一改風格變了動作遊戲陽極陰衰究竟是神作還是雷作我們01科技玩物編輯部特意製作攻略專頁一同見證
30607,20161129,2016-11-29,丁文琪,"2,000+",嫁給我丁文琪陪伴渡過低潮29歲林宥嘉深夜求婚,林宥嘉晚間突然臉書發文向女友丁文琪求婚感性寫下就是今天了我要把你定下來再也捨不得你的人生繼續浪費在沒有規劃的時光流逝我必須帶領我們讓我們的畫面明確仔細寫下兩人相處甜蜜的時光並向粉絲感謝一路看著他的蛻變我已經準備好了
30608,20161129,2016-11-29,劉小麗,"1,000+",劉小麗被特首申請DQ 已捐48萬人工自己找數,律政司擬代表特首提出司法覆核推翻立法會議員劉小麗的宣誓出身為大學講師的劉小麗由爭取小販權益而冒起在9月立法會選舉上成為九龍西得票最高的非建制派議員而她本月亦已按參選時承諾將10月已出的議員薪金一半捐作慈善用途相等於48萬元
30609,20161129,2016-11-29,周柏豪,"20,000+",百萬婚禮周柏豪秘娶拍拖10年女友布吉沙灘行禮肉緊咀,孫慧雪入紙註冊結婚下月行禮估唔到圈中另有一件喜事搶先爆就係柏豪結婚了 2014年喺叱咤頒獎禮上連掃多個大獎嘅柏豪喺台上發表愛的宣言當時佢話感謝你陪我長大好感謝你我會跑快啲跑到我哋嘅終點我愛你多謝你嘅耐性感謝任職it
30610,20161129,2016-11-29,孫慧雪,"2,000+",浪漫過程孫慧雪生日獲求婚喊住應承,oncc東網專訊 現年34歲的宅男女神孫慧雪近期出席活動都流露恨嫁之情據知原來她已秘密排期入紙申請與有米圈外男友Edwin Lo結婚下月廿三日會於愉景灣行禮及擺酒但雪雪及其家人希望低調進行因此並沒有邀請太多賓客 仲未派帖 雪雪接受東網電話
30611,20161129,2016-11-29,朴槿惠,"2,000+",朴槿惠發表講話回應親信門醜聞首度表示願意辭任總統,2016年11月29日南韓總統朴槿惠就親信干政風波發表全國講話表示願意按朝野建議方案及法律程序辭去總統職務攝Jeon HeonKyunPoolREUTERS 11月29日南韓總統朴槿惠透過電視廣播就親信門風波發表全國講話表示自己願意按朝野建議和法律
30612,20161129,2016-11-29,林鄭月娥,"1,000+",林鄭月娥政府應與商界合作官商勾結是不必要的指控,政務司司長林鄭月娥表示香港作為一個商業城市如果想做得好政府就應該跟商界合作又指現時香港官員在經常甚至不必要被指控官商勾結的環境之下官員有自發性同商界合作十分重要 林鄭月娥出席亞太房地產高峰會發表演說時指自己自擔任發展局長時
30613,20161129,2016-11-29,查比高恩斯,"5,000+",決賽夢碎神奇球隊查比高恩斯遇空難全機81人5生還,查比高恩斯來自巴西南部城市Chapecó球隊近年成績優異在2014 年升上國內甲組聯賽今年更打進南美球會盃Copa Sudamericana決賽也是球會首次進入球賽的最後階段可謂一支神奇球隊一行廿二名球員連同職員在當地時間今晚十時在玻尼維亞乘搭
30614,20161129,2016-11-29,梁天琦,"1,000+",稱宣誓風波始料不及梁天琦辜負了選民非常對唔住,在宣誓風波後一直沒有露面的本民前梁天琦今日在網台直播中承認對宣誓風波的後果始料不及是辜負了選民非常對唔住 他又表示自己過去面對主流媒體時有些字眼是不會講的譬如蝗蟲支那他認為若要推銷一個政治理念應用軟性策略去推而香港
30615,20161129,2016-11-29,蘇打綠,"1,000+",有片蘇打綠休團前最後一次來港演唱青峯我最討厭直播,蘇打綠先以飛魚及日光兩首快歌開場唱畢團長阿福提到大會進行直播有30萬觀眾令青峯隨即動怒表示我最討厭直播一向不準歌迷在演唱會現場拍攝的青峯起初仍以開玩笑的態度勸阻不是不給你們拍而是怕你們拍了運氣不好回家後一直覺得
30616,20161129,2016-11-29,袁澧林,"1,000+",同場仲有袁澧林徐榮一家聖誕節去澳洲旅行徐心怡出席活動勁派飛吻,文青女神袁澧林和徐榮女兒徐心怡包包今日應邀到銅鑼灣希慎廣場為聖誕藝術村進行揭幕包包今日由媽媽陪同到場不時向觀眾派飛吻可愛程度爆燈近日頻頻出席活動不過徐太就否認密密賺但會將有關籌勞儲起仲話會喺唔太辛苦情況下先同囡囡出席
