index,dayId,date,name,traffic,newsTitle,newsSnippet
35241,20161129,2016-11-29,Chapecoense,"20,000+",Sempat Dapat Pertolongan Kiper Chapecoense Meninggal Dunia,KOMPAScom  Kiper Chapecoense Marcos Danilo Padilha mengembuskan napas terakhir saat mendapat perawatan seusai mengalami kecelakaan pesawat bersama timnya jelang final pertama Copa Sudamericana Senin 28112016 atau Selasa
35242,20161129,2016-11-29,Cinta Laura,"5,000+",Putus Cinta Cinta Laura Isyaratkan Sudah Ada Gebetan Baru,Putus dari kekasihnya tak membuat artis pemilik nama lengkap Cinta Laura Kiehl itu larut dalam kesedihan Meski sedang sendiri Cinta Laura mengaku lebih bahagia dibanding saat berpacaran Bahkan artis blasteran Jerman ini menyebutkan sudah ada
35243,20161129,2016-11-29,DJ Butterfly,"10,000+",Garagara Foto Ini Netizen Sebut DJ Butterfly Seorang Banci,Garagara Foto Ini Netizen Sebut DJ Butterfly Seorang Banci Editor Andi Chaerul Fadli Garagara Foto Ini Netizen Sebut DJ Butterfly Seorang Banci Female Disc Jockey DJ Katty Butterfly instagram RAKYATKUCOM  Netizen di Instagram bereaksi
35244,20161129,2016-11-29,Equil,"10,000+",Heboh Air Mineral Equil Dikira Miras Mau Minum Jangan Coba Kalau Tak Punya Duit Sebanyak ini,TRIBUNTIMURCOM  Air mineral premium merek Equil kini sedang jadi perbincangan di kalangan netizen Gegara ramai diperbincangkan pada media sosial Twittter kata Equil sempat masuk dalam daftar trending topic Indonesia Selasa 29112016
35245,20161129,2016-11-29,Hari Korpri,"5,000+",Hari Jadi ke45 Korpri Ramaikan Situs Belanja Online toktokid,Seperti kalau orang tau lazada buka lapak amazone blibli kata Ketua Umum Dewan Pimpinan Nasional Korpri Zudan Arif Fakhrulloh usai upacara peringatan hari jadi ke45 di Halaman Silang Monas Selatan Jakarta Pusat Selasa 29112016
35246,20161129,2016-11-29,Inter vs Fiorentina,"5,000+",Hasil skor Italy Serie A Inter vs Fiorentina skor 42,Ligaolahraga  Hasil pertandingan bola pada kejuaraan Serie A Italia antara Inter melawan Fiorentina yang berlangsung pada hari Selasa tanggal 29 November 2016 pukul 0300 WIB dengan hasil skor 42
35247,20161129,2016-11-29,Lee Cho Hee,"5,000+",Lee Cho Hee Bertemu 7 Aktor dalam First Kiss for the Seventh Time,Teaser pertama ini berisi adegan aktris utama Lee Cho Hee bertemu dengan masingmasisng dari ke tujuh aktor yang memiliki latar belakang dan karakter bebedabeda Pertama Lee Jun Ki ia diceritakan sebagai Mr Perfect Park Haejin sebagai Boss yang
35248,20161129,2016-11-29,Mariah Carey,"5,000+",Kolaborasi Mariah Carey dan MAC untuk Natal dan Tahun Baru,Setiap produk dalam koleksi makeup Mariah Carey dan MAC memiliki namanama tersendiri Namanama produk tersebut cukup unik dimana sebagian besar diambil dari judul lagu Mariah Carey Contohnya Dreamlover untuk lipgloss dan Touch My Body
35249,20161129,2016-11-29,Raffi Ahmad,"10,000+",Rafathar Syuting Film Amy Qanita Khawatirkan Raffi Ahmad,Bintangcom Jakarta Sesuai dengan yang sudah dijanjikan Raffi Ahmad saat ini sedang dalam proses produksi film Rafathar dimana sang anak Rafathar Malik Ahmad menjadi pemeran utamanya Baru berusia satu tahun saat Rafathar melakukan proses
35250,20161129,2016-11-29,Sandiaga Uno,"5,000+",Sandiaga Uno Warga Mantan Lokalisasi Bisa Jadi Pengusaha Salon,Liputan6com Jakarta  Calon wakil gubernur DKI Jakarta Sandiaga Uno menyatakan akan menata Ibu Kota dengan lebih baik lagi termasuk mengurangi lokalisasi dan pusat hiburan malam dengan memberikan keterampilan lain kepada warga yang terlibat
35251,20161130,2016-11-30,30 November,"5,000+",Jadwal Pertandingan GantengMaksimal Pekan Ini 30 November6 Desember 2016,Berikut jadwal siaran langsung pertandingan sepakbola dengan jadwal TV tercantum dalam Waktu Indonesia Barat WIB Jadwal dapat berubah sewaktuwaktu tanpa pemberitahuan Penikmat sepakbola kembali akan dimanja sajian dahsyat lagalaga
35252,20161130,2016-11-30,Brigjen Teddy Hernayadi,"10,000+",Korupsi Alutsista Brigjen Teddy Dihukum Seumur Hidup,TEMPOCO Jakarta  Pengadilan Militer Jakarta Timur memvonis Brigjen TNI Teddy Hernayadi dengan hukuman seumur hidup Rabu 30 November 2016 Majelis Hakim yang dipimpin Brigjen Deddy Suryanto membacakan putusan tersebut Teddy terbukti
35253,20161130,2016-11-30,Liverpool vs Leeds,"5,000+",Hasil Pertandingan Liverpool vs Leeds United Skor 20,Lima menit berselang keunggulan Liverpool bertambah menjadi 20 Kali ini giliran Woodburn yang mencetak gol Ini merupakan gol perdana Woodburn bagi tim senior The Reds Tak hanya itu gol ini menjadikan Woodburn sebagai pencetak gol termuda
35254,20161130,2016-11-30,Nusantara Bersatu,"5,000+",Apel Nusantara Bersatu digelar menjelang rencana demonstrasi,Anggota TNI mengikuti apel Nusantara Bersatu di Benteng Kuto Besak Palembang Kapuspen TNI Mayjen Wuryanto menegaskan acara tersebut tidak ada kaitannya dengan rencana demonstrasi besar pada Jumat 0212 oleh ormas Islam untuk menuntut
35255,20161130,2016-11-30,Nusron Wahid,"5,000+",Aksi Demo 212 Lebih dari 1000 Orang Nusron Wahid Siap Diludahi,Bintangcom Jakarta Dikenal sebagai pendukung Basuki Tjahaja Purnama Ahok serta menjadi Kepala Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia BNP2TKI Nusron Wahid memberikan klarifikasi terkait pernyataannya yang
35256,20161130,2016-11-30,Persib,"50,000+",Kunci Kemenangan Persib atas Perseru Menurut Djanur,SOREANG PR Persib Bandung mampu menggelontorkan setengah lusin gol ke gawang Perseru dalam drama kemenangan 62 pada pekan ke31 Indonesian Soccer Championship 2016 di Stadion Si Jalak Harupat Kabupaten Bandung Rabu 30
35257,20161130,2016-11-30,Setya Novanto,"5,000+",Setya Novanto Resmi Jadi Ketua DPR Lagi,Anggota DPR RI dari Fraksi Golkar Setya Novanto mengucapkan sumpah jabatan saat dilantik menjadi Ketua DPR sisa masa jabatan tahun 20142019 pada Rapat Paripurna di Gedung Nusantara II Kompleks Parlemen Senayan Jakarta Pusat 30
35258,20161130,2016-11-30,Tribun Pontianak,"5,000+",Empat Hari Diculik Wawan Akhirnya Berhasil Diselamatkan,Sri Sulaswati menciumi anaknya yang berhasil diamankan Tim Jatanras Sat Reskrim Polresta Pontianak di Jalan Nurali Pontianak Kalimantan Barat Rabu 30112016 sekitar pukul 0230 WIB Awan diketahui diculik pada Sabtu lalu dan penculiknya
35259,20161201,2016-12-01,212,"20,000+",GNPF MUI Sumatera Barat Klaim 5000 Orang Akan Ikut Demo 212,TEMPOCO Padang  Panitia Gerakan Nasional Pengawal Fatwa Majelis Ulama Indonesia GNPF MUI Sumatera Barat mengklaim ada sekitar 5000 muslim yang akan berangkat ke Jakarta Mereka bakal bergabung dalam Aksi Bela Islam III di Monumen
35260,20161201,2016-12-01,212,"10,000+",GNPF MUI Sumatera Barat Klaim 5000 Orang Akan Ikut Demo 212,TEMPOCO Padang  Panitia Gerakan Nasional Pengawal Fatwa Majelis Ulama Indonesia GNPF MUI Sumatera Barat mengklaim ada sekitar 5000 muslim yang akan berangkat ke Jakarta Mereka bakal bergabung dalam Aksi Bela Islam III di Monumen
35261,20161201,2016-12-01,Aksi 212,"10,000+",Aksi 212 di Medan Masjid Agung Dirikan Tenda di Pelataran,Pendemo Anti Ahok di Masjid Agung Medan Bersiapsiap ke Markas Polda Sumut 4 November 2016 TEMPOSahat Simatupang TEMPOCO Medan  Masjid Agung Medan sebagai pusat kegiatan Aksi Bela Islam Jilid III pada 2 Desember 2016 terus
35262,20161201,2016-12-01,Arsenal vs Southampton,"5,000+",Susunan Pemain Arsenal vs Southampton,LONDON  Arsenal akan berhadapan dengan Southampton pada babak perempatfinal Piala Liga Inggris 20162017 Kamis 1122016 pukul 0245 WIB Pada laga yang akan dilangsungkan di Emirates Stadium ini The Gunners julukan Arsenal sebagian
35263,20161201,2016-12-01,Aurel,"5,000+",Duh Aurel Yang Sudah Se Cantik Ini Malah Dibilang Mirip,Ka jedar itu yg item aurel hermansyah bkn ya tulis nuy_gomes Yg hitam mirip aurel Bener kah ujar zana_rd Banyak yang mengungkapkan jika wanita yang serba hitam ini mirip dengan putri Anang Hermansyah Aurel Wah cuma mirip aja ya
35264,20161201,2016-12-01,Aurel Hermansyah,"10,000+",Alis Aurel Hermansyah Disebut Seperti Lakban,Para netizenseolah tak ada kehabisan ide untuk menilai Aurel Hermansyah Kali ini yang jadi sorotan mereka adalah alis Aurel Mereka mengomentari itu saat cewek kelahiran Jakarta 10 Juli 1998 ini mengunggah sebuah fotonya dalam akun Instagram
