index,dayId,date,name,traffic,newsTitle,newsSnippet
36780,20161128,2016-11-28,אלאור אזריה,"1,000+",עמרי אסנהיים השאלה האם אלאור אזריה אשם או לא היא הכי פחות מעניינת,בתאריך ה243 בשעה 833 דקות אחדות אחרי פיגוע דקירה אירע בצומת זילבר אירוע שחצה מדינה שלמה אבל מה באמת אנחנו יודעים על שרשרת האירועים שהתרחשה מהרגע שהחייל אלאור אזריה סיים לפנות את חברו הפצוע לאמבולנס ועד לרגע שבו ירה אזריה בראשו של המחבל עמרי אסנהיים כתב עובדה משחזר באמצעות הצילומים שלא פורסמו קלטות מכשיר הקשר הצהלי והסרטונים שהתכוונו למחוק את כל מה שקרה בפרשת הירי בחברון דקה אחר דקה בראיון לתכנית הבוקר הוא מספר על השיעור שלמד במהלך עבודתו על התחקיר הסתכלתי על זה אחרת כי פתאום התמונה
36781,20161128,2016-11-28,סלקום TV,"2,000+",סלקום TV מגיעה לאפל TV,סלקום TV מגיעה לטלוויזיה החכמה של אפל שירות הטלוויזיה של סלקום עושה קפיצת מדרגה גדולה ונכנס אל תוך מכשיר אפל TV השירות יציע את הערוצים הלינאריים ללא צורך בעידן פלוס המחיר  99 שקלים לחודש כך הכריז הבוקר יום ב מנכל קבוצת סלקום ניר שטרן במסיבת עיתונאים בתלאביב בסלקום אמרו כי ברמת החדשנות ניתן ליהנות מתכני סלקום TV לצד כל היתרונות של 4 Apple TV מדובר בסטרימר עם ממשק מתקדם בעל יכולות טכנולוגיות חדשניות שמאפשר צפייה באיכות HD ועם גישה מלאה לשירותי Apple השונים הכוללים מעל 8000 אפליקציות אפל
36782,20161128,2016-11-28,שי גבסו,"2,000+",מי הבויפרנד החדש של שי גבסו,הזמר המופנם שהיה שם לצד נינט ושירי מימון בשלישיית הגמר הראשונה של כוכב נולד שינה מסלול בגיל 32 ומציג בן זוג חדש הבחור הוא אימרי כלמן בן שלושים הוא פעיל מאוד במאבקים לשוויון לחברי הקהילה הלהטבית אבל גם במסיבות ובחיי הלילה של הקהילה בבעלותו מועדונים בולטים בתל אביב אותם נוהג לפרסם בעוד הוא לא מכחיש את מה שפורסם גבסו עצמו לא מגיב המנהלת שלו טוענת שהפרסומים באתרים שגויים נזכיר שגבסו שינה לא מעט בחייו מאז שעם ישראל נחשף אליו בכוכב נולד הוא היה דתי לפני ארבע שנים נפרד מהכיפה והספיק להתחתן ולהתגרש
36783,20161129,2016-11-29,Chapecoense,"5,000+",AmericasBrazils Chapecoense Soccer Team Devastated as Plane Crash Kills Dozens,But over the mountains near Medellín Colombia the plane carrying the members of Chapecoense a soccer team from a scrappy industrial city in Brazil made an emergency call on Monday night after experiencing an electrical failure the authorities say
36784,20161129,2016-11-29,Louisa May Alcott,"50,000+",Louisa May Alcott Google Doodle Celebrates 184th Birthday,Google has rolled out a new doodle to celebrate what would have been the 184th birthday of Louisa May Alcott the beloved US author who penned the classic childrens novel Little Women Alcott a suffragist abolitionist and feminist as well as a
36785,20161129,2016-11-29,עמונה,"1,000+",אם הייתה לגליל שדולה כמו של עמונה הכל היה נראה אחרת,ועדת הכלכלה של הכנסת בראשות חכ איתן כבל ציינה היום את יום הגליל בכנסת שארגנו ראשי שדולת הגליל חברי הכנסת איתן ברושי מוטי יוגב בצלאל סמוטריץ ואייל בן ראובן בדיון על בפיתוח מקורות תעסוקה בגליל היור כבל אמר כבר בפתח הישיבה כי בשבוע שעבר קיימנו דיון בנושא הדרום ומבלי לעשות השוואות התחושה שלי היא שיש מדינה בין גדרה לחדרה וזה לא קלישאה כל המילים הכי גבוהות מתחילות מחדרה וצפונה אבל מעשים כמעט ואין אילו הייתה לכם שדולה כמו שחכ יוגב מפעיל על עמונה הכל היה נראה אחרת חכ איתן ברושי אמר כי צריך
36786,20161129,2016-11-29,שאפקואנסה,"2,000+",אסון שאפקואנסה דיווח חי השוער שניצל איבד את שתי רגליו בניתוח,המטוס כלל את חברי קבוצת שאפקואנסה הברזילאית שהיו בדרכם למשחק הראשון בגמר הקופה סוד אמריקנה נגד אתלטיקו נאסיונל משחק שהיה אמור להיערך בלילה שבין רביעי לחמישי בשעה 0145 על פי שעון ישראל על פי הרשויות 75 נהרגו ושישה ניצלו מטוס הצארטר היה בדרכו מבוליביה והוא אותת על מצב חירום בדרכו לקולומביה הסיבה להתרסקות הייתה ככל הנראה מחסור בדלק הקבוצה הייתה צריכה לטוס בטיסה ישירה למדיין אבל הרשויות בברזיל אסרו עליה להשתמש בה ובשל כך נאלצו להחליף טיסה עם עצירה בבוליביה מזג האוויר הגשום באזור הקשה מאוד על
36787,20161130,2016-11-30,Gooligan,"2,000+",Android Gooligan Hackers Just Scored The Biggest Ever Theft Of Google Accounts,More than a million Android phones are infected with Gooligan a strain of malware Google is fighting in earnest Cybercriminals used the spyware to steal 13 million Google accounts in the last four months researchers warned AP PhotoPaul Sakuma
36788,20161130,2016-11-30,Guns N Roses,"1,000+",5 Things Guns N Roses Should Do on Their 2017 Tour,Guns N Roses dont have a huge catalog especially since they arent going to play more than three or four Chinese Democracy tunes and six Use Your Illusion songs each night Eliminate songs like Get in the Ring and One in a Million thatll simply
36789,20161130,2016-11-30,Jagdish Chandra Bose,"50,000+",Who Is Jagdish Chandra Bose Google Doodle Honors Indian Scientist,Google has often used its homepage Doodle to celebrate famous but perhaps lesser known figures from science and world history and Wednesday it stayed true to form by honoring scientist and pioneer Jagdish Chandra Bose on his 158th birthday Bose
