index,dayId,date,name,traffic,newsTitle,newsSnippet
44452,20161128,2016-11-28,Asiste,"5,000+",Asiste Jefe de Gobierno al 5º Informe de Actividades de la,Inicio  Notimomento  Asiste Jefe de Gobierno al 5º Informe de Actividades de la magistrada Yasmín Esquivel Mossa Asiste Jefe de Gobierno al 5º Informe de Actividades de la magistrada Yasmín Esquivel Mossa webuno 28 noviembre 2016 Notimomento
44453,20161128,2016-11-28,Bancomer,"50,000+",Seguros BBVA Bancomer acelerará su crecimiento en 2017,El vicepresidente y director general de BBVA Bancomer Eduardo Osuna Osuna destacó el liderazgo de la empresa dentro del segmento banca seguros al tener el primer lugar dentro de este rubro en autos y daños así como al estar dentro de los tres
44454,20161128,2016-11-28,Banorte,"50,000+",Invierte Banorte 3 mil 475 mdp en renovación de sucursales,Banorte aseguró que la asesoría personalizada y atención al cliente se mantendrán en las sucursales se renovarán los cajeros automáticos y no se despedirá a ningún empleado de sus sucursales Actualmente Banorte opera más de mil 100 sucursales en
44455,20161128,2016-11-28,CFE,"20,000+",Presuntos contratistas de CFE estafan con cambio de medidores,Hasta el momento ni la CFE ni las autoridades han dado una solución a los vecinos que fueron estafados ni tampoco les han aportado datos de cómo localizar a los extorsionadores Nezahualcóyotl Estado de México Varios vecinos de la colonia Benito
44456,20161128,2016-11-28,Cuentos,"10,000+",Abierta convocatoria al Premio Nacional de Cuento Joven Comala,El Gobierno del Estado a través de su Secretaría de Cultura y la Secretaría de Cultura Federal invitan a todos los interesados en la literatura a participar en la convocatoria del Premio Nacional de Cuento Joven Comala 2017 que consiste en enviar
44457,20161128,2016-11-28,Cyber Monday Mexico,"10,000+",Llega el Cyber Monday más atractivo que el pasado Buen Fin,CIUDAD DE MÉXICO Hoy por primera vez diferentes tiendas en línea traerán a México el llamado Cyber Monday donde se ofrecerán descuentos hasta de 40 por ciento sobre el precio regular de artículos tecnológicos se estima que incluso sean ofertas
44458,20161128,2016-11-28,Derechos Humanos,"5,000+",Dan el Premio Nacional de Derechos Humanos 2016 a Rodolfo,Ciudad de México Por su distinguida labor en la promoción efectiva y en la defensa de las garantías fundamentales de las comunidades y pueblos indígenas el sociólogo y antropólogo Rodolfo Stavenhagen Gruenbaum recibirá post mortem el Premio
44459,20161128,2016-11-28,HSBC,"50,000+",Columnas financieras del 28 de noviembre Pesodólar inflación,El banco más grande del mundo occidental HSBC ha decidido quedarse en México e ir por una expansión orgánica para llegar a tener más de cuota de mercado Para el director de HSBC México Nuno Matos nuestro país tiene claras ventajas y potencial
44460,20161128,2016-11-28,IMSS,"20,000+",Descarta IMSS más personas contaminadas en La Raza,Como parte del protocolo de seguridad de Protección Civil se aisló a 40 derechohabientes y 25 trabajadores Foto Cortesía IMSS 28112016 1448 Perla Miranda Ciudad de México A A Un paciente intoxicado por fosfuro de aluminio fue atendido
44461,20161128,2016-11-28,Maps,"100,000+",Google Maps ayudará a encontrar baños limpios en la India,La búsqueda de baños podrá hacerse tanto en inglés como en hindi  Foto Tu Experto Publicado 28 noviembre 2016 Hace 47 minutos Comentarios Aumenta tamaño de Texto  Disminuye tamaño de Texto
