index,dayId,date,name,traffic,newsTitle,newsSnippet
46601,20161128,2016-11-28,Anna Flanagan,"5,000+",Anna Flanagan hockeybabe én ongeleid projectiel,Daar gaan we wéér moet menig hockeyliefhebber in Australië hebben gedacht toen afgelopen weekend bekend werd dat Anna Flanagan uit de nationale ploeg is gezet De hockeybond van de Ozzies wil de exacte reden niet prijsgeven en houdt het bij
46602,20161128,2016-11-28,Anna Nina,"2,000+",Anna Nooshins sieradencollectie voor Anna  Nina is vanaf vandaag te shoppen,Anna Nooshin sloeg de handen ineen met het fijne Anna  Nina voor een collectie prachtige oorbellen en ander fonkelend moois Vanaf vanmiddag om 1200 uur stipt is de collectie online te shoppen en wij gokken zo dat de site het zwaar gaat krijgen
46603,20161128,2016-11-28,Cyber Monday Deals,"5,000+",Cyber Monday Deals 2016  De beste kortingen op games,Cyber Monday de maandag die volgt op Black Friday is in Amerika de dag dat consumenten hun digitale winkelmandje kunnen vullen bij online webshops Op deze dag geven veel webshops hoge kortingen op hun producten en we kunnen in Nederland
46604,20161128,2016-11-28,F1,"20,000+",Rosberg dankt F1wereldtitel aan Schumacher,Nico Rosberg bedankt landgenoot voormalig teamgenoot en zevenvoudig F1wereldkampioen Michael Schumacher voor de hulp bij het behalen van Rosbergs eerste wereldtitel Hij heeft een aandeel in mijn titel stelde de kersverse wereldkampioen na
46605,20161128,2016-11-28,Kindgebonden budget,"2,000+",Kindgebonden budget voor eerste en tweede kind omhoog,Bijna 800 duizend gezinnen krijgen volgend jaar meer geld Het kindgebonden budget voor het eerste en tweede kind gaat omhoog met maximaal 100 euro per kind Dat staat in een Algemene Maatregel van Bestuur die minister Asscher maandag naar de
46606,20161128,2016-11-28,Michael van Gerwen,"5,000+",Topfavoriet Van Gerwen loot qualifier op WK darts,Michael van Gerwen heeft maandag bij de loting van het WK darts PDC geen grote naam getroffen De Nederlandse nummer één van de wereld moet het in de eerste ronde opnemen tegen een qualifier Hij treft de winnaar van de wedstrijd Ross SnookKim
46607,20161128,2016-11-28,Treinongeluk Nijmegen,"2,000+",Voetgangers en hun honden gedood bij aanrijding met trein in Nijmegen video,NIJMEGEN  Bij een ernstig treinongeluk in Nijmegen zijn maandagmorgen twee personen om het leven gekomen Volgens de politie zijn de voetgangers samen met enkele honden de spoorwegovergang in de Sionsweg overgestoken terwijl de
46608,20161128,2016-11-28,Ziggo Sport,"20,000+",Ziggo Sport blikt terug op succesvol Formule 1seizoen,Het succes van de Nederlandse coureur zorgde er tevens voor dat betaalzender Ziggo Sport beter werd bekeken Het kijkcijferrecord van de zender kwam op 14 miljoen terecht De komende week blikt Ziggo Sport terug op het Formule 1seizoen 2016
46609,20161129,2016-11-29,Chapecoense,"50,000+",Clubs willen spelers uitlenen aan Chapecoense,Braziliaanse voetbalclubs willen komend seizoen spelers uitlenen aan Chapecoense Daarnaast willen ze ook dat de zwaar getroffen club de komende drie jaar niet kan degraderen Chapecoense raakte maandag een groot deel van de selectie kwijt bij de
46610,20161129,2016-11-29,Healthy People,"5,000+",Healthy People sap meest misleidende product,Van de 24000 mensen die aan de publieksverkiezing van het Gouden Windei hebben meegedaan stemde 36 procent voor de Healthy Peoplesap Foodwatch maakte de uitslag maandag bekend in het programma Radar van AVROTROS Volgens de
46611,20161129,2016-11-29,Kim Feenstra,"5,000+",Kim Feenstra is heel blij met nieuwe vriend,De 31jarige Feenstra wil niet al te veel kwijt over haar relatie Ik vind deze relatie echt iets voor mijzelf en niet iets voor de rest van Nederland Maria Tailor wil er wel meer over vertellen We zijn blij om haar in de familie te hebben Ze is
46612,20161129,2016-11-29,Lil Kleine,"10,000+",Lil Kleine Ik wil iets volwassener worden,De documentaire is nog niet eens uitgezonden maar Linda Hakeboom haalt nu al alle voorpaginas met haar BNNserie Lindas Mannen dankzij één van de heren die zij volgde Lil Kleine De rapper heeft maandagavond in RTL Late Night namelijk
46613,20161129,2016-11-29,Raja Draaisma,"2,000+",Twaalf jaar cel voor moordenaar Raja Draaisma,Draaisma deed in april 2014 een melding bij de politie omdat ze afluisterapparatuur in haar woning had gevonden Ze deed toen geen aangifte omdat ze het gesprek met haar ex wilde aangaan De G had een wapenvergunning door zijn lidmaatschap bij
46614,20161129,2016-11-29,Sint Pannekoek,"10,000+",Sint Pannekoek in de eerste plaats vooral een ludieke traditie,Het Sint Pannekoekfeest groeit de laatste jaren steeds meer in omvang en populariteit Toch moet de traditie waarbij mensen op 29 november een pannenkoek op hun hoofd leggen voor het goede doel in de eerste plaats een ludieke gebeurtenis blijven
46615,20161129,2016-11-29,Soof 2,"5,000+",Soof 2 in première in Amsterdam,Bekend Nederland heeft zich maandag opgedoft voor de première van Soof 2 in het DeLaMar Theater in Amsterdam Hoofdrolspelers Lies Visschedijk Fedja van Huêt Dan Karaty Achmed Akkabi en Daan Schuurmans verzamelden zich aan het begin van
46616,20161129,2016-11-29,Storing Rabobank,"10,000+",Rabobank kampt met storing aan internetbankieren,De storing begon aan het eind van de middag en lijkt zich over heel Nederland voor te doen Het is nog niet duidelijk wat de storing veroorzaakt Rabobank laat op Twitter weten te werken aan een oplossing maar een tijd wordt daar niet voor gegeven
46617,20161129,2016-11-29,Tsjernobyl,"5,000+",Nieuwe sarcofaag Tsjernobyl is grootste beweeglijke bouwsel ooit,Reactor nr 4 in Tsjernobyl heeft een nieuwe sarcofaag Een reusachtige kap van 36 miljoen kilo moet de plek waar op 26 april 1986 de grootste kernramp uit de geschiedenis plaatsvond voor de komende honderd jaar hermetisch afsluiten van de
46618,20161130,2016-11-30,Cheryl Cole,"10,000+",Liam Payne wordt vader,Of vriendin Cheryl Cole heeft te veel gegeten of ze is zwanger Het koppel is samen gezien tijden het St James Christmas Carol Concert in Londen waar het er op lijkt dat de zangeres een buikje heeft Het stel heeft zelf nog niks losgelaten over de
46619,20161130,2016-11-30,Elena Demidova,"5,000+",Deze vrouw werd gefilmd toen ze naakt in huis liep Nu wil ze iedereen,Elena Demidova 28 woont al enkele jaren in het Nederlandse dorpje De Lier Ze had die bewuste ochtend haar bril niet op Ze zag dan ook niet dat er mensen aan de overkant van de straat werkten bij het oude gemeentehuis dat momenteel gesloopt wordt
46620,20161130,2016-11-30,Estavana Polman,"2,000+",Estavana had nieuwe vriend Rafael iets groter verwacht,Profvoetballer Rafael van der Vaart 33 en zijn vriendin de 24jarige tophandbalster Estavana Polman wonen sinds dit jaar samen in de Deense plaats Esjberg De sportglossy Helden sprak hét liefdeskoppel van 2016 daar en kreeg geinige relatiedetails
46621,20161130,2016-11-30,Feyenoord City,"2,000+",Feyenoord City vervult hartenwens stadionclub,Feyenoord zet hoog in met Feyenoord City op Zuid Een nieuw stadion voor Feyenoord à 365 miljoen euro een opgeknapte huidige Kuip mét bierbrouwerij en woningen een megabioscoop hotels en n woonwijk wel 1600 woningen groot Dit plan
46622,20161130,2016-11-30,Keo Woolford,"10,000+",Acteur Keo Woolford 49 overleden,Hij wilde volgens zijn agent graag een vervolg maken op deze prijswinnende film Het script voor het tweede deel was net af In januari zouden de audities beginnen Zijn collegas uit de cast van de Veronicaserie reageren geschokt op het overlijden
46623,20161130,2016-11-30,Ruth Jacott,"5,000+",I Am Aisha en Ali B remixen met Ik Ga Het Maken hit van Ruth Jacott,Vanavond is er een nieuwe aflevering van Ali B op Volle Toeren te zien met daarin te gast I Am Aisha I Am Aisha gaat op bezoek bij Ruth Jacott die een hit te pakken had met het songfestivalnummer Vrede Vanavond is de hele aflevering met I Am Aisha
46624,20161130,2016-11-30,Willem Holleeder,"2,000+",Het verhaal van Astrid klopt niet zegt Willem Holleeder,Als het niet over mij zou gaan zou ik ook geschokt zijn Maar dit is het verhaal van Astrid En dat klopt niet Dat zei Willem Holleeder vandaag in het proces over zijn mogelijke rol bij liquidaties in de Amsterdamse onderwereld Voor het eerst
46625,20161130,2016-11-30,referendum Rotterdam,"2,000+",Referendum in Rotterdam niet geldig opkomst te laag,Het referendum in Rotterdam is ongeldig Bij de raadpleging van de bevolking over het woningbeleid zijn niet genoeg mensen gaan stemmen om de opkomstdrempel te halen Bij het sluiten van de stembureaus om 2100 uur bleek dat de opkomst niet hoger
46626,20161201,2016-12-01,Big Mac,"2,000+",De geniale vondst van de vader van de Big Mac,Ik denk dat je als culinair man tevreden mag sterven als je zoiets bedacht hebt zegt topkok Pierre Wind lovend De hele wereld weet wat een Big Mac is Hij heeft een precedent geschapen voor allerlei nieuwe burgers stapels van zes lagen acht
46627,20161201,2016-12-01,Dolly Parton,"5,000+",Dolly Parton schenkt duizenden dollars aan slachtoffers bosbrand,Zangeres Dolly Parton 70 staat slachtoffers van bosbranden in de Great Smoky Mountains in de Amerikaanse staat Tennessee het komende halfjaar bij Ze geeft de getroffen families zes maanden lang duizend dollar om er weer bovenop te komen
46628,20161201,2016-12-01,Emily Ratajkowski,"5,000+",Emily Ratajkowski boos over boek,Emily Ratajkowski heeft uitgehaald naar fotograaf Jonathan Leder die zonder haar toestemming een boek uitbracht met fotos van de actrice In Emily Ratajkowski Collectors Edition staan 105 pikante kiekjes van Emily die Jonathan in 2012 maakte De
46629,20161201,2016-12-01,Enzo Zidane,"5,000+",Enzo Zidane fijnbesnaarde middenvelder in uniek rijtje,Johan Cruijff en Jordi Cruijff Danny Blind en Daley Blind Cesare Maldini en Paolo Maldini Bob Bradley en Michael Bradley een greep uit de namen van coaches die hun zoon speeltijd gaven Woensdag kwam daar het duo Zinedine ZidaneEnzo Zidane bij
46630,20161201,2016-12-01,HTM,"5,000+",Bussen en trams HTM rijden niet vanwege staking,In de regioDen Haag houden trambestuurders en buschauffeurs een werkonderbreking De bussen en trams van de HTM rijden van 1000 uur tot 1400 uur niet De bestuurders zijn boos over de te krappe rijtijden en de werkdruk Voor reizigers komt de actie
46631,20161201,2016-12-01,Irina Shayk,"2,000+",Dit is waarom Irina Shayk niet enkel lingerie droeg tijdens Victorias Secretshow,Irina Shayk had opvallend veel aan tijdens de lingerieshow van Victorias Secret Daar was een goede reden voor Het dertigjarige topmodel zou zwanger zijn  getty De Russische schone die al anderhalf jaar samen is met Bradley Cooper maakte voor het
