index,dayId,date,name,traffic,newsTitle,newsSnippet
48968,20161129,2016-11-29,Ben Woodburn,"1,000+",Her blir Ben Woodburn 17 historisk for Liverpool,Divock Origi sendte Liverpool i ledelsen mot Leeds i det 76 minutt men ni minutter sørget Ben Woodburn for å kapre alle overskriftene etter å ha skrevet seg inn i historiebøkene på Anfield For etter sin fabelaktige 20scoring er 17åringen nå
48969,20161129,2016-11-29,Blac Chyna,"1,000+",Har rast ned i vekt etter fødselen  viste fram kroppen for nissen,SEOGHØRNO Den 10 november kunne Blac Chyna 28 Rob 29 og resten av Kardashianklanen juble i kor En ny Kardashian var født og den lille fikk navnet Dream Renée Den 28 år gamle modellen og realitystjernen har fra før sønnen King 4
48970,20161129,2016-11-29,Chapecoense,"10,000+",Brasils toppklubber samler seg om Chapecoense tilbyr gratis spillere og vil,81 mennesker nesten alle knyttet til fotballklubben Chapecoense var om bord i charterflyet som styrtet på vei til finalen i Copa Sudamericana Det er en finale som neppe blir spilt Bare fem personer skal ha overlevd krasjen tre av dem
48971,20161129,2016-11-29,Colonel Abrams,"1,000+",80tallsstjerne funnet død og hjemløs,Hans dødsfall ble offentliggjort på Facebook av DJ Tone Tune Herbert Jeg har nylig blitt kjent med at Colonel Abrams gikk bort på Thanksgiving et år etter at jeg og en gruppe av hans største fans kjempet for at han skulle la oss hjelpe ham skrev
48972,20161129,2016-11-29,Daily Mail,"1,000+",Delte bilder fra russetiden på sosiale medier Havnet på forsiden av britiske,I artiklene har begge avisene brukt Instagrambilder av norsk russ som illustrasjon hvorav flere av bildene viser delvis avkledd ungdom som poserer i russeklær Nettavisen har vært i kontakt med flere av ungdommene som er avbildet i Daily Mail
48973,20161129,2016-11-29,Final Fantasy XV,"2,000+",Denne sjefskampen ble svært bokstavelig i eksklusiv Final Fantasy XVdemo,For å feire lanseringen av Final Fantasy XV holdt Square Enix en offisiell livestream mandag der de viste fram en ny demo spesiallaget for anledningen I den nye Mystery discdemoen utforsket arrangørene en festival satt i byen Accordo som var fylt
48974,20161129,2016-11-29,Hyundai Ioniq,"1,000+",Årets Bil 2017 Ionisk ikon,Batterikapasitet og mer effektiv drift er stikkordene enten det gjelder elbil eller hybrid Allerede i dag leverer Ioniq Electric teoretiske 28 mil Det er helt i toppen av hva som tilbys i denne klassen i dag Men En Hyundaiingeniør i SørKorea
48975,20161129,2016-11-29,Iskra Lawrence,"1,000+",Supermodellen kastet klærne på Tbanen,til kroppspositivisten som vekket mest oppmerksomhet Videoen av den britiske supermodellen Iskra Lawrence som står i bare undertøyet og taler om kropp og selvbilde på en undergrunn i New York har gått som ild i tørt gress på internett den siste uka
48976,20161129,2016-11-29,Lersveen,"1,000+",Langrennssjefen om TV 2Lersveen  Flere løpere opplever ham som bøllete,Han er rask med å legge til at han er glad for at det nå ligger an til et forsoningsmøte mellom Sundby og Lersveen Begge har gjennom VG ytret ønske om et slikt møte  Det mest fornuftige for Martin meg og norsk langrenn er at vi to snakker sammen
48977,20161129,2016-11-29,Moss Avis,"2,000+",Har sendt ut advarsel om glatte veier etter flere trafikkuhell,Kulda har inntatt distriktet vårt og i helgen var det flere billister som kjørte av veien på det glatte føret Politiet i Østfold ber folk ta det forsiktig på veiene i kveld også  Vi får inn flere meldinger om glatte veier i distriktet Kjør
48978,20161129,2016-11-29,Solveig Kloppen,"1,000+",Jeg måtte lyve ganske mye for mannen min,Dagbladet I TV 2programmet Rett fra hjertet reiser programlederne Solveig Kloppen 45 og Samuel Massie 23 landet rundt for å møte folk som er villige til å strekke seg litt ekstra langt for en de er glad i Og i ukens episode er det faktisk
48979,20161129,2016-11-29,Therese Johaug,"1,000+",Svenskene og finnene skuffet  Formålet er å få Johaug klar til OL,Den svenske avisen Aftonbladet er kritisk til forslaget om 14 måneders utestengelse Johaug slipper billig unna er tittelen i Kristoffer Bergström sin kommentar Avisen har funnet ut at snittstraffen for bruk av det anabole steroidet som felte
48980,20161129,2016-11-29,Trine Skei Grande,"1,000+",Trine Skei Grande Venstre vurderer å bryte forhandlingene,Det er et alternativ ja sa Venstreleder Trine Skei Grande etter et krisemøte i partiet på Stortinget tirsdag Hun la til at Venstre skal konkludere i løpet av dagen Signalene kom etter en vurdering av det siste tilbudet regjeringspartiene hadde
48981,20161129,2016-11-29,UiT,"1,000+",Eksamensavvikling rammet av store nettverksproblemer på UiT,Situasjonen er uavklart men det er eksamener som pågår og det er vår første prioritet Alle påbegynte eksamener gjennomføres som planlagt og vi har backoppløsninger som er satt i verk forteller han Studenter som har hjemmeeksamen med
48982,20161129,2016-11-29,bilpakken,"1,000+",Frp nekter fortsatt å røre bilpakken,Det er godt for dem og for meg å gjøre opp status sier hun Jensen understreker at hun mener Frp har gått langt for å sikre et grønt skifte Hun mener bilpakken Frp har lagt fram inneholder avgiftsøkninger og omprioriteringer som er et viktig bidrag
48983,20161130,2016-11-30,Cheryl Cole,"5,000+",Cheryl Cole og Liam Payne kan ikke skjule graviditetet,SIDE2 Ryktene om at tidligere popstjerne og X Factordommer Cheryl Tweedy aka Cole aka fernandezVersini er gravid med One Directions Liam Payne har versert et par måneder  uten at de to har bekreftet eller avkreftet Men da paret tirsdag kveld
48984,20161130,2016-11-30,Iben Akerlie,"1,000+",10000 barn mener Iben Akerlie har skrevet årets barnebok,Skuespiller Iben Akerlie debuterte som forfatter 1 september  med et smell Knallkritikker og terningkast 6 i VG nominasjon til Bokhandlerprisen som eneste barnebok et opplag som nå er på 29000 og boken er solgt til flere land Nå har norske barn
48985,20161130,2016-11-30,Jerv,"2,000+",Ogungbaro sendte Grimstad til himmels  Jerv vant over Stabæk,GRIMSTAD fvnno 20åringen fra Nigeria scoret kampens eneste mål da Jerv slo Stabæk på Levermyr onsdag Målet kom etter 76 minutter da Stabæks keeper Mande Sayouba måtte gi en retur etter et frispark Den gikk på hodet til Ogungbaro som headet
48986,20161130,2016-11-30,Johaug,"1,000+",Spesiell hilsen fra Finland begeistret Johaug,Tirsdag ble det kjent at Påtalenemnda i Antidoping Norge har lagt ned en påstand om en utestengelse på 14 måneder for Therese Johaug som en følge av den positive dopingprøven fra i høst I helgen gikk verdenseliten sesongens første verdenscuprenn i
48987,20161130,2016-11-30,Manchester United,"2,000+",Nå begynner Nicenedturen for alvor,På onsdagens langoddsprogram er det mye å ta fatt i Arsenal og Manchester United skal ut i hver sine kvartfinaler i ligacupen mot henholdsvis Southampton og West Ham Ligue 1 stiller med en rekke spennende kamper og denne ligaen dominerer også på
48988,20161130,2016-11-30,Opec,"2,000+",Dette er Opeckuttene,Tross stor uenighet om byrdefordelingen vil altså Opec nå kutte produksjonen med 12 millioner fat per dag og setter et tak på 325 millioner fat per dag fra 1 januar  Det er historisk sus over dette sier Paretoanalytiker Trond Omdal til E24
48989,20161130,2016-11-30,Preben Stokkan,"1,000+",Preben Stokkan er norgesmester i poker,Blant dem som måtte kapitulere var blant annet regjerende Deep Stackmester Henrik Tollefsen Til slutt satt Preben Stokkan og Pojan Salim igjen Stokkan var av mange regnet som forhåndsfavoritt da turneringen begynte å spisse seg til og
48990,20161130,2016-11-30,Real Madrid,"2,000+",Ødegaard fra start for Real Madrid,Real har 71 å gå på fra første kamp og hviler en lang rekke av sine store stjerner i onsdagens returkamp Ødegaard spiller for annen gang for den spanske storklubbens Alag i en obligatorisk kamp og for første gang fra start Det er halvannet år
48991,20161130,2016-11-30,Sergej Karjakin,"2,000+",Magnus Carlsen skulle sørge for sjakkfeber men havnet i skyggen av Donald,KOMMENTAR VMkampen Magnus Carlsen mot Sergej Karjakin hadde en større misjon enn bare det å kåre en verdensmester Timingen kunne vært bedre Arrangementet også VMkamp i sjakk på Manhattan skulle skape nye muligheter og sørge for
48992,20161130,2016-11-30,Sjakk Vm 2016,"20,000+",Elleville sjakktall Spår seerdobling i Carlsens siste VMdrama,VGTV lader opp til matchen fra klokken 1915 og som TVseer er du garantert å se minst tre  og maksimalt fire  partier med hurtigsjakk mellom det norske sjakkgeniet og Sergej Karjakin etter at det endte 66 i vanlig langsjakk på mandag  Vanskelig
48993,20161130,2016-11-30,Stripe,"1,000+",Nå er disse irske brødrene dollarmilliardærer,Den nettbaserte betalingstjenesten Stripe har akkurat fullført en pengeinnsamling hos private investorer Her fikk det fremadstormende teknologiselskapet inn 150 millioner dollar i fersk kapital men kanskje viktigere er den summen som investorene nå
48994,20161201,2016-12-01,Alan Walker,"1,000+",Kygo og Alan Walker topper hver sin Spotifyliste,Alan Walker har den mest spilte låten i Norge gjennom 2016 med Faded mens singelen hans Sing Me to Sleep som ble sluppet i juni er den sjette mest spilte låten i Norge Den andre nordmannen på topp 10listen over de mest spilte låtene i år er
48995,20161201,2016-12-01,Bella Hadid,"5,000+",Bildene av Bella Hadid og ekskjæresten The Weeknd går verden rundt  Ikke kleint,Dagbladet I natt gikk det verdenskjente moteshowet til undertøysgiganten Victorias Secret av stabelen i Paris Arrangementet er kjent for sine fantastiske sceneshow modeller som Bella Hadid Kendall Jenner og Alessandra Ambrosio i glitrende
48996,20161201,2016-12-01,Irina Shayk,"2,000+",PEOPLE Irina Shayk er gravid med Bradley Cooper,En kilde har sagt til ENews at Irina gleder seg masse til å bli mor og at Shayk skal være inne i sitt andre trimester Shayk og Cooper har vært kjærester siden våren 2015 ikke lenge etter Shayks brudd med Cristiano Ronaldo og Coopers brudd med
48997,20161201,2016-12-01,Julekalender 2016,"10,000+",Bak hver luke er det en ny farlig forbryter Slik har du aldri sett en,Slik har du aldri sett en julekalender før Øystein Kløvstad Langberg Europakorrespondent Oppdatert 01des2016 1703 Publisert 01des2016 0927 Hver dag vil en ny luke åpnes med et nytt land og en ny forbryter bak FOTO Skjermfoto Europol
48998,20161201,2016-12-01,Netflix Offline,"1,000+",Netflix kan nå lastes ned og ses offline,God nyhet for Netflixbrukerne NETFLIX Nå kan du se Netflixfavorittene også uten nettilgang som Stranger Things DEL Side2no Netflix har annonsert at det skal bli mulig å laste ned filmer og serier for å se dem offline Tjenesten skal være
48999,20161201,2016-12-01,Rana Blad,"2,000+",Rana kommune står overfor store utfordringene Antall eldre blir flere og,I lederartikkelen i Rana Blad 18november skrives det at det er ingen som går i protesttog for flere sykehjemsplasser og omsorgsboliger Verken barn eller barnebarn er opptatt av eldrebølgen og det må sies at det er heller ikke er mange politikere som
49000,20161201,2016-12-01,Selje Hotel,"1,000+",Tre siktet i forbindelse med brannen på Selje Hotel,Romfløyen på Selje hotell i Selje i Sogn og Fjordane ble fullstendig nedbrent etter at det natt til fredag forrige uke brøt ut brann på hotellet 37 mennesker som bor i nærheten av hotellet ble evakuert Selje kommune har 2800 innbyggere av disse bor
49001,20161201,2016-12-01,Sergey Karjakin,"1,000+",Hver femte nordmann så sjakkdramaet i natt,Det er nok en del trøtte nordmenn på jobb i dag  for hver femte satt ut over natten og så Magnus Carlsen sette Sergey Karjakin sjakk matt Publisert 01122016 133133 av Ole Martin Sjetne DelDel 764 000 fulgte hele sendingen fra start til slutt
49002,20161201,2016-12-01,Sjakk Vm 2016 Nrk,"1,000+",NRK tok sjakkmatt på konkurrentene 764000 fulgte Carlsens VMbragd,har rundt 200000 seere fulgt alle partiene i årets verdensmesterskap selv når partiene har strukket seg til langt på natt NTB SjakkVM 2016 Regjerende mester Magnus Carlsen vant sjakkVM over Sergej Karjakin fra Russland etter omspillet i
49003,20161201,2016-12-01,Snøfall,"10,000+",Siri 11 er barnestjerne i NRKs julekalender,Siri er Selma i Snøfall Reisen Julenissen Julius i Trond Høviks skikkelse mener Selma som Siri Skjeggedal spiller legger ut på en viktig reise hvor hun blir kjent med seg selv FOTO KNUT BJERKE DEL Det siste året har Siri Skjeggedal reist til
49004,20161201,2016-12-01,VGTV,"2,000+",Petter Dassprisen til VGTVjournalist,Petter Dassprisen til VGTVjournalist Journalist Rut Helen Gjævert er tildelt årets Petter Dasspris for debatten hun startet gjennom TVserien Frelst NTB Publisert 01 desember 2016 kl 2029
49005,20161201,2016-12-01,Victoria Secret,"2,000+",Victorias Secret fashion show Kendall Jenner hylles av søstrene etter å ha,I fjor gikk hun i sitt første Victorias Secretshow noensinne I natt gjorde hun sin debut som Victorias Secretengel på undertøysgigantens verdenskjente moteshow i Paris Englene har bedre vilkår som modeller for merket og er en enda mer
49006,20161201,2016-12-01,desember,"1,000+",Velkommen til Nissemoropå Sæteren Gård 4desember,Kom i skikkelig julestemning Ta med hele familien slekt og venner til Sæteren Gård i Bærum søndag mellom klokka 1130 og 1500 Nissen kommer også det blir juleverksted eventyrfortellinger julegrøt og enda mer Søndag byr vi på en skikkelig
49007,20161201,2016-12-01,hjerteflimmer,"1,000+",Avslører årsaken til Kallaps uforståelige kollaps Samme skjebne som Jörgen,Kallas kollaps var på grunn av hjerteflimmer sier landslagslege Per Andersson i en pressemelding fra det svenske skiforbundet  Under undersøkelsene tirsdag og i dag kjenner vi oss trygge på at det er ingen fare for Charlotte kan begynne å trene
49008,20161201,2016-12-01,julekalender,"10,000+",Lanserer julekalender med forbrytere på flukt,Den europeiske politiorganisasjonen Europol har lansert en julekalender som vekker oppsikt Bak hver luke i kalenderen skjuler det seg en av Europas mest etterlyste ANNONSE Les også Over 100 pågrepet i opprullingen av menneskesmuglerliga
49009,20161202,2016-12-02,Andrew Sachs,"2,000+",Skuespiller Andrew Sachs er død,Skuespiller Andrew Sachs er død pKOMIKERDUO Andrew Sachs som kelneren Manuel i TVserien KOMIKERDUO Andrew Sachs som kelneren Manuel i TVserien Hotell i særklasse Her sammen med serieskaper John Cleese i rollen som Basil
49010,20161202,2016-12-02,James Mattis,"2,000+",James Mattis blir forsvarsminister,James Mattis blir forsvarsminister Donald Trump bekrefter at han vil utpeke den pensjonerte generalen James Mattis som forsvarsminister 66åringen er en tidligere general i det amerikanske forsvaret Trump bekreftet utnevnelsen i en tale i Cincinatti
49011,20161202,2016-12-02,Matkontrollen,"1,000+",Fullstendig ribbeslakt i stor smakstest,Jeg har ei lysende stjerne på grisehimmelen så har jeg et par som er bra og så har jeg to som jeg ikke hadde putta i krabbeteina engang For å gjennomføre testen fikk Matkontrollen hjelp av kjøkkensjef Robin Wold på den ærverdige restauranten
49012,20161202,2016-12-02,Mila Kunis,"1,000+",Mila Kunis og Ashton Kutcher har fått sitt andre barn,Å oppdra dette lille mennesket det er en balansegang men du lærer å være en god partner en god kone kvinne være deg selv og samtidig være ansvarlig for et barn Det er en læringsprosess Kunis er best kjent for rollen som Jackie i
49013,20161202,2016-12-02,Nico Rosberg,"1,000+",Formel 1stjerna Nico Rosberg med sjokkbeskjed Legger opp,Nå har jeg nådd det sier Rosberg Lagkamerat Lewis Hamilton gjorde det han kunne i VMkampen mot Nico Rosberg men selv seier i sesongavslutningen i formel 1 holdt ikke til å bli verdensmester da Rosberg ble nummer to Rosberg ville bli mester om
49014,20161202,2016-12-02,Nytt på nytt,"2,000+",Siste Nytt på nytt for Almaas,Livet mitt opphører rett og slett og starter på nytt i 2017 fortsetter Almaas I fredagens program har laglederne Pernille Sørensen og Johan Golden selskap av gamle kjente Linn Skåber og Knut Nærum som begge har vært lagledere i satireprogrammet
49015,20161202,2016-12-02,Richard Branson,"1,000+",Virgingründer Richard Branson  Ser på romferd fra NordNorge for å se,Et prosjekt vi jobber med er å gjøre en oppskyting fra NordNorge og fly inn i nordlyset Vi har hatt utrolig mange mennesker som har sagt at de har lyst til å gjøre dette sa Virgingründer Sir Richard Branson på foredraget på seminaret
49016,20161202,2016-12-02,Snekker Andersen,"2,000+",Snekker Andersen på Rennesøy,Du må være innlogget og ha gyldig tilgang for å lese resten av denne artikkelen Er du abonnent har du tilgang til alt innhold på Bygdebladetno Hvis du allerede har abonnement logg inn via Min Side Logg inn
49017,20161202,2016-12-02,Vinjerock,"2,000+",Vinjerock utsolgt på to sekunder,Vinjerock har nok en gang har solgt ut alle festivalbillettene på svært kort tid Samtidig vet hun at mange satt klar og forgjeves forsøkte å få tak i billett  Vi er så heldige at vi har stor pågang denne dagen noe som innebærer at det garantert
49018,20161202,2016-12-02,Ylva Olaisen,"2,000+",Thosebricks og Ylva Olaisen til finalen i The Stream,Fredag kveld ble avgjørelsen tatt av det norske folk Det er Thosebricks 28 og Ylva Olaisen 16 som er videre til neste lørdags finale i The Stream  Jeg fikk sjokk Dette er alt jeg drømmer om sier Thosebricks samtidig som Ylva tørker tårene ved
49019,20161203,2016-12-03,Aksel Lund Svindal,"1,000+",Lund Svindal Jeg er god til å være realistisk,I VM i Beaver Creek samme sesong tok han 6 plass i superG og utfor 23 januar 2016 falt Aksel Lund Svindal i utforrennet i Kitzbühel Fremre korsbånd i høyre kne røk Comeback 2 desember i verdenscupen i superG i Val dIsere 2 plass 17100 bak
49020,20161203,2016-12-03,Bmw I3,"1,000+",Søk på tv2no,i3 kom til verden i 2013 Og således er det ikke unaturlig at det kan komme en facelift neste år Nyhetsbyrået Reuters rapporterer at kilder i BMWsystemet sier det kommer en fornyet utgave i 2017 Rekkevidden skal bli betydelig bedre enn 300 kilometer
49021,20161203,2016-12-03,Chelsea,"1,000+",Chelsea kontret Manchester City i filler  to røde på overtid,Manchester City  Chelsea 13 Manchester City ledet 10 og dominerte stort på hjemmebane men så våknet formlaget Chelsea med toppscorer Diego Costa 28 og formsterke Eden Hazard 25 i spissen
49022,20161203,2016-12-03,El Clasico,"5,000+",Sergio Ramos ga Barcelona en skikkelig kalddusj i El Clásico,Se høydepunkter fra El Clásico i Sportsnyhetene øverst Det var Ramos fjerde scoring i El Clásicooppgjør totalt Dermed endte El Clásico med U på Tippekupongen og Real Madrid topper fremdeles La Liga med seks poeng og er fremdeles ubeseiret i
49023,20161203,2016-12-03,Erna Solberg,"1,000+",Bekrefter enighet om budsjettet,Jeg vil ikke underslå at årets budsjettarbeid har vært mer krevende enn tidligere og man må gi og ta for å få enighet og det har alle gjort sa Statsminister Erna Solberg H på en pressekonferanse lørdag kveld Statsministeren var flankert av Frp
49024,20161203,2016-12-03,Hva Er Manisk,"2,000+",Recap SKAM sesong 3 episode 8 SKAM episode 8 Det starter så,Even sier det er slutt mellom dem Han er drittlei av at hun skal kontrollere ham fortelle ham hva han skal føle hva han skal tenke Også eskimonusser de også snakker vi ikke mer om det for begge er enige om at de aldri har følt det sånn som det
49025,20161203,2016-12-03,Jessica Diggins,"2,000+",Jessica Diggins triumfferd Fikk beskjed om å være gal Diggins svarte med å,Astrid Uhrenholdt Jacobsen gjorde sesongens beste løp da hun tok ledelsen i mål på Lillehammer men endte til slutt på 4 plass Like etter kom Jessica Diggins og viste hvor god hun kan være i korte fristilsrenn og overtok ledelsen med hele 16 sekunder
49026,20161203,2016-12-03,Real Madrid,"2,000+",Ødegaard ble byttet ut da seieren glapp for Real Madrid Castilla,Martin Ødegaard og Real Madrid Castilla reddet uavgjort med to mann utvist Her fra cupkampen mellom Real Madrid og Cultural Leonesa FOTO Johansen Erik  NTB scanpix Utvisning ødela Castilla tok ledelsen etter 17 minutter ved Javier Sanchez men
49027,20161203,2016-12-03,Statsbudsjettet 2017,"1,000+",Partiene har funnet en løsning på statsbudsjettet,Dagbladet Kilder bekrefter overfor Dagbladet at de lørdag kveld skal presentere en løsning på statsbudsjettet Klokka 19 holder de fire partiene pressekonferanse i lokalene til ASKO Norge følg livesendingen øverst i saken  Vi presenterer en
