index,dayId,date,name,traffic,newsTitle,newsSnippet
58861,20161128,2016-11-28,Александр Куликов,"10,000+",Третьим погибшим при падении вертолета в Крыму оказался актер Александр Куликов,В результате падения частного вертолета марки Robinson в Крыму погибли три человека Одним из пассажиров воздушного судна оказался актер и продюсер Александр Куликов Об этом изданию Комсомольская правда в Крыму в понедельник 28 ноября рассказал источник из
58862,20161128,2016-11-28,Барселона,"5,000+",Альба в субботу Барселона будет отставать от Реала на три очка,Защитник Барселоны Хорди Альба не сомневается в том что в предстоящем матче 14го тура чемпионата Испании с мадридским Реалом его команда одержит победу Альба сказал это после выездной встречи 13го тура Примеры с Реалом Сосьедад которая окончилась
58863,20161128,2016-11-28,Научи меня жить,"10,000+",На этой неделе Первый канал завершает показ сериала Научи меня жить,23 ноября на Первом канале стартовал психологический детектив Научи меня жить Напомним режиссером 12серийного телефильма выступил Валентин Донсков а главные роли исполнили звезда сериала Нюхач Кирилл Кяро и Елена Подкаминская Научи меня жить
58864,20161128,2016-11-28,Николай Дроздов,"5,000+",Николай Дроздов сбил женщину в Москве,Она шла не оглядываясь Я не мог подумать что так произойдет  цитирует телеведущего РЕН ТВ Отметим Николай Дроздов часто пользуется автомобилем но предпочитает ему велосипед С удовольствием при любой возможности пересаживаюсь с автомобиля на велосипед пару
58865,20161128,2016-11-28,Отель Элеон,"50,000+",В честь старта сериала Отель Элеон Metro разобралось в изнанке гостиничного бизнеса,На СТС стартует сериал Отель Элеон  продолжение популярного сериала Кухня правда теперь к полюбившимся героям из ресторана Victor добавятся новые персонажи из отеля Журналист Metro посмотрел пару серий вместе с горничной московского отеля консультантом
58866,20161128,2016-11-28,Рождественский пост,"10,000+",Рождественский пост2016 Календарь питания,Рождественский пост каждый год начинается 28 ноября и заканчивается перед Рождеством  6 января Тут православный календарь обходится без плавающих дат как в случае с Великим или с Петровым постами Рождественский  довольно длинный пост он продолжается 5 недель
58867,20161128,2016-11-28,София сериал,"20,000+",Канал Россия 1 начинает показ сериала София,На канале Россия 1 начинается сериал София  многосерийный рассказ о том как София из династии Палеологов стала женой московского князя и привезла на Русь знаменитую библиотеку которую благодарные потомки назовут именем ее внука и потеряют
58868,20161128,2016-11-28,пожар в Ижевске,"5,000+",Пожар на складе в Ижевске начался с возгорания холодильника,Москва 27 ноября INTERFAXRU  Пожар на складе в воскресенье в Ижевске начался с возгорания холодильника тушение продолжается сообщает прессслужба ГУ МЧС России по Удмуртии Поступило сообщение о возгорании холодильника на складе хранения товаров  сказали в
58869,20161129,2016-11-29,Final Fantasy XV,"10,000+",Ролевая игра Final Fantasy XV вышла в релиз,Компания Square Enix выпустила ролевую игру Final Fantasy XV для консолей PlayStation 4 PlayStation 4 Pro и Xbox One Ожидается что в случае успеха новой Фантазии она появится и на других платформах Во время путешествия по миру в компании самых близких друзей принц
58870,20161129,2016-11-29,Валентина Титова,"10,000+",Валентина Титова призналась что счастлива в одиночестве,Гостьей программы Наедине со всеми стала актриса Валентина Титова Она уже не впервые приходит в студию шоу Юлии Меньшовой но на этот раз третья жена знаменитого режиссера Владимира Басова поделилас своей жизненной философией Так например по мнению
58871,20161129,2016-11-29,Евгений Миронов,"20,000+",Евгений Миронов отмечает юбилей,Евгений Миронов  один из самых востребованных актёров современности Кто из артистов не мечтает сыграть Гамлета Евгений Миронов исполнил эту роль дважды  у Штайна и у Лепажа Также на его счету князь Мышкин и Калигула Пушкин и Достоевский Но к славе актёр по его
58872,20161129,2016-11-29,Илья Глинников,"10,000+",Илья Глинников станет новым холостяком,Я отношусь к шоу Холостяк как к самому суровому испытанию в своей жизни  заявил Илья Liferu  Для меня любовь  это действие Точка Как уточняется в прошлом у актера был роман с коллегой актрисой Аглаей Тарасовой Но сейчас Глинников уверяет что его с Тарасовой
58873,20161129,2016-11-29,Людмила Браташ,"10,000+",Сестра умершей миллионерши Браташ Если Анисина явится в полицию с повинной и вернет похищенные документы я ее прощу,В феврале 56летняя крестная мать детей Никиты Джигурды и фигуристки Марины Анисиной бизнесвумен Людмила Браташ была найдена мертвой в своей московской квартире Джигурда тут же поспешил обвинить в смерти своей кумы ее сестру Светлану Романову и водителя
58874,20161129,2016-11-29,Шапекоэнсе,"20,000+",Выжившему в авиакатастрофе игроку Шапекоэнсе ампутировали ногу,В связи с авиакатастрофой Конфедерация южноамериканского футбола КОНМЕБОЛ приостановила проведение всех международных соревнований под своей эгидой в том числе финала Южноамериканского кубка в котором должен был принять участие Шапекоэнсе Соперник
